r-gram,Counts
hət,14649
bəɣ,1028
əɣɪ,545
ɣɪn,243
hef,2795
eft,3134
hem,926
emə,1166
məl,902
ələ,3478
lən,7070
ard,2052
rdə,9687
ɣəm,966
əma,1196
mak,2165
akt,1368
ʋɑs,3317
ʋus,595
ust,1072
lex,64
ɣes,672
est,1491
vɑn,22118
ɣɔt,4119
zʋe,43
ʋev,30
evd,141
vdə,1425
bov,404
ovə,5315
vən,7784
ʋat,710
atə,2985
tər,7065
ərm,529
rmɑ,245
mɑs,133
ɑsa,41
vər,16182
lɑx,698
dip,261
ipə,546
dœy,870
œys,1897
yst,1034
stə,6100
ərn,1231
rnɪ,168
nɪs,562
tun,2610
zɛɪ,18936
lat,3985
lɪx,910
ɪxt,2083
ɛɪn,16788
bəv,893
əvi,40
vil,247
ɣɔd,1448
hɛɪ,12916
ktə,1401
œyd,451
ydə,393
dəl,1836
lək,3436
əkə,1086
sxɛ,927
xɛɪ,291
ɛɪd,3743
ɪdɪ,267
dɪŋ,1088
tɵs,1280
ɵsə,473
sən,3489
tɔŋ,92
ɔŋk,333
ŋkə,1396
kər,981
num,419
umd,206
mdə,567
dɑx,1508
nɑx,439
ɑxt,5021
ʋɛr,2910
ɛrt,1253
avɔ,163
vɔn,448
ɔnd,6013
ʋɪr,1884
mɔr,571
ɔrɣ,1004
rɣə,1402
ɣən,14199
ɪrs,850
rst,1772
œyt,5456
ɛlk,1393
lka,500
kar,511
ɣan,1235
zod,593
odɑ,620
ʋɔl,202
ɔlk,2795
lkɛ,2
kɛn,817
ɛnh,60
nhə,3
həm,64
əmɛ,75
mɛl,453
zeə,125
eən,99
ʋɔr,5371
ɔrd,5829
dən,17518
ɣəv,1272
əvɔ,444
vɔr,8628
ɔrm,396
rmt,87
dor,2893
ərd,1933
rde,540
del,1044
elə,2034
tʋe,1180
ʋed,242
edə,2922
dar,3412
arn,804
rna,1292
ndə,13448
dər,11064
sam,641
amə,1919
mən,5190
əns,1591
nst,903
str,1799
tro,535
rom,323
omə,2341
roɣ,117
oɣə,1474
lɑn,2380
ɑnt,6757
zɪx,2795
xtb,182
tba,198
bar,632
dɑt,9005
ɣəb,2812
əbø,472
bør,524
ørd,213
ɑnd,6121
ənɣ,142
nɣə,1125
ɣəs,1997
əst,1210
omd,26
zɑx,719
ɣut,662
tən,12722
ɑlə,4164
lər,303
ərl,1511
rlɛ,298
lɛɪ,4319
ɣəʋ,1623
əʋɑ,152
ɑsə,352
zad,109
adr,20
dra,688
raɣ,728
aɣə,2066
ənd,2339
plɑ,391
ntə,1205
vrɵ,165
rɵx,1648
ɵxt,643
tbo,33
bom,304
mɛt,4666
hɵn,3744
xtə,4621
ɣru,471
ruj,248
ujə,267
jən,445
adə,2291
zɵl,3335
ɵlə,2503
ste,1756
tet,388
ets,355
ɔrt,2823
rtb,24
tbr,74
brɛ,1116
rɛŋ,1147
ɛŋə,1077
ŋən,4195
dɛr,515
ɛrd,1422
ʋɪl,2033
hɛl,592
ɛld,1070
ldə,2662
ərə,4069
ərs,6038
rsx,756
ɪnə,1801
nən,6572
rlɪ,82
sxɪ,419
xɪl,181
ɣev,1654
evə,5081
vɑs,373
ɑst,745
tɛɪ,2716
ɪdə,3125
reɣ,489
eɣə,5003
ɣəl,2827
daɣ,429
jar,808
arə,2655
rən,8892
anɣ,460
nɣe,7
ɣro,1300
rot,1431
otə,1310
zɔn,2626
man,672
mus,448
ots,91
tst,855
bəh,559
əhɪ,80
hɪr,573
klɛ,357
nər,580
təɣ,1127
əɣə,3697
əlɛ,644
ɛɪk,2132
ɪkə,925
ərt,2791
rtɛ,976
ɛɪt,3678
stɛ,2849
tɛɾ,95
ɛɾr,99
ɾrə,147
pla,1036
ats,1290
dɪt,1338
ləs,962
vir,776
ird,116
ərv,783
rvɔ,505
vɔl,4685
ɔlɣ,1209
lɣə,960
sɛɪ,1035
ʋem,31
vɪs,87
lev,2555
lɵx,407
sɔr,121
rtə,1035
voɣ,134
əls,506
zed,96
edi,88
dir,443
irə,559
ɪsə,180
nar,5394
ɛɪɣ,1813
ɪɣə,1980
kek,174
ʋɛl,1508
ɛlɣ,41
əvɑ,627
vɑl,1004
zeɣ,454
rme,305
men,401
enɪ,164
nɪɣ,118
ɪɣv,27
ɣvɵ,32
vɵl,212
ɵld,516
dəx,1323
teɣ,2660
hɛn,2709
zɔr,639
ɔrx,255
jɵl,589
ɵli,589
ant,337
ntɑ,143
tɑl,347
ujt,142
nad,613
adɑ,375
ɔnt,2480
əʋe,515
ʋes,567
vɛɪ,1403
ɛɪv,870
ɪvd,52
krœ,216
rœy,1286
œyp,52
ypə,38
pən,3099
ɪld,702
ʋɑt,3059
hɑt,1730
ɣəz,1995
əzɛ,959
zɛx,1521
ɛxt,3626
ɔns,1879
mɛn,3252
ɛns,3050
nsə,2462
akə,1236
kən,7077
kɵn,1267
ɵnə,860
rsə,154
sxi,196
xip,16
arɔ,2088
rɔp,548
ənb,146
nbe,29
bel,400
eld,357
ɑls,6409
mɑn,4051
vrʌ,942
rʌʊ,2559
ərʋ,1147
rʋɛ,784
ɛrp,265
har,1738
kɛɪ,548
hen,403
ərɑ,595
rɑl,257
sta,1691
tan,956
tɔt,1467
vud,246
uds,217
dsə,414
səl,781
ɣef,797
ɣrɑ,179
rɑs,103
hɛp,2744
ɣəɣ,981
əɣe,941
ərz,549
rzɑ,13
hɑd,730
hel,1556
ɪnd,1804
ndɪ,359
dɪɣ,254
ɪɣd,613
ɣdə,1028
zɛz,34
ɛzd,34
zdə,123
lef,596
zev,618
rɵs,720
ɵst,689
ɑfl,49
flo,25
lop,461
xɛp,79
ɛpə,54
ənt,1118
ɛrk,1537
hɛm,4981
biz,100
izɔ,91
ɛɪl,1751
ɪlə,1492
ləɣ,664
ɔmd,1029
mdɑ,1013
ɛpɪ,19
pɪŋ,69
ɪŋs,232
ŋsʋ,14
sʋɛ,30
bəs,1464
əsl,572
slo,309
lot,332
ənv,68
nvɑ,152
vɑt,81
ɑtɪ,18
tɪŋ,560
hɛr,6976
ɛrə,6419
ərr,157
rrɪ,31
rɪx,405
ʋar,4896
nɔx,1775
ɣen,1759
ɔpɣ,587
pɣə,532
ɣək,675
əko,522
kom,1982
nit,7462
ənə,376
nim,550
imɑ,1249
kɔn,607
bəʋ,643
əʋɛ,563
rkə,592
tex,31
dɑm,58
ɑmp,374
vɔx,39
ɔxt,824
xtɪ,269
tɪɣ,160
rmd,83
ɪxa,421
xam,486
stɔ,1321
tɔf,186
bli,129
lis,136
nsa,1
sad,10
dəm,124
ʋez,317
ezə,2736
zən,1776
hɔf,179
ost,317
brɑ,1608
rɑx,1871
əsx,1037
sxa,709
xap,298
apə,502
arh,281
rhe,173
prɑ,417
frœ,32
ytb,75
mɪd,381
ɛnɪ,77
ɣud,1104
kʋa,882
ɑnœ,301
nœy,327
vlu,444
luj,124
ujd,96
jdə,207
riv,255
ivi,207
spl,50
plɪ,62
lɪt,46
ɪts,137
een,79
piz,4
omt,28
rɔn,1456
hav,44
avi,9
ila,192
bək,448
əkɛ,271
ɛnd,439
ɣʌʊ,564
ʌʊt,1304
bɑl,212
lsɛ,7
sɛm,56
ɛmh,3
mhɑ,20
hɑr,863
ɑrs,147
edɛ,80
dɛl,168
lɣɛ,14
ɣɛs,193
ɛst,1194
ten,675
ent,171
xri,20
riz,131
zɔp,14
ɔpr,217
pra,295
ras,8
het,186
ɣih,8
ihɔ,110
hɔn,656
ɛti,90
tio,42
iop,45
opi,47
piə,40
ɪɣr,8
ɣrɪ,58
rɪs,1055
ɑsɵ,58
sɵr,65
øfr,50
fra,197
rat,605
arv,322
rvɑ,461
nem,741
mar,5238
ars,455
sxy,235
xyʊ,121
yʊd,46
ʊdə,2123
mɑx,1565
etə,2292
ʋɑn,3315
zek,275
ekə,1652
tɛr,1950
ɛrv,998
rvə,649
ɑle,794
len,856
zɑl,6006
kɑn,1448
ɛlp,418
lpə,353
bɛɪ,3906
zin,1111
zʌʊ,1273
umə,88
nam,945
