r-gram,Counts
alɡ,364
lɡu,463
ɡus,489
use,2612
ses,2465
lɵi,154
jum,1556
umɑ,1540
mɑl,2333
tae,330
aev,530
eva,1178
vad,1009
maa,348
oʎɪ,1854
tyh,76
yhɪ,98
paʎ,310
aʎj,337
ʎja,614
jas,293
pim,118
imɛ,502
mɛd,107
ɛdu,85
dus,575
syɡ,23
yɡɑ,23
ɡɑv,143
ɑvu,18
vus,59
pea,1089
eal,968
ɑla,1065
vai,1017
aim,457
hɵʎ,1
ɵʎj,1
ʎju,378
jus,236
vet,329
ete,471
koh,487
ohɑ,178
hɑl,72
ytl,2118
tle,2305
les,2288
saɡ,61
aɡu,68
val,862
sai,296
næɡ,341
æɡɪ,308
hea,334
lah,186
ahʊ,172
hʊt,133
ʊta,141
tas,1075
est,3526
nim,460
mɛt,186
ɛta,211
pæe,550
æev,566
vak,174
aks,1619
øks,12
sii,1791
iis,1816
ɵht,35
htu,266
hom,60
omm,94
mmi,57
mik,151
esɪ,191
sɪm,123
ɪme,710
men,376
ene,273
lao,30
aot,63
otu,142
tus,2100
vah,160
ahɛ,259
hɛl,197
ɛle,218
see,1299
taɡ,374
vee,539
eed,595
tes,299
nɵn,428
ɵnd,496
nda,1495
syɲ,441
yɲd,354
ɲdi,788
dis,558
teɡ,595
eɡɪ,287
mis,1901
all,507
ʎɪd,618
tei,2558
ein,267
ine,479
koɡ,414
oɡʊ,404
ɡʊn,29
ʊne,42
neɡ,19
eɡu,85
yht,138
hte,116
pai,203
aik,108
ika,292
kui,2812
uiv,29
iva,139
næh,162
æhɑ,81
olɛ,2422
lɛk,391
ɛks,570
pin,40
inn,510
nna,1363
mak,218
vek,79
eko,92
oɡu,14
mer,106
erɛ,218
rɛk,20
mas,823
ast,2979
tær,8
ærɡ,530
rɡa,59
ɡak,37
aku,46
haʎ,11
roh,269
ohɪ,64
sem,161
eme,114
met,167
kan,320
and,1388
ndv,5
dva,10
tai,63
ime,299
med,42
viʎ,136
iʎj,125
jap,25
apu,39
pud,127
mil,387
ill,279
lle,2791
nen,786
end,1196
nde,904
lik,559
iki,198
kid,171
ide,487
jær,480
rɡi,225
ale,1119
las,709
ask,159
ski,406
kis,416
vɵr,95
ɵrs,8
rsu,7
sud,58
uda,238
oht,252
aid,819
imi,91
pui,10
uid,405
kol,212
olm,198
lma,633
sed,1564
ala,86
uss,89
sse,881
erɑ,67
rɑl,34
ɑld,43
lda,234
dam,152
ama,640
øst,26
tæh,208
æhɪ,9
hɪs,34
ɪst,138
sta,1766
nee,536
sea,610
eat,174
atu,1118
tud,907
aeɡ,127
evi,101
olɡ,273
nad,1675
ust,1320
ste,1175
tek,127
eks,1096
stu,1850
sek,613
mal,423
kak,251
sur,797
urt,54
ure,682
rem,83
ema,309
vaʎ,139
aʎɪ,215
ʎɪt,152
ɪts,193
tse,687
væi,19
æik,57
iks,388
kse,431
øse,29
sel,2057
niŋ,976
iŋɡ,1553
æhɛ,450
hɛd,161
paɲ,185
aɲɪ,215
tak,521
ksi,838
sid,2197
aad,55
dak,116
neʎ,140
eʎj,84
ves,167
kih,16
ihɑ,287
hɑɡ,7
ɑɡu,14
elɑ,441
lɑv,117
ɑva,211
ais,402
ist,2705
lɛn,490
ɛnd,146
dei,28
eis,951
len,194
enn,788
nak,59
lin,335
nnu,263
nud,3224
pol,385
ole,296
red,50
rɛl,150
ɛlo,3
lom,68
oma,139
mad,248
kɵi,1034
ɵik,778
ksu,31
suɡ,361
uɡu,217
lɛɲ,34
ɛɲd,27
did,179
kel,637
ell,1800
hɑb,52
tib,18
iba,93
bad,27
ade,527
deɡ,212
eɡa,1012
ɵɲɲ,151
ɲɲi,713
ɲis,404
nei,1219
eid,1255
lɡe,368
jak,391
aka,282
kad,124
tæi,306
æit,152
itk,18
tke,106
ind,747
ndu,186
usi,394
vij,47
ije,1609
jes,974
toɡ,18
sɪl,22
ɪle,78
loj,85
ojʊ,47
jʊs,26
ʊse,48
rom,46
maj,123
aja,385
jad,378
ets,58
ela,133
laj,38
teh,233
ehk,105
hke,143
kem,104
iɲɪ,521
ɲɪm,521
mes,696
ese,606
omɑ,1655
næo,35
mei,1010
eij,1504
sar,242
arn,108
rna,125
nas,302
ase,334
kal,116
alɑ,354
lɑd,99
ɑde,147
ylɛ,808
rɛs,33
dud,121
ude,247
ɵiɡ,671
iɡi,283
jat,266
ate,591
kes,2087
mav,55
ava,537
tem,2790
emɑ,3002
meh,287
ehɛ,234
hɛk,153
nai,448
ise,1208
eil,1520
ile,1628
ʎɪs,80
aɡe,148
enɛ,295
nɛs,326
ɛst,205
tel,501
ele,1415
seɡ,310
eɡe,34
liɡ,123
iɡu,175
ɡuv,4
uva,70
vat,912
ata,1053
min,1924
inɑ,685
ann,640
nan,203
aal,31
puu,32
uud,82
nav,20
roa,19
oak,3
ɡil,61
del,260
jai,138
ail,332
hiŋ,201
toi,67
oid,111
idu,135
duk,17
uks,318
ike,200
inu,802
væɡ,234
æɡɑ,114
kuw,46
uwe,108
wes,32
vas,1229
væe,92
æed,55
alm,124
lmi,197
san,1081
anu,790
lɵp,57
ɵpe,251
pet,506
eta,471
sei,464
eit,344
its,674
tsm,51
sme,60
dal,198
tøø,46
ŋɡa,277
ɡas,161
ɡis,136
eɡʊ,126
ɡʊd,239
ʊde,106
des,627
dat,160
pyh,392
hɪt,107
edɑ,1669
ɡan,18
luw,1
luɡ,59
uɡʊ,170
dim,39
lod,60
odi,65
ajɑ,434
jɑl,128
iss,1083
ssa,819
ain,332
nus,132
stk,114
tki,73
væʎ,436
æʎj,431
apɵ,13
pɵs,4
ɵsa,22
sas,90
oln,204
lnu,556
eel,295
jar,4
aro,10
skn,30
knu,22
vih,138
ihm,12
hma,27
sad,375
adɑ,47
dɑd,37
ɑda,68
pɵl,164
ɵld,13
ldu,77
har,89
arɪ,173
rɪm,22
ɪma,36
tɵu,207
ɵus,206
sis,388
udʊ,57
kas,736
sti,853
tis,526
mul,398
ull,504
lla,422
lap,229
api,47
pɵr,21
ɵrm,19
puh,136
uhʊ,95
hʊs,97
nin,9
nɑs,81
ɑss,101
ɵhk,19
hku,87
ŋɡe,454
ɡek,76
tut,154
uta,616
ede,93
den,10
eni,84
ohu,41
hua,11
uai,7
aij,67
ija,518
atɵ,3
usu,25
sin,1336
tan,629
arm,574
rms,49
msa,81
alt,366
ltn,1
tnæ,1
æha,1
syi,42
yij,99
elʊ,208
lʊp,20
ʊpu,8
esɛ,38
sɛt,41
aed,27
eda,55
kur,280
urj,179
rja,525
tun,431
und,93
ndm,75
dmi,36
nis,215
jɵɡ,7
ɵɡɪ,2
uae,4
stm,57
tma,117
ltp,2
tpe,1
jaɡ,40
aɡʊ,407
ned,63
arʊ,95
rʊk,8
ʊks,64
imɪ,83
pis,120
iso,7
son,17
vol,17
ola,26
lab,74
ymm,424
mmb,304
mbe,197
ber,175
hav,13
avɪ,8
vɪl,6
ɪla,5
lam,77
kus,547
kul,776
uld,148
ped,2
edɔ,19
dɔl,1
ɔla,1
lav,12
iku,607
kar,391
rne,13
neo,1
eoo,1
ool,27
oli,22
kiv,113
ive,10
jɵe,21
iho,22
hon,39
sim,281
ima,270
man,79
hid,4
idd,4
dde,3
dek,98
eke,30
poo,22
ass,201
ssu,57
uri,74
rit,184
fra,23
rat,56
vɵt,427
ɵti,144
hoi,120
idm,12
dma,91
vɵi,593
ɵid,112
kyi,133
yiʎ,131
iʎʎ,178
aɡɑ,2361
pus,76
toh,54
søø,50
øød,52
ead,445
urm,152
rma,487
urɛ,113
rɛm,140
ɛma,538
yks,548
oll,146
tah,408
ahɑ,603
hɑn,224
ehɑ,135
ɑle,757
abɪ,101
ɑne,187
jal,273
tɵi,103
jur,794
urd,337
rde,340
ida,385
das,444
tab,366
iɡɑ,363
ɡɑt,40
dit,23
pid,260
idɪ,43
lɛm,596
ʊst,209
lei,372
dun,60
unu,219
tul,979
ras,420
ske,119
unɛ,49
uin,24
maɡ,93
ɡɑm,27
ɑma,151
yhɛ,553
kyʎ,18
yʎj,32
ʎje,25
jel,59
elu,76
lud,25
sul,447
ulɡ,201
ɡes,158
asɛ,123
sɛm,37
ɛme,246
taa,54
aas,65
lih,185
ɑɡa,182
ehɪ,87
ɪta,119
ɵtn,55
tnu,213
ada,505
nyy,454
yyd,468
luu,5
inʊ,995
lus,364
hɑs,161
ɑst,952
ted,621
eab,128
hyt,43
yta,109
tam,450
hɛs,434
vɵe,29
ɵet,31
etu,393
sep,276
epæ,289
pær,933
æra,379
mee,150
ees,410
jæt,111
æta,37
mah,215
isɑ,770
oij,46
jab,47
nem,237
mɑd,208
mɵl,31
ɵlɛ,78
lɑs,283
eɡɑ,429
hæb,47
æbɛ,18
bɛn,18
ɛne,89
enu,92
mit,449
ite,823
adʊ,67
kav,53
avɑ,153
vɑl,66
tɵe,238
ɵes,147
øel,167
eln,128
mao,11
aol,31
søm,42
øme,3
kyl,154
ylɡ,42
put,72
utu,191
kum,161
umm,132
mma,294
mat,492
ati,171
tiɡ,37
tea,498
søt,9
øte,19
læh,302
hɛv,24
ɛva,344
sil,308
ilm,773
ahh,79
