r-gram,Counts
alus,175
luss,58
ussa,492
juma,4979
umal,4984
mala,4698
taiv,805
aiva,1301
ivan,462
autɪ,273
utɪo,154
tyhj,125
yhjæ,71
pime,208
imey,133
meys,33
syvy,84
yvyd,58
vyde,77
ydem,15
pæll,1045
ællæ,827
alan,1621
heŋk,693
eŋkɪ,658
liku,50
ikui,120
vete,89
etem,100
sano,7246
anoi,3801
tulk,236
ulko,347
lkon,686
valk,230
alke,173
lkeu,115
keus,127
tulɪ,2137
nækɪ,611
hyvæ,715
erot,133
rotɪ,83
keud,267
eude,392
udem,72
meyd,73
eyde,134
ydes,154
dest,708
estæ,1648
kuts,537
utsu,537
tsui,188
pæiv,2408
æivæ,2184
ivæk,39
væks,281
æksɪ,525
yden,137
yøks,94
øksɪ,82
ehto,71
ensɪ,610
nsɪm,255
sɪmm,320
ɪmmæ,513
mmæi,469
mæin,165
æine,335
inem,184
vanv,17
anva,46
nvah,16
vahv,232
ahvu,18
hvus,5
eten,577
vælɪ,269
ælɪl,122
lɪll,292
ɪlle,1544
rota,192
otam,299
tama,1023
aman,1010
vede,266
edet,110
vesɪ,199
esɪs,25
sɪst,415
ɪstæ,774
tekɪ,907
hvud,10
vude,29
uden,785
jotk,2622
otka,2693
olɪv,1548
lɪva,2241
ɪvat,4521
alla,2077
tapa,712
apah,450
paht,429
ahtu,400
htui,132
ivak,12
vaks,188
aksɪ,2486
toin,473
oine,684
koko,1341
okon,353
kont,165
ontu,187
ntuk,17
tuko,141
ukot,119
ovat,2462
yhte,270
htem,43
paik,680
aika,1687
ikan,1057
kuiv,186
uiva,768
tule,2198
næky,170
ækyv,24
kyvɪ,12
yvɪn,151
maks,519
mihɪ,131
ihɪn,790
ntun,100
tune,310
unet,322
mere,318
erek,54
reks,115
eksɪ,1308
kasv,708
asva,242
svak,7
vako,57
akon,626
viha,760
ihan,394
hant,52
anta,1752
ruoh,75
uoho,76
ohoj,3
hoja,158
teke,682
ekev,166
kevæ,418
evæt,407
siem,137
ieme,108
emen,104
ment,1073
entæ,1755
hede,301
edel,589
delm,304
elmæ,272
lmæp,16
mæpu,14
æpui,7
puit,79
uita,238
laji,14
ajie,28
jien,97
iens,393
ensa,2476
muka,1194
ukaŋ,130
kant,364
ntav,154
tava,2053
avat,1444
joss,261
ossa,933
nide,574
iden,842
tuot,248
uotɪ,178
ekɪv,175
kɪvæ,344
ɪvæt,1773
ukan,1212
anto,663
ntoi,752
toiv,503
oiva,1218
ivat,2091
kolm,968
olma,227
lmas,133
lkot,174
valo,111
alot,54
hvut,2
vute,14
uten,699
amam,36
yøst,187
østæ,150
olko,769
merk,207
erke,70
rkei,90
kein,136
einæ,161
osoi,128
soit,248
oita,1885
itam,158
amas,351
mass,971
assa,2524
aiko,259
ikoj,89
koja,293
æivɪ,224
ivɪæ,101
vuos,89
uosɪ,157
osɪa,82
aloi,116
loin,1128
oina,244
