r-gram,Counts
aluss,19
lussa,58
ussal,14
ssalo,80
saloi,13
aloij,5
loiju,2
oijum,36
ijuma,78
jumal,4967
umala,4682
malat,466
alata,53
latai,34
ataiv,207
taiva,838
aivan,449
ivanj,97
vanja,117
anjam,266
njama,121
jaman,123
amanj,118
manja,349
jamao,10
amaol,4
maolɪ,26
aolɪa,75
olɪau,4
lɪaut,6
ɪautɪ,21
autɪo,157
utɪoj,9
tɪoja,8
ɪojat,4
ojaty,8
jatyh,32
atyhj,34
tyhjæ,71
yhjæj,3
hjæja,3
jæjap,4
æjapi,39
japim,18
apime,47
pimey,133
imeys,33
meyso,9
eysol,4
ysolɪ,8
solɪs,62
olɪsy,33
lɪsyv,2
ɪsyvy,6
syvyd,44
yvyde,58
vydem,3
ydemp,15
dempæ,100
empæl,311
mpæll,794
pællæ,321
ællæj,124
llæja,409
læjaj,16
æjaju,81
jajum,223
ajuma,941
malan,1548
alanh,76
lanhe,61
anheŋ,144
nheŋk,342
heŋkɪ,346
eŋkɪl,30
ŋkɪli,4
kɪlik,3
ɪliku,3
likui,8
ikuiv,4
kuive,30
uivet,29
ivete,7
vetem,16
etemp,110
tempæ,173
malas,606
alasa,71
lasan,93
asano,2393
sanoi,3740
anoit,205
noitu,65
oitul,34
itulk,9
tulko,151
ulkon,139
lkonv,24
konva,48
onval,136
nvalk,70
valke,146
alkeu,98
lkeus,38
keusj,28
eusja,47
usjav,29
sjava,34
javal,218
avalk,68
keust,13
eustu,5
ustul,53
stulɪ,83
tulɪj,195
ulɪja,95
lɪjaj,25
ɪjaju,55
alanæ,25
lanæk,14
anækɪ,139
nækɪe,61
ækɪet,56
kɪetæ,50
ɪetæv,11
etæva,67
tæval,68
ævalk,21
keuso,26
eusol,15
usolɪ,119
solɪh,37
olɪhy,31
lɪhyv,36
ɪhyvæ,53
hyvæj,56
yvæja,54
væjaj,25
malae,68
alaer,1
laero,1
aerot,25
erotɪ,30
rotɪv,21
otɪva,274
tɪval,6
ɪvalk,20
lkeud,39
keude,251
eudem,19
udemp,72
dempi,23
empim,7
mpime,43
imeyd,73
meyde,73
eydes,56
ydest,57
destæ,334
estæj,317
stæja,500
tæjaj,82
malak,138
alaku,49
lakut,7
akuts,123
kutsu,537
utsui,185
tsuiv,25
suiva,141
uival,12
ivalk,2
empæi,306
mpæiv,696
pæivæ,2155
æivæk,74
ivæks,38
væksɪ,233
æksɪj,103
ksɪja,1130
sɪjap,163
ɪjapi,53
eyden,47
ydenh,18
denhæ,92
enhæŋ,43
nhæŋk,200
hæŋku,237
æŋkut,57
ŋkuts,123
tsuiy,2
suiyø,1
uiyøk,1
iyøks,1
yøksɪ,40
øksɪj,17
sɪjat,160
ɪjatu,74
jatul,408
atulɪ,631
tulɪe,38
ulɪeh,6
lɪeht,11
ɪehto,10
ehtoj,6
htoja,16
tojat,21
ojatu,37
tulɪa,72
ulɪam,13
lɪamu,12
ɪamue,1
amuen,1
muens,1
uensɪ,2
ensɪm,252
nsɪmm,244
sɪmmæ,253
ɪmmæi,468
mmæin,110
mæine,122
æinem,53
inemp,180
nempæ,215
æivæj,107
ivæja,74
lkont,111
konta,25
ontai,68
ntaiv,203
ivanv,34
vanva,66
anvah,29
nvahv,70
vahvu,18
ahvus,5
hvusv,1
vusve,1
usvet,6
svete,5
veten,62
etenv,17
tenvæ,29
envæl,75
nvælɪ,195
vælɪl,122
ælɪll,116
lɪlle,122
ɪllee,39
lleer,23
leero,7
eerot,14
erota,59
rotam,13
otama,150
taman,604
amanv,68
manve,50
anved,20
nvede,95
vedet,102
edetv,14
detve,6
etves,5
tvesɪ,17
vesɪs,29
esɪst,9
sɪstæ,219
ɪstæj,145
alate,33
latek,23
atekɪ,195
tekɪt,29
ekɪta,7
kɪtai,35
ɪtaiv,88
ahvud,10
hvude,10
vuden,15
udenj,147
denja,286
enjae,53
njaer,17
jaero,9
otɪve,9
tɪved,8
ɪvede,19
edetj,15
detjo,22
etjot,240
tjotk,587
jotka,2619
otkao,656
tkaol,368
kaolɪ,887
aolɪv,518
olɪva,1657
lɪvat,2236
ɪvatt,309
vatta,142
attai,60
ttaiv,100
udena,26
denal,34
enall,84
nalla,243
allav,89
llave,30
laves,2
avesɪ,50
stæjo,270
tæjot,291
æjotk,401
vudem,2
læjat,37
æjata,42
jatap,96
atapa,163
tapah,430
apaht,421
pahtu,366
ahtui,130
htuin,16
tuini,28
uinin,28
ininj,8
ninja,36
injaj,16
njaju,135
uivah,3
ivahv,4
udent,128
denta,43
entai,166
aivak,10
ivaks,12
vaksɪ,165
aksɪj,453
ɪamut,60
amuto,12
mutoi,43
utoin,46
toine,414
oinem,72
anoik,287
noiko,25
oikok,12
ikoko,43
kokon,256
okont,166
kontu,195
ontuk,15
ntuko,5
tukot,49
ukotv,3
kotve,4
otved,4
tvede,44
tkaov,258
kaova,275
aovat,498
ovatt,275
ivana,43
vanal,48
anall,76
allay,6
llayh,8
layht,5
ayhte,69
yhtem,2
htemp,5
tempa,151
empai,168
mpaik,259
paika,565
aikan,578
ikann,38
kanni,89
annin,349
nnine,263
ninet,728
inetæ,573
netæk,96
etæku,73
tækui,63
ækuiv,18
kuiva,95
uivat,695
ivatu,39
vatul,54
atule,447
tulen,280
ulenæ,13
lenæk,4
enæky,22
nækyv,24
ækyvɪ,12
kyvɪn,12
yvɪnj,18
vɪnja,51
ɪnjat,103
njata,100
tsuik,24
suiku,4
uikui,3
uivan,23
ivanm,20
vanma,29
anmak,36
nmaks,46
maksɪ,253
ɪjapa,112
japai,41
apaik,80
ikanm,42
kanmi,123
anmih,4
nmihɪ,27
mihɪn,101
ihɪnv,42
hɪnve,12
ɪnved,15
edeto,4
detol,4
etolɪ,167
tolɪv,450
ɪvatk,515
vatko,199
atkok,71
tkoko,166
ontun,49
ntune,51
tunet,205
uneth,22
nethæ,199
ethæŋ,10
thæŋk,27
tsuim,15
suime,2
uimer,2
imere,3
merek,1
ereks,40
reksɪ,71
eksɪj,308
sɪjaj,106
ɪetæs,59
etæse,180
tæseo,57
æseol,73
seolɪ,159
eolɪh,23
noika,101
oikas,206
ikasv,22
kasva,164
asvak,13
svako,6
vakon,3
akonm,54
konma,19
onmav,1
nmavi,1
mavih,4
aviha,157
vihan,212
ihant,27
hanta,24
antar,33
ntaru,13
taruo,32
aruoh,15
ruoho,68
uohoj,9
ohoja,8
hojaj,41
ojajo,92
jajot,148
ajotk,535
otkat,207
tkate,75
katek,103
ateke,196
tekev,191
ekevæ,173
kevæt,199
evæts,73
vætsi,281
ætsie,34
tsiem,7
sieme,106
iemen,104
ement,25
mentæ,984
entæj,32
ntæja,222
tæjah,243
æjahe,296
jahed,15
ahede,57
hedel,301
edelm,301
delmæ,255
elmæp,15
lmæpu,14
mæpui,6
æpuit,10
puita,59
uitaj,66
itajo,60
tajot,206
otkal,69
tkala,35
kalaj,14
alaji,5
lajie,10
ajien,22
jiens,56
iensa,136
ensam,346
nsamu,405
samuk,156
amuka,223
mukaŋ,87
ukaŋk,131
kaŋka,168
aŋkan,317
ŋkant,168
kanta,258
antav,158
ntava,275
tavat,850
avatm,160
vatma,152
atmam,18
tmamp,49
mampæ,251
ampæl,246
ællæh,64
llæhe,691
læhed,3
æhede,30
elmæj,27
lmæjo,12
mæjos,6
æjoss,60
jossa,284
ossan,157
ssani,250
sanid,8
anide,179
niden,360
idens,109
densi,144
ensie,72
nsiem,56
emeno,10
menon,16
enonj,22
nonja,36
onjat,44
ininm,4
ninma,17
inmat,11
nmatu,8
matuo,9
atuot,59
tuotɪ,60
uotɪv,24
otɪvi,6
tɪvih,8
ɪviha,39
tekɪv,188
ekɪvæ,177
kɪvæt,341
ɪvæts,226
entæl,28
ntæla,9
tælaj,3
ælaji,2
mukan,792
ukanj,189
kanja,287
anjap,156
njapu,86
japui,11
apuit,20
kanto,69
antoi,710
ntoiv,209
toiva,318
oivat,1202
ivath,480
vathe,691
athed,13
thede,27
menol,2
enolɪ,183
nolɪj,39
olɪja,106
væjat,20
æjatu,93
ɪamuk,4
amuko,2
mukol,1
ukolm,3
kolma,227
olmas,61
lmasp,2
maspæ,2
aspæi,10
spæiv,53
ulkot,35
lkotv,14
kotva,15
otval,6
tvalo,11
valot,5
alott,6
lotta,3
ottai,6
ahvut,2
hvute,2
vuten,4
utene,12
tener,4
enero,10
nerot,24
tamam,28
amamp,112
ampæi,138
æivæy,8
ivæyø,3
væyøs,1
æyøst,1
yøstæ,101
østæj,36
tæjao,34
æjaol,52
jaolk,78
aolko,169
olkot,130
lkotn,18
kotne,29
otnem,1
tneme,1
nemer,4
emerk,14
merke,20
erkei,12
rkein,26
keinæ,5
einæo,2
inæos,29
næoso,19
æosoi,29
osoit,129
soita,164
oitam,208
itama,128
tamas,146
amass,181
massa,976
assaa,55
ssaai,24
saaik,31
aaiko,30
aikoj,63
ikoja,52
kojap,13
ojapæ,5
japæi,38
apæiv,469
pæivɪ,224
æivɪæ,39
ivɪæj,39
vɪæja,44
ɪæjav,20
æjavu,9
javuo,92
avuos,27
vuosɪ,76
uosɪa,14
osɪaj,9
sɪaja,176
ɪajao,12
ajaol,108
valoi,13
aloin,11
loina,44
oinat,13
inata,14
natai,27
vudel,8
udell,141
della,167
ellap,80
llapa,55
lapai,11
apais,34
paist,50
aista,599
istam,255
stama,286
assam,252
ssama,139
samam,39
pælle,405
ællej,166
lleja,1736
lejat,128
ejata,43
ninju,57
injum,124
njuma,2118
tekɪk,42
ekɪka,28
kɪkak,8
ɪkaks,148
kaksɪ,1301
aksɪs,258
ksɪsu,35
sɪsur,53
ɪsurt,7
surta,44
urtav,9
rtava,63
taval,214
avalo,19
valoa,24
aloas,5
loasu,1
oasur,5
asure,130
surem,114
uremm,29
remma,57
emman,49
mmanv,14
manva,108
anval,208
nvalo,45
valon,28
alonh,9
lonha,5
onhal,30
nhall,171
hallɪ,425
allɪt,475
llɪts,294
lɪtse,337
ɪtsem,122
tsema,85
semam,18
emamp,55
væjap,7
japie,31
apien,88
piene,55
ienem,17
enemm,203
nemmæ,150
emmæn,83
mmænv,9
mænva,39
ænval,113
seman,74
emany,16
manyø,4
anyøt,6
nyøtæ,9
yøtæs,14
øtæse,3
tæsek,62
æsekæ,67
sekæt,34
ekætæ,7
kætæh,68
ætæhd,79
tæhde,1382
æhdet,90
hdetj,13
detja,45
etjaj,71
tjaju,53
malap,71
alapa,16
lapan,8
apanɪ,112
panɪn,32
anɪne,36
nɪnet,10
ɪneta,10
netai,30
etaiv,95
vutem,1
utemp,17
mpais,66
amanm,111
manma,85
anmam,14
nmamp,65
lejah,293
ejaha,15
jahal,59
ahall,178
væjay,3
æjayø,7
jayøt,12
ayøtæ,11
yøtæj,29
øtæja,25
tæjae,13
æjaer,5
valom,5
alomp,19
lompi,9
ompim,19
pimeæ,55
imeæs,71
meæst,1
eæstæ,10
æstæj,86
ɪamun,4
amune,1
munel,1
unelj,3
neljæ,667
eljæs,195
ljæsp,3
jæspæ,1
æspæi,6
anoiv,650
noivi,42
oivil,4
ivilɪ,1
vilɪs,9
ilɪsk,2
lɪskø,2
ɪskøt,1
skøtv,2
køtve,2
øtved,2
edete,6
detel,1
etelæ,183
telæv,27
elævi,73
læviæ,7
æviæo,1
viæol,1
iæole,2
æolen,1139
olent,268
lento,58
entoj,29
ntoja,20
tojaj,47
ojaja,206
jajal,68
ajale,98
jalen,6
alent,72
lentæ,86
entæk,302
ntækø,7
tækøt,69
ækøtl,2
køtli,8
øtlin,1
tlinn,14
linnu,94
innut,81
nnutm,82
nutma,72
utmam,8
ællæt,51
llæta,74
lætai,34
ætaiv,102
allaj,272
llaja,693
lajaj,67
ajaju,154
malal,286
alalo,6
laloi,5
alois,69
loisu,6
oisur,20
isure,24
suret,96
uretm,4
retme,4
etmer,14
tmeri,1
merie,6
eriel,4
rielæ,7
ielæi,22
elæim,174
læime,116
æimet,85
imetj,45
metja,36
etjak,201
tjaka,279
jakai,1123
akaik,1741
kaikɪ,4100
aikɪn,462
ikɪna,127
kɪnai,117
ɪnais,138
naise,227
aiset,1298
isetl,76
setli,10
etlik,11
tliku,4
likuv,11
ikuva,13
kuvat,79
uvatv,44
vatve,76
atves,3
esɪss,4
sɪssæ,68
ɪssæv,15
ssævi,22
sævil,9
ævilɪ,4
