r-gram,Counts
kɔ,6728
ɔm,7383
mɑ̃,5536
ɑ̃s,4751
sm,317
dj,4548
jø,7099
kʁ,5193
ʁe,11569
ea,322
le,26538
sj,5632
øz,1599
la,25969
tɛ,14324
ɛʁ,27399
et,13299
ɛt,12632
ɛ̃f,250
fɔ,1219
ɔʁ,10459
ʁm,2684
vi,6945
id,2119
il,23978
av,9833
vɛ,9737
de,14633
te,10299
en,1192
nɛ,9780
ɛb,316
bʁ,3314
ʁz,2679
sy,7585
yʁ,7672
ʁf,327
fa,2959
as,9231
də,33496
ab,4897
bi,1745
im,1844
lɛ,5474
ɛs,6416
sp,2104
pʁ,11586
ʁi,12916
sə,14444
mu,705
uv,2854
əs,865
ez,13513
di,12530
kə,9628
ly,8533
ym,880
mj,887
jɛ,3873
sw,2056
wa,20867
fy,2162
bɔ,513
ɔn,5226
se,8476
ep,3231
pa,15976
aʁ,23306
ʁa,17527
da,4641
ɛk,4515
ap,4058
pl,7314
ʒu,3012
uʁ,12920
ny,1795
yi,12054
ɛ̃s,2166
si,9939
yt,883
ma,6125
at,5780
tɛ̃,949
lə,17192
ʁə,6068
əm,2322
je,4714
ki,13703
yn,4215
tɑ̃,4312
ɑ̃d,6016
dy,7918
ɑ̃t,7785
tʁ,16791
oz,3963
kɛ,2027
ɛl,16750
fi,7315
sɔ̃,5772
ɔ̃t,5618
su,1758
əl,3234
əɡ,728
ɡɔ̃,200
sɑ̃,5883
ɑ̃b,1407
bl,3421
lt,830
ɑ̃n,1668
sœ,583
œl,420
lj,2692
sɛ,11025
ʁɛ,8497
am,5084
mɛ,8956
bɔ̃,649
py,2949
ʁo,3646
od,701
iz,5481
ʁd,3223
ʁb,451
pɔ,2537
ʁt,6195
fʁ,3065
ʁy,3189
it,8156
tj,1637
dɔ,3583
nɑ̃,1242
lɔ̃,1896
lœ,5160
œʁ,11912
pɛ,6014
ɛj,1709
jɑ̃,1580
zi,1505
ɔ̃n,2034
ʁw,4415
az,4371
zj,1179
ɛm,3395
mi,5958
in,2710
dɑ̃,7938
pu,7836
nj,3703
ʁk,1243
ke,347
po,1563
ok,1410
an,3505
ne,3879
ʁv,2452
ek,2216
kl,1226
dø,1396
ɡʁ,2585
ʁɑ̃,6191
pə,355
ət,1403
ti,5726
os,1555
tw,2527
al,7251
sa,8632
ka,8031
iɛ,349
zt,63
ɔ̃d,2012
ni,3868
mo,1148
iv,3245
vɑ̃,3116
ɑ̃z,1534
zo,455
vo,2802
ol,2747
pw,2444
ɔ̃z,1011
tu,8149
mø,138
øv,432
vt,84
iʁ,8572
ut,3588
be,1170
zɑ̃,1166
aj,3098
fe,413
kɔ̃,5919
my,962
yl,1678
ip,1440
li,5354
ie,497
ɑ̃p,1134
is,9500
sɛ̃,2004
ɛ̃k,1041
kj,121
ta,5607
ɛp,346
pt,1251
lz,2487
st,5700
fə,1299
əz,621
zɔ̃,2229
lɔ,3357
no,1593
ot,4769
aʒ,2960
lɑ̃,2180
do,1159
om,1427
yʒ,894
ʒɛ,1307
vw,4428
ʒə,7315
vu,7294
əʁ,5289
nu,4005
ty,7643
uf,294
fl,911
fɛ,4625
aʃ,1658
ʃv,98
ve,2751
me,3607
va,1951
œv,378
vʁ,3598
əp,1018
za,2109
ɑ̃k,1274
kt,806
if,2788
fj,648
ja,2138
ʁs,3785
kɑ̃,1904
ee,88
oʁ,3321
iʒ,685
ʒi,1504
sk,3386
ʁn,8657
kœ̃,1037
œ̃n,1698
by,994
ys,2693
ʃɑ̃,1674
ky,1056
nə,6319
na,3717
lø,542
wɛ̃,2996
sɔ,2263
ɔl,1416
ɛz,4383
pœ,183
el,2429
lv,479
us,1354
nz,339
əv,3694
vɛ̃,1757
ʒa,1927
dɛ̃,339
ed,1021
dɛ,2284
ɛn,3687
ko,2421
lo,2656
ʁj,1274
aɡ,438
ɑ̃ʒ,1887
ʒe,4894
bj,898
jɛ̃,3387
ɛ̃n,404
ze,1482
zɛ,1466
nɔ̃,2386
eʁ,3811
pi,1032
iʃ,490
ʃɔ̃,61
ɛi,1647
ʁu,1561
bd,31
jɔ,99
pj,1295
on,583
ik,3087
ks,1910
ɡj,50
jɔ̃,4762
yʃ,122
ku,3097
ul,927
øf,20
ɡa,2066
dʁ,3767
ʒʁ,440
ʁʁ,462
ɛd,267
və,829
ən,1695
lʁ,234
af,1639
fɛ̃,1272
nʁ,708
tɔ̃,3049
ɔ̃b,1470
of,904
fɔ̃,580
tz,777
əf,215
ʃɛ,2184
mn,350
fw,619
ɔs,1111
kw,1030
ʃʁ,365
vj,1744
ɛ̃d,777
ʁɔ̃,4199
ʁp,379
pɑ̃,1443
yz,1623
eɛ,73
lm,465
pɔ̃,969
ʒɔ̃,46
uʃ,863
uz,3640
vy,423
es,544
lɛ̃,799
ɛ̃t,2371
ʒɑ̃,1642
op,576
lœ̃,269
zy,1666
fœ,25
œj,424
iɡ,306
lw,1835
mə,1886
ʃe,2244
dɔ̃,1329
ef,854
fɑ̃,1643
mw,3121
ʁʃ,1324
zʁ,256
sʁ,2823
ʒo,864
oɡ,170
ɡm,57
ɑ̃f,1737
du,665
tə,2133
yk,422
ɔ̃s,1742
sz,434
yœ,4
pɛ̃,365
ʒy,3739
ad,1681
vn,443
ɛʃ,397
mɛ̃,2496
tn,747
ʃa,2689
yb,507
bɛ̃,222
tt,167
pe,2219
bw,507
ʃə,598
bɛ,1059
ʁʒ,1153
aɛ̃,21
bu,821
ʁœ,290
lk,796
ɔf,928
up,743
ba,2859
nm,529
ɛv,786
eʃ,1679
ʁɔ,1862
ya,138
mɔ̃,4563
yp,368
oʒ,460
ɔ̃k,951
yɛ,622
iɲ,331
nɔ,346
ɔd,116
ɔk,412
əy,11
aɛ,2414
em,1027
ts,630
ij,1162
sø,1793
ʒw,722
ʁɛ̃,1096
aa,1121
mz,571
ye,637
ʒø,447
øn,467
mœ,524
ɔʃ,161
nœ,633
œf,464
ɔe,63
so,1306
ɡz,567
ib,1128
ov,831
ʃw,209
uʒ,383
eɑ̃,180
kœ,1038
ak,4957
km,28
ɛɡ,692
ɔ̃p,1101
jo,805
ɡo,207
əd,236
əɔ,149
ud,369
ɔ̃ɡ,121
ɡœ,240
ʒœ,139
tœ,2060
jœ,1719
ji,132
bo,604
ɔt,54
kɛ̃,152
ɛ̃z,947
yɑ̃,20
ʁl,1428
dœ,252
øt,147
øl,159
ʒz,213
aɑ̃,82
pø,2391
øp,1902
yd,1242
to,671
ək,776
ev,1138
ɡɔ,124
ɔɡ,49
ʃk,9
kn,5
ɑ̃ɡ,443
bt,74
tk,144
eb,483
nɛ̃,46
ɛ̃ʁ,206
ai,337
əa,2
ft,80
sl,37
eɛ̃,249
ɡi,154
ʁɡ,130
ɡe,315
dm,409
əb,615
ɔi,809
kʃ,22
ob,262
ɛf,1045
aɲ,565
kz,113
fø,489
mt,40
ʒt,108
ɔ̃f,425
œɡ,3
ʃɔ,286
ld,149
ʃz,97
eʒ,1299
ɡy,101
aɔ̃,300
ɑ̃m,150
bø,126
ɛʒ,258
ɑ̃v,1193
ɛ̃v,231
yf,50
øʁ,549
oʃ,715
ʃœ,76
mʁ,128
um,66
ao,47
vɔ,131
ei,173
