r-gram,Counts
okɔmɑ̃,28
kɔmɑ̃s,180
ɔmɑ̃sm,70
mɑ̃smɑ̃,70
ɑ̃smɑ̃d,31
smɑ̃dj,1
mɑ̃djø,7
ɑ̃djøk,26
djøkʁ,9
jøkʁe,6
økʁea,5
kʁeal,28
ʁeale,41
eales,2
alesj,9
lesjø,187
esjøz,185
sjøze,107
jøzel,73
øzela,33
zelat,39
elatɛ,131
latɛʁ,990
atɛʁl,83
tɛʁla,43
ɛʁlat,16
ʁlatɛ,330
atɛʁe,174
tɛʁet,28
ɛʁetɛ,44
ʁetɛt,38
etɛtɛ̃,25
tɛtɛ̃f,1
ɛtɛ̃fɔ,3
tɛ̃fɔʁ,12
ɛ̃fɔʁm,60
fɔʁme,114
ɔʁmev,11
ʁmevi,3
mevid,2
evidi,3
vidil,26
idili,3
dilia,4
iliav,224
liavɛ,228
iavɛd,119
avɛde,93
vɛdet,14
ɛdete,5
deten,28
etenɛ,119
tenɛb,144
enɛbʁ,144
nɛbʁz,54
ɛbʁza,7
bʁzal,5
ʁzala,20
zalas,15
alasy,41
lasyʁ,85
asyʁf,28
syʁfa,30
yʁfas,28
ʁfasd,29
fasdə,99
asdəl,110
sdəla,196
dəlab,141
əlabi,24
labim,38
abime,64
bimel,58
imelɛ,66
melɛs,3
elɛsp,29
lɛspʁ,266
ɛspʁi,598
spʁid,180
pʁidə,184
ʁidəd,49
idədj,46
dədjø,975
ədjøs,135
djøsə,93
jøsəm,5
øsəmu,1
səmuv,2
əmuvɛ,2
muvɛt,1
uvɛto,6
vɛtod,6
ɛtodə,34
todəs,44
odəsy,151
dəsyd,107
əsyde,20
sydez,7
ydezo,7
dezod,17
ezodj,4
zodjø,23
odjød,21
djødi,235
jødik,9
ødikə,5
dikəl,54
ikəla,37
kəlal,21
əlaly,36
lalym,128
alymj,148
lymjɛ,198
ymjɛʁ,193
mjɛʁs,19
jɛʁsw,1
ɛʁswa,59
ʁswae,1
swael,6
waela,38
aelal,11
elaly,32
mjɛʁf,12
jɛʁfy,4
ɛʁfyd,2
ʁfydj,1
fydjø,1
ydjøv,17
djøvi,39
jøvik,7
øvikə,6
vikəl,17
mjɛʁe,43
jɛʁet,27
ʁetɛb,7
etɛbɔ,2
tɛbɔn,1
ɛbɔne,5
bɔned,1
ɔnedj,2
nedjø,3
edjøs,26
djøse,15
jøsep,3
øsepa,4
sepaʁ,354
epaʁa,76
paʁal,43
aʁala,39
ʁalal,26
alaly,37
mjɛʁd,55
jɛʁda,21
ɛʁdav,19
ʁdavɛ,10
davɛk,55
avɛkl,948
vɛkle,260
ɛklet,22
klete,2
leten,84
nɛbʁd,10
ɛbʁdj,2
bʁdjø,2
ʁdjøa,50
djøap,37
jøapl,9
øapla,6
aplal,22
plala,13
lalal,9
mjɛʁʒ,4
jɛʁʒu,1
ɛʁʒuʁ,2
ʁʒuʁe,7
ʒuʁei,11
uʁeil,20
ʁeila,22
eilap,16
ilapl,63
lapla,174
plale,15
lalet,51
alete,5
nɛbʁn,12
ɛbʁny,2
bʁnyi,1
ʁnyiɛ̃,1
nyiɛ̃s,2
yiɛ̃si,10
iɛ̃sii,4
ɛ̃siil,28
siili,45
iiliy,11
iliyt,51
liytœ̃,21
iytœ̃s,6
ytœ̃sw,6
tœ̃swa,6
œ̃swaʁ,8
swaʁe,40
waʁei,25
aʁeil,37
ʁeili,21
eiliy,32
iytœ̃m,7
ytœ̃ma,6
tœ̃mat,6
œ̃matɛ̃,6
matɛ̃s,20
atɛ̃sə,12
tɛ̃səf,7
ɛ̃səfy,7
səfyl,26
əfylə,13
fyləp,7
yləpʁ,12
ləpʁə,166
əpʁəm,166
pʁəmj,473
ʁəmje,355
əmjeʒ,49
mjeʒu,48
jeʒuʁ,59
eʒuʁd,211
ʒuʁdj,8
uʁdjø,22
ʁdjød,52
ødiki,3
dikil,36
ikili,14
kiliɛ,29
iliɛt,16
liɛty,8
iɛtyn,15
ɛtyne,13
tynet,4
ynetɑ̃,2
netɑ̃d,12
etɑ̃dy,125
tɑ̃dyɑ̃,3
ɑ̃dyɑ̃t,1
dyɑ̃tʁ,1
yɑ̃tʁl,2
ɑ̃tʁle,268
tʁlez,73
ʁlezo,74
lezoz,28
ezoze,17
zozek,7
ozekɛ,4
zekɛl,30
ekɛls,29
kɛlse,14
ɛlsep,6
lsepa,11
epaʁl,650
paʁle,718
aʁlez,130
lezod,47
ezoda,1
zodav,1
odavɛ,2
ɛklez,84
klezo,9
lezoe,2
ezoed,1
zoedj,1
oedjø,1
edjøf,7
djøfi,24
jøfil,6
øfile,3
filet,7
iletɑ̃,35
letɑ̃d,66
tɑ̃dye,25
ɑ̃dyei,3
dyeil,5
yeils,8
eilse,34
ilsep,7
aʁale,17
ʁalez,35
alezo,33
lezok,20
ezoki,20
zokis,13
okisɔ̃,8
kisɔ̃t,118
isɔ̃to,23
sɔ̃tod,8
ɔ̃todə,10
odəsu,21
dəsud,18
əsudə,8
sudəl,7
udəle,5
dəlet,1598
əletɑ̃,10
tɑ̃dyd,76
ɑ̃dyda,5
dydav,3
ydavɛ,5
əsydə,96
sydəl,53
ydəle,22
ɑ̃dyes,4
dyesə,2
yesəl,13
esəla,77
səlaf,24
əlafy,32
lafyt,12
afytɛ̃,7
fytɛ̃s,11
ytɛ̃si,13
tɛ̃sid,26
ɛ̃sidj,7
sidjø,40
idjøa,18
aletɑ̃,7
tɑ̃dys,67
ɑ̃dysj,13
dysjɛ,205
ysjɛl,199
sjɛlɛ̃,2
jɛlɛ̃s,2
ɛlɛ̃si,62
lɛ̃sii,2
fyləs,7
yləsə,2
ləsəɡ,53
əsəɡɔ̃,55
səɡɔ̃ʒ,11
əɡɔ̃ʒu,10
ɡɔ̃ʒuʁ,10
ɔ̃ʒuʁd,3
ikəle,107
kəlez,125
əlezo,25
əsudy,5
sudys,1
udysj,1
sjɛls,32
jɛlsə,15
ɛlsəʁ,241
lsəʁa,342
səʁas,182
əʁasɑ̃,73
ʁasɑ̃b,179
asɑ̃bl,548
sɑ̃blt,27
ɑ̃bltɑ̃,1
bltɑ̃n,1
ltɑ̃nœ̃,1
tɑ̃nœ̃s,1
ɑ̃nœ̃sœ,9
nœ̃sœl,10
œ̃sœll,9
sœllj,1
œlljø,1
lljøe,1
ljøek,7
jøekə,30
øekəl,9
ekələ,63
kələs,85
ələsɛ,69
ləsɛk,8
əsɛkp,1
sɛkpa,1
ɛkpaʁ,4
kpaʁɛ,5
paʁɛs,77
aʁɛse,7
ʁɛses,22
ɛsesə,12
sesəl,24
plalə,4
laləs,17
aləsɛ,49
əsɛkt,1
sɛktɛ,1
ɛktɛʁ,1
ktɛʁe,1
tɛʁei,32
ɛʁeil,108
lalam,31
alama,46
lamad,10
amade,8
madez,5
adezo,51
dezom,2
ezomɛ,3
zomɛʁ,1
omɛʁd,1
mɛʁdj,2
ɛʁdjø,31
ʁdjøv,55
vikəs,6
ikəsə,28
kəsəl,168
əsəla,88
səlae,36
əlaet,15
laetɛ,12
aetɛb,6
etɛbɔ̃,6
tɛbɔ̃p,2
ɛbɔ̃py,2
bɔ̃pyi,2
ɔ̃pyid,3
pyidj,4
yidjø,26
idjød,11
kəlat,24
əlatɛ,394
atɛʁp,63
tɛʁpʁ,28
ɛʁpʁo,9
ʁpʁod,22
pʁody,155
ʁodyi,166
odyiz,34
dyizd,9
yizdə,3
izdəl,19
zdəla,108
dəlav,412
əlavɛ,35
lavɛʁ,125
avɛʁd,25
vɛʁdy,21
ɛʁdyʁ,36
ʁdyʁd,20
dyʁdə,12
yʁdəl,58
ʁdəlɛ,21
dəlɛʁ,50
əlɛʁb,18
lɛʁbp,7
ɛʁbpɔ,3
ʁbpɔʁ,3
bpɔʁt,4
pɔʁtɑ̃,55
ɔʁtɑ̃d,28
ʁtɑ̃də,13
tɑ̃dəl,84
ɑ̃dəla,279
dəlas,299
əlasə,43
lasəm,44
asəmɑ̃,32
səmɑ̃s,61
əmɑ̃sd,14
mɑ̃sde,3
ɑ̃sdez,16
sdeza,11
dezaʁ,331
ezaʁb,72
zaʁbʁ,83
aʁbʁf,8
ʁbʁfʁ,5
bʁfʁy,5
ʁfʁyi,21
fʁyit,10
ʁyitj,5
yitje,5
itjed,88
tjedɔ,3
jedɔn,2
edɔnɑ̃,3
dɔnɑ̃d,4
ɔnɑ̃dy,2
nɑ̃dyf,2
ɑ̃dyfʁ,4
dyfʁy,40
yfʁyi,40
fʁyis,17
ʁyisə,14
yisəl,23
isəlɔ̃,57
səlɔ̃l,471
əlɔ̃lœ,167
lɔ̃lœʁ,163
ɔ̃lœʁɛ,12
lœʁɛs,21
œʁɛsp,17
ʁɛspɛ,26
ɛspɛs,82
spɛse,5
pɛseɛ,1
ɛseɛj,1
seɛjɑ̃,1
eɛjɑ̃ɑ̃,3
ɛjɑ̃ɑ̃n,2
jɑ̃ɑ̃nø,2
ɑ̃ɑ̃nøl,2
ɑ̃nølœ,2
nølœʁ,2
ølœʁs,4
lœʁsə,29
œʁsəm,6
ʁsəmɑ̃,4
əmɑ̃ss,8
mɑ̃ssy,1
ɑ̃ssyʁ,12
ssyʁl,43
syʁla,737
yʁlat,300
tɛʁes,42
ɛʁesə,34
ʁesəl,67
tɛ̃sil,11
ɛ̃sila,28
silat,25
ilatɛ,29
dyizi,80
yizid,22
izidə,7
zidəl,12
idəla,288
mɑ̃ssə,4
ɑ̃ssəl,20
ssəlɔ̃,23
səlɔ̃s,120
əlɔ̃sɔ̃,22
lɔ̃sɔ̃n,14
ɔ̃sɔ̃nɛ,6
sɔ̃nɛs,40
ɔ̃nɛsp,98
nɛspɛ,14
pɛsed,2
ɛsede,12
sedez,18
edeza,52
aʁbʁd,67
ʁbʁdɔ,1
bʁdɔn,1
ʁdɔnɑ̃,150
fʁyie,9
ʁyieɛ,2
yieɛj,1
ieɛjɑ̃,2
spɛsd,38
pɛsdj,3
ɛsdjø,4
sdjøv,3
tɛbɔ̃ɛ̃,2
ɛbɔ̃ɛ̃s,2
bɔ̃ɛ̃si,3
ɔ̃ɛ̃sii,2
fylət,1
ylətʁ,7
lətʁw,56
ətʁwa,103
tʁwaz,215
ʁwazj,128
wazjɛ,128
azjɛm,128
zjɛmʒ,100
jɛmʒu,191
ɛmʒuʁ,240
mʒuʁd,83
iliɛd,7
liɛde,4
iɛdel,2
ɛdely,1
delym,4
elymi,6
lymin,14
yminɛ,8
minɛʁ,12
inɛʁd,9
nɛʁdɑ̃,10
ɛʁdɑ̃l,165
ʁdɑ̃le,85
dɑ̃let,112
ɑ̃letɑ̃,16
ɑ̃dydy,13
dydys,12
ydysj,15
sjɛlp,22
jɛlpu,14
ɛlpuʁ,212
lpuʁs,47
puʁse,51
uʁsep,9
ʁsepa,49
epaʁe,160
paʁel,58
aʁelə,31
ʁeləʒ,11
eləʒu,68
ləʒuʁ,375
əʒuʁd,210
ʒuʁda,5
uʁdav,5
vɛkla,143
ɛklan,9
klany,4
lanyi,190
anyik,13
nyikə,3
yikəs,4
kəsəs,45
əsəsw,32
səswa,36
əswad,23
swade,26
wades,10
adesi,5
desin,17
esinj,34
sinjp,2
injpu,3
njpuʁ,7
jpuʁm,5
puʁma,31
uʁmaʁ,16
ʁmaʁk,5
maʁke,30
aʁkel,13
ʁkele,3
kelez,9
eleze,58
lezep,53
ezepo,17
zepok,5
epokl,5
pokle,1
okleʒ,1
kleʒu,1
leʒuʁ,131
eʒuʁz,34
ʒuʁze,83
uʁzel,20
ʁzele,141
zelez,167
eleza,162
lezan,138
ezane,58
zanee,1
aneek,2
neeki,5
eekil,38
ekils,56
kilsɛ,20
ilsɛʁ,41
lsɛʁv,49
sɛʁvd,29
ɛʁvdə,23
ʁvdəl,3
vdəly,1
dəlym,13
əlymi,6
lpuʁe,5
puʁek,13
uʁekl,7
ʁeklɛ,6
eklɛʁ,66
klɛʁe,28
lɛʁel,21
ɛʁela,75
ʁelat,23
idjøf,5
filed,6
iledø,12
ledøɡ,1
edøɡʁ,2
døɡʁɑ̃,2
øɡʁɑ̃l,2
ɡʁɑ̃ly,3
ʁɑ̃lym,4
ɑ̃lymi,4
inɛʁl,7
nɛʁlə,7
ɛʁləp,57
ʁləpl,13
ləply,93
əplyɡ,32
plyɡʁ,113
lyɡʁɑ̃,111
yɡʁɑ̃l,4
inɛʁp,4
nɛʁpu,7
ɛʁpuʁ,211
ʁpuʁp,25
puʁpʁ,117
uʁpʁe,42
ʁpʁez,36
pʁezi,7
ʁezid,37
ezide,18
zideo,4
ideoʒ,3
deoʒu,3
eoʒuʁ,59
oʒuʁe,3
ʒuʁel,21
uʁelə,15
ʁeləp,63
eləpl,26
əplyp,25
plypə,41
lypət,36
ypəti,38
pətil,9
ətily,1
tilym,1
ilymi,6
zidea,3
ideal,3
deala,7
ealan,6
alany,27
anyii,10
nyiil,19
yiilf,13
iilfi,8
ilfit,51
lfito,8
fitos,8
itosi,35
tosil,32
osile,38
silez,41
ileze,36
lezet,85
ezetw,40
zetwa,62
etwal,85
twald,35
waldj,1
aldjø,2
ldjøl,12
djøle,78
jølep,7
ølepl,2
lepla,44
eplas,61
plasa,102
lasad,25
asadɑ̃,18
sadɑ̃l,24
adɑ̃le,89
tɛʁpu,27
ʒuʁea,4
uʁeal,3
ʁeala,40
anyie,29
nyiep,3
yiepu,12
iepuʁ,40
epuʁs,126
aʁela,27
ʁelal,14
fylək,2
yləka,2
ləkat,36
əkatʁ,55
katʁi,77
atʁiɛ,63
tʁiɛm,62
ʁiɛmʒ,21
iɛmʒu,13
lezop,16
ezopʁ,22
zopʁo,10
opʁod,2
dyizt,7
yiztɑ̃,2
iztɑ̃n,2
ztɑ̃na,1
tɑ̃nab,23
ɑ̃nabɔ̃,30
nabɔ̃d,34
abɔ̃dɑ̃,104
bɔ̃dɑ̃s,80
ɔ̃dɑ̃sd,25
dɑ̃sde,10
dezan,83
ezani,94
zanim,110
animo,114
nimov,5
imovi,3
moviv,3
ovivɑ̃,10
vivɑ̃z,26
ivɑ̃ze,21
vɑ̃zek,2
ɑ̃zekə,15
zekəd,8
ekəde,6
kədez,21
ədezw,1
dezwa,13
ezwaz,75
zwazo,93
