r-gram,Counts
dam,3542
ami,2961
mit,577
its,1281
tsa,1755
sai,286
aiq,412
iqo,1011
qou,34
ous,16
usa,275
sax,1672
axu,422
xur,417
uru,17
rud,54
uda,521
dab,595
abu,91
bur,47
uri,540
rid,530
ida,6433
dai,1700
qob,88
obn,37
bne,243
nel,396
eli,3522
liu,164
iupʰ,358
upʰs,16
pʰsk,19
skr,53
kru,27
rul,625
uli,1851
lis,3632
isp,183
spi,255
pir,544
irz,28
rze,112
zed,761
eda,1921
das,1396
asu,540
sul,717
liɣ,133
iɣv,131
ɣvtʰ,333
vtʰi,344
tʰis,1232
isa,4321
aid,358
idz,787
dzv,149
zvr,23
vro,81
rod,192
oda,1016
dat,1033
ats,1450
tsq,1170
sql,122
qli,58
datʰ,947
atʰkʰ,591
tʰkʰv,1512
kʰva,619
vaɣ,38
aɣm,576
ɣme,888
mer,1067
ertʰ,1822
rtʰm,380
tʰma,684
mai,203
qos,283
osn,26
sna,366
natʰ,423
atʰe,262
tʰel,654
lid,1144
aikʰ,180
ikʰm,84
kʰmn,94
mna,97
nan,172
ana,2188
aix,175
ixi,156
xil,344
ila,392
laɣ,30
man,460
lir,171
iro,361
rom,1405
omk,50
mka,40
kar,458
arɡ,437
rɡi,80
ɡii,53
iiq,401
qod,133
daɡ,1470
aɡa,2235
ɡah,34
ahq,62
hqo,20
qon,27
ona,246
lib,122
ibn,59
saɡ,625
ɡan,2689
and,1322
nda,2029
dau,1332
aut,145
uts,262
tso,333
sod,222
daɣ,197
els,538
lsd,316
sdɣ,164
dɣe,693
ɣed,49
abn,141
lsu,79
sut,29
aɣa,455
ɣam,178
ame,1415
med,520
osa,535
saɣ,287
amo,2632
mod,493
odi,374
dil,329
lae,45
aer,209
rtʰi,838
tʰid,298
idɣ,139
osm,202
smq,12
mqa,52
qar,258
ari,2372
rit,241
qle,41
leb,2199
ebs,1607
bsʃ,104
sʃo,121
ʃor,344
ori,559
ris,1966
ism,2106
sma,962
matʰ,1686
atʰɡ,114
tʰɡa,339
ɡam,1201
amq,81
mqo,96
qopʰ,294
opʰa,55
pʰad,36
add,472
dda,526
daʃ,946
aʃe,1832
ʃekʰ,62
ekʰm,28
naɣ,99
mam,970
ɡaq,49
aqo,305
qoɣ,8
oɣm,75
ars,346
rskʰ,5
skʰv,269
kʰve,1584
vem,132
emo,659
mot,384
ots,433
sqa,399
qal,394
ali,1561
lim,841
imq,64
rsz,2
sze,162
zem,350
naa,350
aas,245
ase,473
sed,96
max,283
axm,100
xme,67
mel,386
ele,645
letʰ,232
etʰs,131
tʰsm,31
smi,1412
sad,1385
ada,4826
ʃeɡ,134
eɡr,23
ɡro,46
rov,60
ovi,376
vil,524
ilt,64
lts,129
als,439
lsz,6
szɣ,28
zɣv,459
ɣve,97
veb,866
ebi,4177
bid,721
mar,1740
aro,615
lam,370
mes,267
esa,1066
sam,2101
edɣ,142
ɣer,71
era,489
ratʰ,436
atʰa,1306
tʰaɡ,372
ane,1122
neɡ,47
eɡo,74
ɡotʰ,18
otʰd,62
tʰdɣ,36
ɡae,98
aeq,16
eqa,363
ara,2130
atʰn,31
tʰna,38
meo,217
eotʰ,49
otʰx,158
tʰxe,344
xed,385
daa,1702
aak,171
aku,173
kur,269
urtʰ,288
rtʰx,236
tʰxa,342
xai,59
ais,654
isi,2742
sin,1331
ini,707
niɣ,121
iɣm,247
ain,155
ina,1869
naq,150
opʰi,154
pʰie,15
ier,1038
ere,405
retʰ,337
etʰd,186
tʰda,1143
aim,338
imr,102
mra,251
rav,810
avl,533
vle,590
ɡaa,342
aav,91
avs,680
vse,152
setʰ,147
etʰz,13
tʰzɣ,6
ɣvi,221
vis,2479
ist,1197
sts,1591
dapʰ,177
apʰr,109
pʰri,56
rin,72
inv,93
nve,108
vel,2021
elm,322
lma,857
vlo,69
los,250
saz,281
aze,560
mex,69
exu,54
xutʰ,95
utʰe,35
tʰed,72
dao,159
aor,92
ortʰ,21
rtʰkʰ,22
tʰkʰl,1
kʰli,1
lia,1003
iad,395
adi,900
dio,129
iod,118
tsi,1517
sid,464
dan,1924
dar,690
arə,16
rət,130
əts,112
qav,242
avd,309
vda,415
sis,1022
smtʰ,245
mtʰe,561
elz,147
lze,353
dap,140
api,130
irs,91
rsd,126
sda,2602
amd,649
mdi,163
din,178
nar,486
are,1153
ree,57
eed,30
ede,234
dem,131
emi,1315
mid,943
anɡ,473
nɡa,508
moe,166
oed,45
edi,354
ine,502
neb,1662
ebo,453
bod,360
aba,462
baɣ,46
aɣi,96
ɣis,68
smo,661
mos,944
sar,1027
art,557
rts,257
ava,962
vad,399
ʃem,2454
emd,383
mde,806
deɡ,303
eɡi,90
ɡiq,62
opʰo,14
pʰod,42
aotʰ,33
tʰxt,1
xto,5
tot,34
ota,27
tad,218
imkʰ,37
mkʰv,54
veq,508
eqn,209
qni,181
nis,1836
iso,162
sokʰ,80
okʰr,203
kʰro,184
rok,18
oka,80
ikʰi,92
kʰiq,12
obr,80
bro,61
rol,20
oli,115
daz,137
azu,5
zur,46
urm,26
rmu,13
mux,35
uxt,6
xti,22
tis,199
iskʰ,309
eor,180
ore,332
rem,283
iss,1440
ssa,1634
axe,929
xel,941
lii,379
qoɡ,24
oɡi,180
ɡix,74
ixo,134
xon,22
oni,746
nii,229
iiɡ,36
iɡi,654
ɡiɡ,55
iɡa,956
ɡar,309
rsu,71
suv,5
uvl,22
vli,473
amtʰ,452
lskʰ,24
skʰu,17
kʰuʃ,23
uʃi,61
ʃis,167
qan,358
nas,467
asd,600
mem,189
rei,46
eiq,101
qot,44
oti,95
tiɡ,13
iɡr,44
ros,304
osi,329
sii,51
ɡim,144
imi,983
mie,232
ied,46
aaʃ,117
aʃu,129
ʃur,146
ɣmo,110
sav,840
etʰi,664
tʰitʰ,339
itʰd,674
xem,46
eev,24
evpʰ,6
vpʰr,8
pʰra,41
rat,162
ati,183
tid,56
autʰ,704
utʰx,1028
tʰxr,961
xra,820
rau,226
aupʰ,949
upʰa,1500
pʰal,1510
alm,653
maɣ,329
maa,217
aad,283
ams,621
msb,21
sba,126
isq,194
sqo,160
qov,445
ove,650
lix,187
