r-gram,Counts
aman,11
manf,156
anfa,92
nfaŋ,91
faŋʃ,2
aŋʃu,1
ŋʃuf,1
ʃufɡ,2
ufɡɔ,1
fɡɔt,16
ɡɔth,148
ɔthɪ,13
thɪm,16
hɪmə,749
ɪməl,755
məlʊ,202
əlʊn,619
lʊnt,1624
ʊnte,324
nteɾ,57
teɾd,49
eɾdə,1013
ɾdəʊ,278
dəʊn,936
əʊnt,5981
ʊntd,8004
ntdi,2758
tdie,99
dieɾ,258
ieɾd,211
ɾdəv,110
dəvɑ,46
əvɑɾ,252
vɑɾv,93
ɑɾvy,6
ɾvys,318
vyst,545
ystʊ,42
stʊn,1571
tʊnt,8325
ʊntl,1301
ntle,368
tleɾ,47
leɾʊ,6
eɾʊn,336
ɾʊnt,1985
ʊntɛ,2676
ntɛs,762
tɛsv,297
ɛsvɑ,267
svɑɾ,452
vɑɾf,171
ɑɾfi,31
ɾfin,16
fins,31
inst,209
nstɜ,233
stɜa,84
tɜaʊ,148
ɜaʊf,346
aʊfd,3002
ʊfdɛ,296
fdɛɾ,251
dɛɾt,1050
ɛɾti,29
ɾtif,19
tifə,67
ifəʊ,12
fəʊn,147
ntdɛ,2304
tdɛɾ,5235
dɛɾɡ,1277
ɛɾɡa,261
ɾɡaɪ,126
ɡaɪs,617
aɪst,1167
ɪstɡ,480
stɡɔ,101
tɡɔt,534
ɡɔtə,1162
ɔtəs,1163
təsʃ,39
əsʃv,19
sʃve,199
ʃvep,7
vept,18
eptə,88
ptəa,13
təaʊ,383
əaʊf,851
ʊfde,1253
fdem,701
demv,454
emva,129
mvas,279
vasɜ,755
asɜʊ,96
sɜʊn,137
ɜʊnt,2989
ʊntɡ,2013
ntɡɔ,274
ɡɔtʃ,54
ɔtʃp,33
tʃpɾ,2542
ʃpɾɑ,4552
pɾɑx,4552
ɾɑxɛ,249
ɑxɛs,69
xɛsv,14
ɛsvɛ,79
svɛɾ,241
vɛɾd,3508
ɛɾdə,3495
ɾdəl,16
dəlɪ,16
əlɪç,41
lɪçt,713
ɪçtʊ,562
çtʊn,686
ɛsva,174
svaɾ,176
vaɾt,1235
aɾtl,7
ɾtlɪ,5
tlɪç,710
ɡɔtz,205
ɔtzɑ,16
tzɑd,45
zɑda,109
ɑdas,376
dasd,2009
asda,273
sdas,1099
dasl,690
aslɪ,64
slɪç,202
ɪçtɡ,762
çtɡu,29
tɡut,133
ɡutv,30
utvɑ,12
tvɑɾ,562
vɑɾd,403
ɑɾdɑ,126
ɾdɑʃ,41
dɑʃi,2
ɑʃit,2
ʃitɡ,1
itɡɔ,4
ɡɔtd,551
ɔtda,112
tdas,3947
ɪçtf,845
çtfɔ,292
tfɔn,1209
fɔnd,2205
ɔndɛ,505
ndɛɾ,4619
dɛɾf,1022
ɛɾfɪ,87
ɾfɪn,83
fɪns,164
ɪnst,308
stɜn,435
tɜnɪ,216
ɜnɪs,405
nɪsʊ,76
ɪsʊn,157
sʊnt,3682
ʊntn,1076
ntna,108
tnan,11
nant,260
antə,716
ntəd,157
təda,620
ədas,1310
ɪçtt,589
çttɑ,8
ttɑɡ,18
tɑɡʊ,73
ɑɡʊn,73
ɡʊnt,122
tdif,326
difɪ,44
ifɪn,38
nɪsn,13
ɪsna,2
snax,86
naxt,593
axtd,283
xtdɑ,51
tdɑv,160
dɑva,121
ɑvaɾ,103
aɾta,138
ɾtaʊ,244
taʊs,756
aʊsɑ,41
ʊsɑb,180
sɑbə,52
ɑbən,2208
bənt,715
əntʊ,227
ntʊn,1486
ʊntm,1988
ntmɔ,36
tmɔɾ,29
mɔɾɡ,443
ɔɾɡə,666
ɾɡən,985
ɡənd,1243
əndɛ,3473
dɛɾe,321
ɛɾeɾ,245
ɾeɾs,62
eɾst,400
ɾstə,731
stət,352
tətɑ,55
ətɑk,41
tɑkʊ,81
ɑkʊn,152
kʊnt,770
ɾdəa,96
dəaɪ,46
əaɪn,809
aɪnə,16405
ɪnəf,524
nəfɛ,138
əfɛs,173
fɛst,337
ɛstə,310
təts,445
ətsv,188
tsvɪ,299
svɪʃ,214
vɪʃə,216
ɪʃən,351
ʃənd,206
ənde,886
nden,2593
denv,487
enva,138
nvas,738
asɜn,58
sɜnʊ,16
ɜnʊn,766
nʊnt,16344
tdiz,534
diza,119
izaɪ,251
zaɪa,96
aɪaɪ,117
ɪaɪn,116
aɪnʊ,872
ɪnʊn,1431
ʊntɜ,2213
ntɜʃ,38
tɜʃi,17
ɜʃit,15
ʃitt,7
itts,66
ttsv,686
sɜnd,21
ɜndɑ,115
ndɑm,129
dɑma,186
ɑmax,67
maxt,1647
axtə,1606
xtəɡ,15
