r-gram,Counts
en,44252
na,39293
ar,16629
rç,2012
çi,8035
ie,15236
ep,23004
pi,17346
ii,15688
is,79309
se,33608
no,26849
oθ,7086
θe,29307
eo,18652
os,60969
st,43766
to,61729
on,85874
nu,4051
ur,1371
ra,23799
an,34351
nk,13350
ke,51273
et,26775
ti,52305
in,48109
nj,1608
ji,12567
ni,37376
ið,14354
ðe,18949
ej,4565
it,26568
oa,5470
am,14582
mo,10918
or,10165
rf,201
fo,4472
sk,16616
ee,16989
er,21645
ri,32690
im,21461
es,20923
ko,9115
ot,19860
tu,39212
up,3253
pr,13234
ro,31390
so,17729
op,15684
pu,2044
ut,11148
sa,40088
av,8935
vi,6575
ss,9364
su,10051
uk,9902
pn,860
ne,33655
ev,10277
vm,1329
ma,16145
aθ,7191
eu,3168
ue,6484
ef,10495
fe,3148
re,9580
oe,4762
if,2612
fa,3514
aɲ,428
ɲa,1772
as,41212
ða,5345
at,38039
ei,15997
ip,22554
pe,13849
oz,5204
zj,1900
je,3909
iθ,8213
θi,16836
of,3392
ok,6478
ka,19740
al,16937
lo,14772
eð,9458
ði,18968
ex,2876
xo,4904
ap,16778
po,17477
us,24611
ek,25046
le,17122
si,54848
me,25984
nd,23115
do,11103
oð,7784
ik,17662
kt,4921
ta,29556
ak,15814
sp,9848
oi,8289
te,22113
om,19934
ea,12997
az,5797
zð,6530
ia,20323
ax,1406
iz,9449
zi,2781
ai,5389
du,5688
pa,16298
au,1345
að,6967
ft,32840
xθ,1164
θo,4807
uu,740
ui,8872
sf,2802
ks,12790
ir,21325
iŋ,2411
ŋɡ,8325
ɡz,124
aɣ,4130
ɣm,1236
eθ,8555
θa,5126
la,13312
zv,1390
vl,1842
ij,2801
ix,2199
xl,363
nx,740
rt,3370
oŋ,3971
ɡa,3112
mn,1228
od,5586
da,6554
nð,10210
ðr,2014
rp,780
ðo,8319
af,37675
uo,3112
iu,7586
rm,952
tr,6542
uð,6697
ðj,8216
ja,11626
zo,2642
zn,1453
mç,251
ça,1570
ec,4323
ce,4437
ru,3136
eɲ,684
eŋ,1039
ɡo,413
uz,3441
io,24859
zm,5200
eɣ,6461
ɣa,5051
lu,5448
nf,1358
nm,6392
ae,6417
sj,4480
mi,14351
kr,3923
fθ,3037
oɲ,672
em,10670
mp,381
ps,5226
xa,2593
de,5570
di,8762
ac,1392
ci,14801
ɡi,2510
um,2949
ao,4588
mb,9084
be,1248
bt,251
oj,1938
zl,2131
ɣo,7779
fk,301
sθ,9913
pl,3720
