r-gram,Counts
aisu,219
isukʰ,170
sukʰɾ,167
ukʰɾɪ,195
kʰɾɪs,827
ɾɪst,833
ɪstʌ,370
stʌn,281
tʌno,78
ʌnok,50
noka,12
okaʊ,1
kaʊʈ,1
aʊʈu,1
ʊʈun,1
ʈunb,36
unbɪ,1
nbɪk,1
bɪki,1
ɪkit,2
kitɪ,2
itɪh,4
tɪha,2
ɪhas,2
hascʰ,1
ascʰe,52
scʰet,38
cʰete,2345
eted,141
teda,22
edaʊ,31
daʊd,81
aʊdʌ,45
ʊdʌn,43
dʌna,50
ʌnap,335
napə,127
apəɾ,155
pəɾɪ,121
əɾɪʋ,49
ɾɪʋa,34
ɪʋaɾ,23
ʋaɾm,8
aɾmʌ̃,15
ɾmʌ̃tʰ,43
mʌ̃tʰi,666
ʌ̃tʰia,52
tʰiaʋ,119
iaʋj,55
aʋjo,547
ʋjoʌ,78
joʌn,427
oʌne,1187
ʌned,373
neda,23
aʊdi,1
ʊdib,1
dibɾ,1
ibɾa,130
bɾah,134
ɾahɪ,134
ahɪm,134
hɪmʌ,80
ɪmʌn,92
mʌna,265
ʋjoi,16
joib,5
oibɾ,18
hɪmi,2
ɪmis,2
mish,3
isha,16
shak,22
hakʌ,14
akʌn,48
kʌno,27
ʌnop,144
nopɪ,52
opɪt,109
pɪta,378
ɪtah,45
tahʌ,367
ahʌt,755
hʌto,1394
ʌtoi,54
tois,61
oish,4
hakj,2
akja,7
kjak,6
jaku,87
akub,80
kubʌ,53
ubʌn,55
bʌno,80
ʌtoj,62
toja,11
ojak,21
kubj,8
ubjə,1
bjəh,2
jəhu,809
əhud,808
huda,97
udaʌ,7
daʌn,8
aʌne,593
ʌnet,1606
nete,1497
eten,2042
tena,1179
enabʰ,39
nabʰa,84
abʰai,163
bʰaio,242
aion,36
iono,17
onop,20
tojə,31
ojəh,95
udap,12
dape,5
apeɾ,2
peɾe,4
eɾes,4
ɾesʌ,11
esʌn,20
sʌne,380
ʌnez,10
neze,2
ezeɾ,4
zeɾa,1
eɾah,18
ɾahʌ,21
ahʌn,14
hʌno,12
ʌtot,568
tote,721
oteo,243
teon,1076
eoni,202
onim,32
nima,155
imat,18
mata,54
atam,3
tama,36
amaɾ,153
maɾh,8
aɾhʌ,54
ɾhʌt,110
hʌti,497
ʌtip,88
tipe,1
ipeɾ,1
ɾesh,2
eshe,1
shes,1
hesɾ,2
esɾo,2
sɾon,2
ɾonʌ,18
onʌn,56
nʌno,90
ʌtoh,358
tohe,12
ohes,5
ɾona,21
onaɾ,19
naɾa,230
aɾam,514
ɾamʌ,29
amʌn,186
mʌno,129
ʌtoa,67
toaɾ,5
oaɾa,4
amʌm,41
mʌmɪ,1
ʌmɪn,4
mɪna,5
ɪnad,9
nada,23
adab,4
dabʌ,5
abʌn,61
ʌtoʌ,122
toʌm,19
oʌmɪ,3
dabn,1
abna,1
bnah,1
nahʃ,4
ahʃo,4
hʃon,4
ʃonʌ,142
ʌton,231
tona,26
onah,36
ʃons,1
onsə,1
nsəl,1
səlm,4
əlmo,4
lmon,5
monʌ,29
ʌtos,39
tosə,39
osəl,5
monb,1
onbo,1
nboa,1
boaz,5
oazʌ,3
azʌn,4
zʌno,3
ʌtob,31
tobo,3
oboa,3
zʌni,1
ʌnim,112
ataɾ,65
taɾa,292
aɾah,59
ɾaha,23
ahab,4
habh,1
abhʌ,9
bhʌt,6
ʌtib,8
tibo,1
iboa,1
oazo,1
azob,1
zobe,1
obed,6
bedʌ,3
edʌn,18
dʌno,25
ʌtoo,2
toob,2
oobe,3
dʌni,26
taɾu,2
aɾutʰ,1
ɾutʰh,1
utʰhʌ,1
tʰhʌt,9
ʌtio,1
tiob,2
iobe,1
bedj,1
edjə,1
djəʃ,1
jəʃa,93
əʃai,3
ʃain,2
aino,8
inop,11
ojəʃ,13
ʃaid,1
aida,1
idaʊ,6
aʊdɾ,2
ʊdɾa,2
dɾaɟ,6
ɾaɟa,211
aɟan,47
ɟano,30
anop,130
ʌtod,25
toda,5
odaʊ,12
aʊds,2
ʊdsu,2
dsul,1
sule,17
ulem,12
lema,17
eman,149
manʌ,125
anʌn,354
tosu,6
osul,3
nʌni,103
imap,7
mapə,10
apəh,81
pəhe,277
əhel,296
hela,181
elau,3
lauɾ,1
auɾɪ,1
uɾɪj,12
ɾɪja,121
ɪjan,175
jani,47
anip,73
nipʌ,61
ipʌt,36
pʌtn,42
ʌtni,37
tnih,9
nihʌ,52
ihʌt,362
ʌtis,15
tisu,80
isul,12
manɾ,6
anɾə,2
nɾəh,4
ɾəha,3
əhab,2
haba,3
abam,4
bamʌ,2
ʌtoɾ,30
toɾə,12
oɾəh,23
amʌb,2
mʌbɪ,1
ʌbɪj,3
bɪja,4
jano,25
toʌb,2
oʌbɪ,2
ɪjaa,9
jaas,5
aasa,2
asan,8
sano,22
toas,6
oasa,8
asaj,1
sajə,4
ajəh,159
jəho,24
əhoʃ,4
hoʃa,2
oʃapʰ,2
ʃapʰa,2
apʰaʈ,2
pʰaʈʌ,1
aʈʌn,3
ʈʌno,3
pʰaʈj,1
aʈjo,1
ʈjoɾ,1
joɾa,6
oɾam,5
tojo,16
ojoɾ,3
ɾamʊ,1
amʊz,1
mʊzɪ,1
ʊzɪj,2
zɪja,2
ʌtoʊ,3
toʊz,1
oʊzɪ,1
ɪjaj,3
jajo,9
ajotʰ,1
jotʰa,3
otʰam,4
tʰamʌ,2
ojotʰ,1
tʰama,16
amah,1
maha,1
ahaz,2
hazʌ,1
toah,3
oaha,1
hazh,1
azhɪ,1
zhɪz,1
hɪzk,2
ɪzkɪ,2
zkɪj,2
kɪja,28
tohɪ,1
ohɪz,1
ɪjam,101
jamə,9
amən,54
məna,15
ənaʃ,13
naʃʃ,3
aʃʃa,3
ʃʃan,2
ʃano,4
ʌtom,57
tomə,28
omən,20
ʃʃaa,1
ʃaam,1
aamo,2
amon,24
toam,15
oamo,3
monj,4
onjo,4
njoʃ,2
joʃɪ,5
oʃɪj,7
ʃɪja,23
ojəkʰ,3
jəkʰo,4
əkʰon,2
kʰonj,2
onja,98
njaʌ,3
jaʌn,276
iona,49
onap,77
napɪ,41
apɪt,199
ɪtaj,3
tajo,4
ajoʃ,1
ɪjah,9
jahʌ,227
hudi,51
udil,4
dilo,5
ilok,149
loko,2878
okon,1044
kone,836
oneɡ,10
neɡu,20
eɡul,12
ɡula,37
ulam,38
lamb,6
ambə,11
mbən,28
bəna,338
ənaʋ,337
naʋʌ,54
aʋʌʋ,283
ʋʌʋa,293
ʌʋam,478
ʋama,562
amaʈ,1060
maʈe,1834
aʈeb,54
ʈeba,9
ebab,51
babɪ,16
abɪl,16
bɪlm,1
ɪlmo,1
lmok,1
mokə,90
okəl,50
kəlʋ,30
əlʋa,97
lʋam,23
ʋamʌ̃,642
amʌ̃a,506
mʌ̃aʋ,577
ʌ̃aʋj,287
aʋjʌ̃,37
ʋjʌ̃t,7
jʌ̃te,83
ʌ̃tes,12
tesə,180
esəm,374
səmʌ,611
əmʌɛ,276
mʌɛj,280
