r-gram,Counts
kʰɾɪst,827
ɾɪstʌ,359
ɪstʌn,274
stʌno,25
kaʊʈu,1
aʊʈun,1
ʊʈunb,1
ʈunbɪ,1
unbɪk,1
itɪha,2
tɪhas,2
daʊdʌ,42
aʊdʌn,41
ʊdʌna,24
pəɾɪʋ,49
əɾɪʋa,22
ɾɪʋaɾ,22
ɪʋaɾm,3
ʋaɾmʌ̃,3
aɾmʌ̃tʰ,10
ɾmʌ̃tʰi,43
ibɾah,128
bɾahɪ,134
ɾahɪm,134
ahɪmʌ,71
hɪmʌn,70
ɪmʌna,20
ishak,14
shakʌ,9
hakʌn,9
akʌno,8
jakub,81
akubʌ,32
kubʌn,32
ubʌno,12
jəhud,809
əhuda,97
bʰaion,34
aiono,3
peɾes,4
zeɾah,1
eɾahʌ,2
ɾahʌn,4
ahʌno,3
teoni,192
tamaɾ,1
hesɾo,2
esɾon,2
sɾonʌ,1
ɾonʌn,3
onʌno,13
aɾamʌ,1
ɾamʌn,4
amʌno,51
ʌmɪna,4
mɪnad,4
ɪnada,4
nadab,4
adabʌ,2
dabʌn,2
abʌno,3
nahʃo,4
ahʃon,4
hʃonʌ,2
ʃonʌn,2
səlmo,4
əlmon,4
lmonʌ,2
monʌn,25
boazʌ,3
oazʌn,3
azʌno,3
azʌni,1
ɾahab,3
obedʌ,3
bedʌn,3
edʌno,4
edʌni,3
jəʃai,3
əʃain,2
ʃaino,1
ɾaɟan,38
aɟano,6
sulem,12
ulema,12
leman,12
emanʌ,7
manʌn,18
anʌno,45
anʌni,45
pəhel,208
əhela,181
uɾɪja,12
ɾɪjan,13
ɪjani,24
pʌtni,37
ɾəhab,2
əhaba,2
habam,2
abamʌ,1
bamʌn,1
ʌbɪja,3
bɪjan,3
ɪjano,15
asano,2
jəhoʃ,4
əhoʃa,2
hoʃapʰ,2
oʃapʰa,2
ʃapʰaʈ,2
apʰaʈʌ,1
pʰaʈʌn,1
aʈʌno,1
joɾam,2
oɾamʌ,1
ʊzɪja,2
zɪjan,1
jotʰam,2
otʰamʌ,1
tʰamʌn,1
ahazʌ,1
hazʌn,1
hɪzkɪ,2
ɪzkɪj,2
zkɪja,2
kɪjan,13
mənaʃ,5
ənaʃʃ,3
naʃʃa,3
aʃʃan,2
ʃʃano,1
amonʌ,1
joʃɪj,2
oʃɪja,6
ʃɪjan,4
jəkʰon,2
əkʰonj,2
kʰonja,2
aiona,3
əhudi,51
lokon,1019
okone,743
ɡulam,37
bənaʋ,337
ənaʋʌ,53
naʋʌʋ,32
aʋʌʋa,232
babɪl,16
mokəl,48
okəlʋ,30
kəlʋa,30
əlʋam,18
lʋamʌ̃,21
səmʌɛ,245
əmʌɛj,278
dəɾmj,42
əɾmja,42
ɾmjan,42
abɪlʌ,4
bɪlʌm,3
ɪlʌmʌ̃,3
teone,597
ʃəltʰɪ,2
əltʰɪj,2
ltʰɪje,2
tʰɪjel,2
ɪjelʌ,4
jelʌn,5
elʌno,13
zəɾun,4
əɾunb,4
ɾunbb,4
unbba,4
nbbab,4
bbabe,4
babel,4
abelʌ,11
belʌn,11
ʌbɪhu,2
bɪhud,2
ɪhudʌ,2
hudʌn,2
udʌno,2
eljak,4
ljaki,4
jakim,4
akimʌ,2
kimʌn,2
imʌno,5
ʌzoɾʌ,1
zoɾʌn,1
oɾʌno,6
sadok,2
adokʌ,1
dokʌn,1
okʌno,1
akʰimʌ,1
kʰimʌn,1
ʌlɪhu,2
lɪhud,2
eljaz,2
ljazə,2
jazəɾ,2
azəɾʌ,1
zəɾʌn,1
əɾʌno,52
mətʰtʰa,6
ətʰtʰan,2
tʰtʰanʌ,1
tʰanʌn,22
jusəpʰ,24
usəpʰʌ,24
səpʰʌn,24
əpʰʌno,9
jusʌpʰ,52
məɾɪj,92
əɾɪjə,92
ɾɪjəm,92
ɪjəmʌ,91
jəmʌn,86
əmʌno,16
isuni,160
təɾik,88
əɾike,87
orkʰaʋ,3
rkʰaʋa,1
laɡjo,31
hɪmʌtʰ,1
ɪmʌtʰi,1
sudʰin,6
udʰini,3
aʊdʌtʰ,1
ʊdʌtʰi,1
səməj,64
əməjə,65
məjətʰ,12
əjətʰi,34
stʌna,104
stʌni,73
isuna,153
wɪʂen,39
ɪʂeni,19
həkik,15
əkikʌ,7
kikʌt,7
pɾəma,206
ɾəmaɳ,206
əmaɳe,188
əmʌni,25
səɡai,1
lʌɡnə,33
əmʌne,1073
kʰʌbəɾ,55
pəʋɪt,311
əʋɪtɾ,311
ʋɪtɾə,317
atmatʰ,34
tmatʰi,35
ɡəɾbʰə,8
əɾbʰəʋ,8
ɾbʰəʋʌ,8
bʰəʋʌt,15
əʋʌti,9
kʰubʌɟ,34
maɳʌs,831
ɟaheɾ,35
aheɾʌ,10
heɾʌm,120
eɾʌmʌ̃,120
ləɟɪt,1
kəɾʌʋ,819
əɾʌʋa,534
icʰcʰʌt,105
cʰcʰʌto,54
cʰuʈacʰ,19
uʈacʰe,19
ʈacʰeɖ,19
acʰeɖa,19
apʋan,75
pʋanũ,34
kʌrju,384
ɟəjaɾ,7
əjaɾe,7
babət,32
abətʌ,32
bətʌn,6
ətʌno,26
wɪcaɾ,171
kəɾʌt,635
əɾʌto,174
tjaɾe,748
pɾəbʰu,303
ɾəbʰun,200
