r-gram,Counts
ad,2226
dɪ,8706
mẽ,16356
pə,13944
əɾ,35377
ɾm,3966
me,10798
eʃ,7310
ʃʋ,4914
ʋə,15187
ne,36207
ak,5026
ka,21120
aʃ,2254
ɔɾ,37624
pɾ,8372
ɾɪ,5229
ɪtʰ,809
tʰʋ,815
ʋi,1399
ki,16199
sɾ,3520
ɪʂ,2211
ʂʈ,1282
ʈɪ,1045
be,1820
eɖ,12
ɖɔ,21
ɔl,252
sʊ,3702
ʊn,12755
ns,481
sa,10991
an,16756
pʌ,14263
ʌr,7863
ri,1272
tʰi,1351
ɡʌ,6639
ʌh,21119
hə,16017
ɾe,13394
ɟʌ,5309
ʌl,5067
ke,40706
up,1067
ʌn,14093
ndʰ,1755
dʰɪ,1970
ɪj,21130
ja,24422
aɾ,20954
ɾa,26907
tʰa,7039
tʌ,6303
ʌtʰ,590
at,11242
tm,696
ma,9495
mə,6150
əɳ,2570
ɳɖ,1328
ɖə,796
əl,6264
la,7559
ta,15698
ʌb,14823
kʌ,21045
ha,14669
ʊɟ,515
ɟɪ,4556
al,8868
ho,17158
to,5405
ʌj,3126
le,9416
ko,20048
de,10030
ekʰ,2798
kʰa,3761
kɪ,18780
ʌcʰ,748
cʰcʰ,913
cʰa,1416
hɛ,16022
se,25602
lə,3583
əɡ,1399
ɪn,7220
sã,249
ãɟʰ,167
hʊ,6791
ʊi,1097
pʰɪ,3390
ɪɾ,10694
bʰo,533
oɾ,3278
ʊa,2040
ɪs,12192
ɾə,13075
ək,10831
hɪ,3056
ɪl,3692
pu,5112
ur,4039
rn,3864
nw,3385
wɪ,3385
am,10727
bi,1887
ic,1219
ek,5867
ɛs,3750
nt,7000
tə,5764
do,2553
bʰa,2851
aɡ,3534
ɟa,14376
ae,7846
ʌɾ,27542
ɾk,1496
ʊs,22849
sk,9776
ni,5114
ce,1467
ʋɛ,737
hi,6337
du,2195
us,2134
stʰ,2055
ɪk,4323
ʌʈʰ,757
ʈʰʈʰ,939
ʈʰa,1535
su,564
ukʰ,229
kʰi,294
bʰu,847
um,862
mɪ,3919
ɪkʰ,1140
ai,4778
ɟo,7905
sə,5929
əm,8487
mʊ,4213
ʊd,598
dɾ,1512
hʌ,1664
ɾi,8208
ɡʰa,665
as,6457
iɟ,89
ɟʋ,62
ʋa,17767
cʰo,1113
oʈ,758
ʈe,681
pe,546
er,1005
pʰə,349
ld,55
da,5879
ʋɾ,293
kʃ,1218
bʰi,5984
nk,4367
nh,3372
tɪ,5180
nʊ,3214
ot,2429
te,11652
hɛ̃,5108
ʊɡ,650
ɡẽ,103
ʌp,10966
pn,10053
ɡe,4689
ti,4292
is,1160
ɾn,3247
lɪ,10089
je,7262
ɟj,1024
jo,1643
jã,1223
hõ,2507
ʋe,5273
cɪ,1321
nɪ,5659
jə,21288
ət,6183
sʌ,10273
ʌm,4262
mj,73
jõ,11528
nõ,2127
ʋʌ,7403
rʂ,1007
ʂõ,259
en,1913
eʋ,4188
li,3234
ʈʰʌ,869
ɾẽ,1241
bʌ,7672
bə,4328
ən,14120
na,14701
in,2262
ɾʌ,10689
ʌbʰ,2289
bʰʊ,1372
ʊt,6040
ʈi,1174
aj,5652
ɡə,3615
sl,1544
ʌkʰ,1853
dẽ,253
cɔ,578
ɔtʰ,85
ɟi,1567
iʋ,1049
ʋɪ,6080
ɪt,6618
aɳ,1214
ɳɪ,244
bʰʌ,2884
ʌk,3449
ʃi,952
kẽ,141
ʊr,865
rẽ,147
ʌs,2902
re,2360
tʊ,12808
ʊõ,943
cʌ,2890
lt,1196
ɾt,3929
ʃɪ,628
əh,29893
iʂ,193
di,2770
pʰu,237
ul,1104
lo,4740
pʰʌ,665
ao,957
rh,3737
hẽ,2536
pã,697
ãc,366
cʋ,85
ʋã,119
ɳi,663
ɾtʰ,2116
ɡʰə,961
el,5751
lu,543
ʌʃ,1880
ʃʊ,2113
ẽɡ,2570
ɡn,176
nə,9733
əp,991
pʃ,47
tp,530
nn,1918
so,2042
ʊʂ,2327
ʂj,2284
sʋ,1354
ɾu,3978
aẽ,1817
mʌ,4901
cʰl,112
ɡt,203
ʌdʰ,1665
kʰẽ,312
nʌ,6931
ʊo,8
kʰo,1205
no,796
tn,1688
ʃõ,230
mɛ̃,7206
ʊm,6671
ɪe,1113
mh,3926
oɟ,593
ɟə,2951
kʊ,3038
ʊcʰ,1792
kj,6726
cʰʌ,257
ʈʰʋ,82
ap,2946
pt,739
tʋ,228
ʋẽ,369
ʊe,2306
ɪʃ,1959
ʃɾ,432
əʋ,4249
tɾ,7429
ʈʰə,1202
õk,3639
ʌc,2542
cn,185
ʌt,3056
oʋ,6765
mɛ,1504
ɛd,302
oi,1950
pɔ,205
ɔdʰ,19
dʰa,1589
ʈa,1194
ɡa,10652
hĩ,4482
ɾs,190
kʰe,982
et,2489
tɔ,660
ɔbʰ,542
ʊh,88
ʊʈʰ,1737
ʈʰt,90
sĩ,479
ĩc,109
də,1559
ɪʈ,417
ʈʈ,396
ca,5714
tʰn,13
pʰũ,135
ũk,135
ʋt,482
rʋ,921
ʌd,1574
ba,7010
aʈ,916
hã,2011
bʰã,208
ãt,380
kʰn,397
oh,972
cʰe,884
bʊ,1879
ʊɾ,2886
ɡj,1848
nd,2107
kl,642
kə,15144
ʌi,1081
pi,2021
iʃ,1557
ʃo,405
on,3618
il,606
ɡʰe,132
eɾ,11724
co,242
okʰ,218
mo,1188
ʊl,2026
lɛ,415
ɛm,545
tʰə,743
ɡi,2150
ih,725
ku,703
uʃ,972
ʃʃ,319
ʃu,629
uɾ,2381
ʃa,2588
tu,4381
bɪ,1635
kʰʌ,1259
ʌʈ,823
ʈk,307
kt,1984
si,4774
ʌʋ,1264
ʃj,235
eɡ,5129
aũ,884
ũɡ,2803
nɛ,107
ɛl,603
cə,3398
pa,6763
kʰt,858
ɖa,1848
mã,461
ãs,408
st,3232
əɖ,257
ɖɪ,175
ɪh,531
lʌ,3307
tɖ,114
əj,844
ʌɖ,70
ɖɖ,51
ɖi,113
oɡ,5490
pʊ,4692
uʂ,1084
pɪ,1780
or,1726
rə,612
he,5704
nẽ,187
ʌŋ,2274
ŋɡ,2168
tʰe,2643
əɟ,1668
ɾp,233
dʰu,328
ʂɛ,743
ɛj,3174
cʰu,224
un,825
ʃc,634
əɛ,343
ɾo,3229
ãkʰ,436
kʰʊ,228
lj,337
nbʰ,53
au,1534
ʊdʰ,1690
ah,5198
ʌɲ,144
ɲɟ,114
iɾ,1147
əŋ,199
ɡo,691
ʌɳ,1242
ɖe,469
ʃʌ,1508
bd,397
cʰɪ,441
ɪp,1088
ʌe,1686
ʊk,1536
ucʰ,556
ɖʌ,456
ʊɟʰ,4694
ɟʰe,2663
ɾɟ,136
eʈ,893
ʈt,111
nʃ,610
bɛ,1033
ɛɾ,271
ɾũ,896
sɪ,2036
ʊc,301
əs,1901
ir,620
ra,2623
ɾbʰ,129
bʰə,1521
dʊ,1008
kʰə,1234
ər,3175
rɪ,268
ok,1595
ls,106
ʊp,1038
atʰ,3394
kã,115
ãʈ,211
ũʈ,93
ʈə,833
kʈ,16
ʋʋ,56
ɪm,1636
mr,81
ɾkʰ,411
ɾɡ,1113
ub,909
bõ,46
ɾõ,2364
ɡʰu,121
mn,175
lʋ,780
jʊ,1077
kɛ,418
ɛn,137
nm,280
jt,164
ab,1382
mi,1612
bʰe,1560
kɾ,1225
ɾʋ,461
əʃ,505
bʰẽ,349
ẽʈ,348
lɔ,635
ɔʈʰ,82
ʈʰe,595
ɾb,332
ɡɾ,848
odʰ,554
mũ,683
ũh,628
əd,3148
dʋ,1546
əkʰ,366
kʰʋ,90
hũ,3441
hu,1841
ll,540
ol,1293
dʌ,1976
aɟ,5854
ar,1563
ɡʊ,435
ʊɳ,293
ɳa,434
lʈ,118
mm,793
ʊkʰ,883
od,348
ʌɡ,4304
uj,29
em,1741
bj,301
mb,589
it,1762
ju,514
iɳ,87
bã,259
ɟõ,150
bl,830
lk,333
ətʰ,627
tʰɪ,468
ɛ̃n,3
tɡ,15
ʃe,830
oʃ,484
aʋ,1333
ʋl,106
sɔ,585
aʈʰ,267
nɔ,150
bb,220
pɛ̃,30
ɛ̃s,5
əʈʰ,144
ed,1004
əɲ,42
ɲc,44
nʋ,364
op,379
nu,143
uh,230
rk,654
ʈʰɪ,134
ep,401
lõ,1338
ɪʋ,914
ʃə,1437
ac,886
cl,37
ɪc,452
əcʰ,59
cʰt,90
oc,201
dũ,659
dʰʌ,1468
rm,1606
ɡõ,1838
ɪɡ,261
ɡr,130
ʃn,25
lũ,337
kr,511
oʈʰ,185
ʈʰɾ,141
ɖʰʌ,98
ɔr,273
əc,1180
ũc,1333
kʰɪ,378
ɪr,753
dʰə,1235
ɟʰi,122
ʊẽ,190
cʰə,148
ɔʋ,52
uʈ,485
ɟʰə,112
ʂa,202
ʈʰi,717
ik,549
ʈʰn,89
tɛ,316
tj,987
jʌ,1865
ɖu,59
ln,705
tʰʌ,132
bʰõ,314
ɡʰʌ,1210
ʈn,266
rõ,482
kʰl,41
dĩ,53
kɔ,424
ɔa,6
ɪdʰ,543
əb,1742
bu,749
ut,685
pɛ,113
kn,232
adʰ,648
ɔʈ,495
az,49
cõ,158
õc,2
lp,181
ɾdʰ,75
lẽ,563
pʰɛ,236
ɔp,22
om,908
kʰd,56
dj,240
ɟɛ,886
ʋõ,232
bo,928
pk,82
tk,73
ʌɛ,362
õɡ,330
dʰʊ,625
dʰi,569
sm,710
akʰ,620
mdʰ,196
aɪ,526
tl,100
pr,243
dʰõ,90
icʰ,729
sõ,266
nj,1709
dɛ,249
ip,280
rʃ,325
põ,156
ɳʈ,41
bʰɪ,507
aʂ,149
aw,1427
bt,77
mɾ,488
mbʰ,447
ob,311
es,497
ud,2398
ɾʊ,335
ʃt,337
eʂ,129
ʂʈʰ,128
id,115
ɡɪ,1496
ʌɟ,1160
dm,77
oj,196
ji,1049
im,741
eb,473
mu,1683
lm,82
sr,6
uɟ,101
ʈẽ,82
cu,163
əʈ,1942
br,21
əɟʰ,379
ɛ̃t,47
cɔ̃,8
ɔ̃t,2
uɡ,28
bɾ,730
sd,93
əbʰ,408
lĩ,85
ɾɛ,274
jɪ,410
po,322
os,511
ɟe,503
ãɟ,47
uc,121
kkʰ,174
ɾd,819
ŋk,218
ɪd,987
ɾɔ,305
ɔn,964
mõ,626
dh,156
mp,182
ɟʰʌ,207
ɪɟ,496
ci,332
oə,61
pɟ,63
kõ,653
rj,453
rl,18
udʰ,548
ɔd,105
ɟu,167
ei,76
ʃp,13
ss,343
ɪb,577
ʃk,154
dʰe,466
ɔʃ,24
ʊʈ,326
ʈʊ,250
ədʰ,610
ʃm,171
ãʃ,39
tõ,1102
ɖʰa,218
ie,226
eɟ,1094
nũ,55
ẽr,51
ɪɳ,252
ɖʊ,60
kɖ,38
otʰ,138
tʰõ,248
pʈ,73
nĩ,78
ĩd,44
ʊʃ,157
ɡʰo,196
eʈʰ,74
ʊã,29
lɔ̃,33
ɔ̃ɖ,29
cʊ,760
ɟʰn,39
ɳn,4
bk,46
ʈʰẽ,60
dʰj,289
tẽ,943
tʰĩ,325
lɾ,7
eh,490
dʰũ,45
pʰʊ,170
ʃɛ,203
lr,17
ɾh,178
sh,150
ɡl,75
kĩ,39
pj,196
ɛʈʰ,536
dɔ,135
tʰo,216
ãʋ,443
dʰo,303
ʌɖʰ,6
ɖʰẽ,3
ʌa,9
ɡu,86
ɟʰʊ,163
cʰr,175
sn,288
kʋ,47
idʰ,163
cm,96
kʰũ,140
oɖ,32
ɖũ,49
ɖʰɪ,14
ɪʈʰ,141
pʰa,640
oɪ,12
ɔk,213
ʋn,364
ɪcʰ,362
ʋj,1130
ʋh,77
kʰĩ,110
ʈo,359
dõ,180
mɟʰ,234
ɟʰa,284
ʈʰo,203
ɾc,170
kũ,117
ct,121
rɳ,219
ɳə,377
pʰe,181
ʊpʰ,315
oẽ,27
oa,471
oʂ,521
kʰõ,272
ɡĩ,39
əpʰ,66
cʰʊ,489
tʰɛ,24
bʰɾ,49
