r-gram,Counts
kɛ,21340
ɛz,10437
zd,856
dɛ,21901
ɛt,33972
tb,604
bɛ,15018
ɛn,36379
tɛ,40253
ɛr,20817
rɛ,13046
ɛm,26219
mt,1306
te,8047
iʃ,11031
ʃt,9975
ɑz,36871
ɛɡ,20189
ɡɛ,10557
eʃ,42468
fø,3459
øl,6300
ld,15037
pɛ,8762
ɛd,17354
di,9633
iɡ,10421
ki,20506
iɛ,870
tl,1077
lɛ,26763
pu,1340
us,1273
st,12391
tɑ,18299
vɑ,17477
ɑl,23452
lɑ,14185
ʃɛ,11458
et,8759
tʃ,14069
ʃe,8830
eɡ,9846
me,5722
ej,1077
jʃ,208
si,3225
in,18265
ne,12044
en,12391
ɛl,45183
lk,3837
ɛb,1475
vi,6197
iz,6142
zɛ,9648
ɛk,36142
fɛ,9625
mo,12376
on,20803
nd,16086
dɑ,8383
ɛɟ,10121
ɟɛ,5157
il,11570
la,9912
aɡ,6408
ɡo,6012
oʃ,7031
ʃʃ,5981
ʃa,8092
lo,13457
at,11840
ta,10755
ho,15148
oɟ,9146
jo,5761
lv,2906
va,7269
al,13716
ɑs,5188
ot,24144
ɡt,1984
to,18161
ol,22597
nɛ,31845
ɛv,3655
vɛ,14163
ze,5405
nɑ,25668
ɑp,5244
pɑ,3137
ln,2756
ɑk,29169
js,161
sɑ,3427
ka,2897
an,13706
ɛʃ,10207
lʃ,911
ʃo,8121
mɛ,35997
ɛɲ,2296
ɲɲ,2214
ɲɛ,2212
kø,6926
øz,3510
zø,1327
øt,3886
ɛj,8491
ss,2870
kt,1451
ɛh,1194
ha,6168
ɑt,20375
uɟ,1669
ɡn,965
ma,4017
aʃ,6790
od,5090
ik,13779
ɟy,2113
yʎ,320
ʎj,3712
jɛ,9251
ɟb,372
hɛ,5477
jr,338
ek,13288
ɡɑ,8792
sa,3468
ar,9850
rɑ,12333
zɑ,4262
dn,2542
yl,7212
lt,11987
nɡ,3293
rn,2797
zu,2004
ut,4320
hɑ,14272
ɑj,3942
jt,2313
fy,688
yv,285
mɑ,9807
ɑɡ,4804
ɡh,1386
oz,8681
zo,6277
ym,244
mø,402
ʃf,105
fa,955
ʃø,531
zz,3174
ti,15841
sɛ,9313
ri,4717
nt,13277
jb,221
ɡv,1351
dø,1391
øn,1593
rm,1801
jn,561
eb,2776
ɑn,17320
ɑr,9932
ɑd,7329
ɡi,1541
it,15682
ak,5669
ro,9586
oi,833
yn,3275
nn,5663
ɛp,690
kn,3628
po,2776
ok,21502
ɛs,8884
do,9223
ku,575
ul,3570
ʃɑ,6028
dr,1166
ke,5586
ɑɟ,5524
ɟo,1792
ob,2214
bi,2827
ur,8964
ko,10165
ɟe,1483
jj,2199
ʃi,4406
ll,6899
kɑ,8591
er,11747
ɟɑ,4620
ɛʒ,29
ʒd,36
dy,276
el,6682
ɲy,108
yʒ,9
ʒɡ,43
ɡe,4184
pd,25
zi,1219
mi,21368
ʃu,997
so,6726
as,534
ʒø,17
øɡ,419
kb,1841
øk,3980
nf,193
fe,3055
rɲ,347
ɲɑ,1453
ɑʃ,4715
ɡa,4593
da,5168
dv,2300
or,11277
tø,4172
ɛi,5035
ød,420
bɑ,9921
zf,33
ʃy,468
nk,6364
mb,4373
rt,14443
ep,4407
py,108
kr,1866
nl,370
ɡu,639
un,1947
ɑi,8552
es,3510
pe,1055
rf,1101
fi,7621
iu,708
uv,193
oɲ,1677
ɲa,1468
ir,7314
lm,4408
im,4345
ly,526
le,5433
om,6914
ve,7930
mu,1239
aj,6157
ja,5341
ɡs,1078
sy,1249
iv,4327
lh,1666
tv,2193
rz,326
mm,1911
if,360
nø,609
øv,2399
eɲ,1911
bo,7688
ɛʎ,1190
nb,821
pa,964
fo,4042
ra,10004
ab,5624
tn,1701
iɟ,1562
ed,1547
pk,143
ɑb,3105
db,771
tr,814
lr,595
no,2704
os,3002
tu,3706
ud,2123
oj,2218
ov,1382
ɡø,910
eɟ,1677
oa,1018
ɡr,949
pi,1371
ry,1301
li,3348
ɑv,1355
ɑh,900
de,3405
ɑɲ,1102
bd,36
io,456
ni,4943
ks,524
ih,636
kh,1484
hu,1176
uʃ,4462
hi,3043
id,4745
iɑ,6923
ɛu,1144
uf,149
fr,336
rc,324
ce,96
ba,1957
je,3285
ls,536
mj,393
rʃ,826
za,4220
rh,669
mn,1073
rr,687
lu,609
vo,3319
lb,787
rd,1941
ai,1614
zy,1618
rb,837
ae,404
ɑc,2871
ca,2485
sk,415
eh,576
sn,718
dk,257
ms,466
se,2926
na,3277
ɲn,233
ty,1367
ɑʎ,254
jɑ,5703
mh,816
ɡɲ,266
ɲi,1090
tk,1216
zn,1353
fɑ,1333
bø,516
rj,1702
jø,1826
sr,150
ɛf,979
øs,1035
ør,4782
hy,176
vø,464
øʃ,638
am,4737
ɡf,588
ml,1536
em,906
pj,741
ib,1202
nʃ,914
ʃk,1214
rk,645
ɡʃ,652
jd,541
ɡz,206
lɡ,3494
ɑm,5903
av,2245
eʎ,382
oɡ,3297
ts,3697
ad,2348
ev,1501
ɡl,746
is,3575
rs,702
ʃm,969
ru,2895
uh,854
lø,1451
tm,402
ɲu,542
uj,906
rø,1915
ky,2261
iy,104
yz,937
ub,384
ɡj,1050
uc,229
re,2363
he,979
cɑ,1778
ɑf,579
ia,2862
ju,2233
dm,33
jz,32
nr,109
ie,629
yɡ,159
by,936
ɛa,2003
aɟ,335
ɟa,1435
df,120
mf,491
øb,615
be,1213
bu,621
rl,484
ɟʃ,88
zh,267
øm,727
ɡb,1140
øʎ,161
hn,72
mz,1283
aɛ,2755
th,2577
ɟi,1327
co,201
mp,359
ʃn,1348
ip,992
ez,2154
ʃs,18
uɡ,729
oh,1037
mr,575
bz,17
fj,185
ɡy,440
yt,954
su,394
nh,408
ɟm,233
vn,63
øɲ,795
ɲv,236
az,4410
sz,2062
ɲo,1668
zs,44
aɲ,2571
zv,520
ɟv,643
ah,680
ht,49
oe,99
af,188
sʃ,228
ɟk,38
uɑ,78
aʎ,571
of,1114
vy,377
bl,182
ɟd,31
dl,50
nv,547
sø,630
ʃd,988
dh,361
tp,76
ɲe,504
ɡp,200
pr,1102
pb,109
lf,616
ɟr,101
ɡm,583
kl,587
iɲ,225
ɟt,349
jf,84
ij,890
mv,637
tt,51
zɡ,105
ɑa,389
zt,830
bt,33
hm,27
nɟ,2049
ft,103
uk,1331
hr,45
sl,482
uz,372
rɡ,956
vv,98
rv,1542
lɟ,541
ɟø,329
ac,472
rp,202
kʃ,680
ʃl,168
ef,85
ɟf,31
du,874
yk,788
oʎ,574
ɟs,164
eu,15
zk,111
br,537
sd,31
ji,378
ii,151
lj,500
ɲø,526
ei,335
pt,946
ɲt,590
ɑo,330
oɛ,178
ɲs,71
ee,161
ɲb,283
yʃ,741
kj,183
ɟu,441
cɛ,126
ɟh,157
ʃp,84
ʃb,904
lp,358
hk,3
fu,555
up,45
iʒ,300
ʒo,134
øc,8
ys,152
bf,22
tf,135
pl,419
my,240
ic,348
kf,171
nz,98
jh,247
ʒa,1124
mk,342
ns,201
kv,105
jy,192
jl,253
bj,141
sb,46
zb,501
sc,79
cy,59
yr,411
yj,291
ʃc,54
øh,17
bn,327
ny,612
ɡɟ,165
op,625
tɡ,74
ɛe,68
ɛy,103
ʃɲ,9
yɟ,177
ɡd,171
ɲʃ,513
ɲr,50
ue,245
um,137
oc,31
ʃr,404
lc,83
kp,6
ɲz,39
yd,84
ɛɛ,162
ɲf,7
ʃh,280
ɟɟ,38
uʎ,244
vj,105
rɟ,52
jk,154
ɑɑ,281
bs,28
pn,399
ɑʒ,46
ʒn,20
eʒ,109
ʒɑ,179
ɑu,589
dz,25
nu,425
sm,14
øj,80
au,39
ɟl,36
ɛc,53
mɡ,39
ɛɑ,216
ou,116
ɛo,245
oʒ,501
ʒɛ,384
fn,56
tɲ,22
sp,9
bh,36
nc,214
zr,2824
hb,91
md,91
oo,49
hl,88
mʃ,139
eɛ,163
cu,54
ʃj,49
ɟn,151
lʒ,14
ɛø,17
ʒi,476
ff,10
zɟ,20
pv,14
lɲ,115
ɲl,48
fh,19
nɲ,425
tʒ,4
ʃɡ,11
zl,84
uɛ,176
ʃv,218
hp,4
cj,1
bk,56
yh,20
hø,110
km,140
jc,47
ua,74
øɟ,40
ui,191
ph,71
jv,45
sh,52
hʃ,34
aʒ,67
ʒl,32
bʃ,198
pʃ,97
ɲd,43
mɲ,51
jɡ,84
ɲh,69
hɲ,13
bv,30
oy,17
ʒu,218
vb,81
iø,65
tz,24
ɟz,11
vu,20
øf,9
uʒ,832
yb,9
yɛ,76
sɲ,7
sv,38
cø,9
kd,20
ey,15
zm,40
ɲk,63
vt,96
pɲ,50
hf,8
kɲ,11
ps,58
aɑ,9
ɑɛ,28
pf,15
ay,5
øp,29
jm,9
uɲ,52
pø,27
rʒ,153
ʒb,3
ʒe,67
vs,21
ɑe,25
fs,1
lz,43
yɲ,13
ɲp,9
sɡ,8
oɑ,103
ɲɟ,2
eo,1
bm,7
fk,5
dɡ,15
sj,3
ʒr,8
zɲ,17
mɟ,42
vʃ,27
hv,20
vd,18
ap,68
jʒ,6
td,25
nm,79
zj,1
kz,9
fl,10
eɑ,22
cr,4
ao,13
mʒ,4
tj,49
hh,3
ʒt,20
yf,1
iʎ,6
tɟ,15
nj,11
pm,46
ʒm,5
aa,4
ds,28
zʃ,6
bp,1
zp,5
fb,6
dɟ,1
fm,2
vr,12
ɑy,19
dʃ,8
ea,3
fʃ,15
kk,2
ɡʒ,3
dɲ,1
bɡ,3
pz,3
hɡ,5
hd,10
hj,11
fd,1
hz,3
ye,2
vk,2
ɲʎ,4
vh,53
jp,1
sf,2
dj,5
vl,11
yi,6
ec,5
pʒ,2
kɡ,2
ʒy,3
ɟj,5
ʃz,3
jɲ,1
mʎ,3
yc,1
bc,2
bɲ,8
vɲ,3
ɲm,3
vm,5
vc,1
ck,3
vz,1
pɟ,2
