r-gram,Counts
kɛzdɛ,212
ɛzdɛt,150
zdɛtb,9
dɛtbɛ,25
ɛtbɛn,167
tbɛnt,15
bɛntɛ,31
ɛntɛr,36
ntɛrɛ,45
tɛrɛm,262
ɛrɛmt,177
rɛmte,33
ɛmtei,3
mteiʃ,3
teiʃt,7
eiʃtɛ,32
iʃtɛn,4885
ʃtɛnɑ,345
tɛnɑz,119
ɛnɑzɛ,101
nɑzɛɡ,68
ɑzɛɡɛ,124
zɛɡɛt,33
ɛɡɛte,56
ɡɛteʃ,171
ɛteʃɑ,429
teʃɑf,96
eʃɑfø,135
ʃɑføl,156
ɑføld,1411
føldɛ,514
øldɛt,348
ldɛtɑ,220
dɛtɑf,7
ɛtɑfø,48
tɑføl,225
føldp,22
øldpɛ,10
ldpɛd,12
dpɛdi,104
pɛdiɡ,5896
ɛdiɡk,261
diɡki,97
iɡkiɛ,4
ɡkiɛt,3
kiɛtl,18
iɛtlɛ,18
ɛtlɛn,486
tlɛne,20
lɛneʃ,287
ɛneʃp,16
neʃpu,4
eʃpus,34
ʃpust,46
pustɑ,142
ustɑv,6
stɑvɑ,24
tɑvɑl,227
ɑvɑlɑ,839
vɑlɑe,594
ɑlɑeʃ,574
lɑeʃʃ,26
ɑeʃʃɛ,25
eʃʃɛt,7
ʃʃɛte,6
ʃɛtet,55
ɛtetʃ,42
tetʃe,138
etʃeɡ,164
tʃeɡv,13
ʃeɡvɑ,36
eɡvɑl,18
ɡvɑlɑ,126
vɑlɑɑ,1050
ɑlɑɑm,67
lɑɑme,2
ɑɑmej,5
ɑmejʃ,44
mejʃe,78
ejʃeɡ,128
jʃeɡs,1
ʃeɡsi,6
eɡsin,3
ɡsine,3
sinen,42
inene,8
neneʃ,7
eneʃɑ,51
neʃɑz,256
eʃɑzi,257
ʃɑziʃ,137
ɑziʃt,1659
ziʃtɛ,1662
ʃtɛnl,68
tɛnlɛ,34
ɛnlɛl,30
nlɛlk,156
lɛlkɛ,625
ɛlkɛl,268
lkɛlɛ,117
kɛlɛb,2
ɛlɛbɛ,11
lɛbɛɡ,5
ɛbɛɡv,1
bɛɡvɑ,1
ɛɡvɑl,32
ɑlɑɑv,25
lɑɑvi,12
ɑɑviz,19
ɑvizɛ,134
vizɛk,181
izɛkf,18
zɛkfɛ,21
ɛkfɛl,317
kfɛlɛ,348
fɛlɛt,458
ɛlɛte,133
lɛteʃ,170
ɛteʃm,322
teʃmo,449
eʃmon,1837
ʃmond,1877
mondɑ,3007
ondɑi,104
ndɑiʃ,25
dɑiʃt,20
ɑiʃtɛ,103
ɛnlɛɟ,43
nlɛɟɛ,142
lɛɟɛn,1226
ɛɟɛnv,44
ɟɛnvi,4
ɛnvil,11
nvila,20
vilaɡ,516
ilaɡo,277
laɡoʃ,204
aɡoʃʃ,161
ɡoʃʃa,182
oʃʃaɡ,442
ʃʃaɡe,55
ʃaɡeʃ,107
aɡeʃl,7
ɡeʃlo,12
eʃlon,328
ʃlonv,3
lonvi,2
onvil,2
ɡeʃla,16
eʃlat,184
ʃlata,117
latai,15
ataiʃ,10
taiʃt,18
aiʃtɛ,28
ʃtɛnh,234
tɛnho,49
ɛnhoɟ,248
nhoɟj,20
hoɟjo,90
oɟjoɑ,6
ɟjoɑv,1
joɑvi,1
oɑvil,2
ɑvila,200
aɡeʃɛ,8
ɡeʃɛl,32
eʃɛlv,189
ʃɛlva,23
ɛlval,84
lvalɑ,54
valɑs,367
alɑst,310
lɑsta,48
ɑstai,1
staiʃ,1
tɛnɑv,11
ɛnɑvi,13
nɑvil,12
ʃʃaɡo,545
ʃaɡot,804
aɡotɑ,134
ɡotɑʃ,3
otɑʃɛ,10
tɑʃɛt,6
ɑʃɛte,27
tʃeɡt,34
ʃeɡto,27
eɡtol,37
ɡtole,12
toleʃ,347
oleʃn,77
leʃnɛ,156
eʃnɛv,106
ʃnɛvɛ,120
nɛvɛz,178
ɛvɛze,130
vɛzei,3
ɛzeiʃ,4
zeiʃt,5
aɡotn,26
ɡotnɑ,6
otnɑp,10
tnɑpɑ,14
nɑpɑl,150
ɑpɑln,3
pɑlnɑ,2
ɑlnɑk,65
lnɑke,89
nɑkeʃ,1585
ɑkeʃɑ,496
keʃɑʃ,33
eʃɑʃɛ,33
ʃɑʃɛt,2
tʃeɡɛ,702
ʃeɡɛt,630
eɡɛtn,19
ɡɛtnɛ,36
ɛtnɛv,16
tnɛvɛ,94
vɛzee,5
ɛzeej,1
zeejs,1
eejsɑ,1
ejsɑk,123
jsɑka,55
sɑkan,35
ɑkanɑ,38
kanɑk,101
anɑke,466
ɑkeʃl,54
keʃlo,47
ʃlonɛ,36
lonɛʃ,7
onɛʃt,11
nɛʃtɛ,14
ɛʃtɛe,16
ʃtɛeʃ,15
