r-gram,Counts
pad,15451
ada,30832
dam,3571
amu,7277
mul,1204
ula,4464
laɲ,242
aɲa,8310
ɲaw,175
awa,6340
wak,2524
akt,2668
ktu,1969
tua,2920
ual,627
ala,24114
lah,23695
ahm,6292
hmu,1511
laɪ,3049
aɪm,1434
ɪmə,375
mən,14984
ənt,3400
ntʃ,3211
tʃi,1665
ʃip,227
ipt,157
pta,242
tak,8065
aka,27733
kan,37999
ana,18805
nal,2160
lam,7490
ams,702
msə,568
səm,5864
əmɛ,997
mɛs,855
ɛst,312
sta,975
tab,1415
abu,1310
bum,691
umi,907
mib,341
ibɛ,535
bɛl,1939
ɛlu,897
lum,2071
umb,442
mbə,1770
bər,20771
ərb,3067
rbə,521
bən,1871
ntu,9744
tuk,8733
ukd,925
kda,1784
dan,23094
anm,16679
nma,2172
mas,4459
asi,4775
sih,2200
ihk,413
hka,5481
kat,10080
atʃ,1328
tʃa,5067
ʃaʊ,59
aʊb,951
ʊba,175
bal,2172
laʊ,2226
aʊs,889
ʊsa,255
sam,5651
mud,3951
udr,40
dra,71
raj,804
aja,16318
jaŋ,23158
aŋb,5017
ŋbə,2640
ərɡ,855
rɡə,124
ɡəl,250
əlɔ,37
lɔr,171
ɔra,11052
aŋm,7295
ŋmə,5162
ənu,1973
nut,263
utu,2665
tup,1558
upi,377
pis,841
isə,4245
səɡ,1566
əɡa,1686
ɡal,3850
las,1528
asə,7217
səs,1467
əsu,1575
sua,1872
uat,4658
atu,8090
tud,4505
udi,4367
dil,1992
ili,2159
lip,383
ipu,1081
put,1021
uti,2089
tio,364
iol,297
olə,2975
ləh,3003
əhɡ,6
hɡɛ,30
ɡɛl,239
ɛla,3365
lap,1272
apɡ,40
pɡu,31
ɡul,165
uli,1290
lit,1425
ita,6638
tat,1222
atə,2651
tət,3608
əta,4487
tap,5712
api,5322
pik,1083
iku,2646
kua,3630
uas,1997
asa,9336
saa,1090
aal,1681
ahb,2785
hbə,1696
rɡɛ,113
ɡɛr,1934
ɛra,3359
rak,2538
akd,2147
kdi,1240
dia,6672
iat,2214
ata,19166
tas,3065
asp,484
spə,384
pər,10249
ərm,762
rmu,334
muk,1621
uka,8046
kaa,1497
aan,3829
naɪ,862
aɪr,833
ɪra,279
ral,322
ərk,5730
rka,7500
tad,1747
adʒ,9319
dʒa,22111
ʒad,4995
adi,10782
ila,6860
aht,3759
htɛ,531
tɛr,1148
raŋ,19874
aŋl,2649
ŋla,2020
lal,4794
alu,5078
lua,1808
uad,907
dat,3962
atɛ,990
aŋa,6234
ŋal,480
ahs,3568
hsɛ,411
sɛn,390
ɛna,4063
naŋ,1655
məl,4895
əli,2789
lih,2643
iha,4499
hat,5699
ath,349
tha,318
hal,2865
ali,7777
itu,19453
tul,1952
lud,602
dip,2676
ipi,501
isa,3660
sah,1070
ahk,7629
anɲ,4025
nɲa,4419
ɲat,2111
aŋi,3760
ŋit,1943
uda,9045
dar,9425
ari,11977
riɡ,204
iɡɛ,135
apd,489
pda,357
and,16633
ndi,7222
din,621
ina,2749
nam,2972
ama,12280
mak,5287
tus,4661
usi,1872
sia,2843
iaŋ,771
aŋd,6823
ŋda,2579
anɡ,688
nɡɛ,124
pit,580
tum,2936
uma,5482
mal,2372
amm,518
mma,325
aml,208
mlɛ,42
lɛw,572
ɛwa,707
wat,492
atd,2727
tda,1850
ndʒ,8870
ahp,1995
hpa,692
paɡ,374
aɡi,5105
ɡii,110
iit,1399
ahh,921
hha,999
har,5914
rij,722
ija,2200
aŋp,2501
ŋpə,1006
ərt,4102
rta,2628
tam,2419
akə,7307
kəm,4040
əmu,6135
ian,8310
hsə,2305
səb,3354
əbu,694
bua,4178
uah,1258
hku,1209
kub,2263
uba,2014
bah,6249
ahu,4674
hun,1343
unt,7019
ukm,3093
kmə,4864
məm,12201
əmb,10866
mba,8174
