r-gram,Counts
inp,654
npr,493
pri,2083
rin,762
int,3180
ntʃ,2385
tʃi,5871
ʃip,379
ipi,185
pio,936
iod,2045
odi,3626
dio,4452
iok,1155
okr,222
kre,665
reɔ,33
eɔi,2
ɔil,629
ilt,1652
ltʃ,809
tʃɛ,3273
ʃɛl,1049
ɛlo,777
loe,918
oel,1098
ela,5948
lat,5912
atɛ,3098
tɛr,2437
ɛrɾ,1789
rɾa,2529
ɾao,362
aor,499
ora,4328
ral,1162
ala,4371
ɾaɛ,40
aɛr,272
ɛra,3255
rai,1450
ain,2554
inf,1343
nfo,197
for,1273
orm,520
rme,578
mee,720
eed,1187
ede,7514
dez,767
ezɛ,1154
zɛr,1091
ɛrt,1907
rta,1867
tae,1263
ael,1801
ele,3690
let,2000
etɛ,581
tɛn,1431
ɛne,1312
neb,380
ebr,669
bre,217
rer,656
eri,4549
rik,1617
iko,2566
kop,524
opr,2404
riv,979
iva,1043
van,4832
ano,8705
nol,1877
ola,4638
lab,917
abi,2178
bis,115
iss,3520
sso,2688
soe,280
elo,2222
los,1861
osp,1064
spi,933
pir,832
iri,1208
rit,3385
ito,4613
tod,4596
odɪ,7483
dɪd,3789
ɪdi,3320
ioa,844
oal,3913
ale,3564
led,2815
edʒ,4085
dʒa,1817
ʒav,77
ava,4654
vas,544
asʊ,2974
sʊl,2248
ʊll,1485
lle,5482
lea,1794
eak,1058
akw,3142
kwe,3312
wed,306
edi,5001
dis,3975
sse,5944
ses,707
esi,821
sia,2042
ial,724
lal,2586
alu,570
lut,446
utʃ,441
tʃe,8506
ʃee,320
eel,1064
ʃef,99
efu,64
fud,114
udi,469
iov,537
ovi,1118
vid,1584
ide,2187
dek,567
eke,2674
kel,1187
ʃeɛ,22
eɛr,1011
rak,1691
akɔ,1104
kɔz,1284
ɔza,873
zab,131
abʊ,275
bʊɔ,357
ʊɔn,353
ɔna,336
nae,381
aes,858
ese,1711
sep,830
epa,1898
paɾ,1714
aɾɔ,1888
ɾɔl,1660
ɔla,1290
ʃed,1046
eda,3059
dal,4332
all,9188
rek,2834
ekj,398
kja,1455
jam,2630
amɔ,702
mɔl,45
dʒo,4415
ʒor,2229
orn,3131
rno,2237
noe,1537
ren,2067
enɔ,484
nɔt,424
ɔte,917
tee,1414
eef,228
efʊ,613
fʊs,121
ʊse,87
ser,2854
era,4856
rae,1560
aef,198
fʊm,73
ʊma,242
mat,1577
ati,1125
tin,893
ina,2791
nap,671
apr,2528
rim,1933
imo,1800
mod,975
odʒ,2318
nod,3810
iai,562
ail,2806
ilf,963
lfi,536
fir,55
irm,77
rma,659
mam,155
ame,3003
men,3547
ent,6181
nto,4857
toi,3801
oin,4119
inm,1035
nmɛ,542
mɛd,902
ɛdz,861
dzo,1184
zoa,642
wep,127
epe,4425
per,15243
ers,1590
rse,1109
aɾa,4009
ɾar,197
are,6646
rel,2173
iof,421
ofe,411
fet,910
etʃ,4047
ʃei,952
eil,7089
toe,2408
oes,1083
ɔle,815
wek,255
kes,2052
eso,1597
son,3368
ono,10883
nos,2376
oso,1402
sot,699
oto,933
oil,5856
oda,3392
ons,2902
nso,765
sop,809
pra,881
oek,751
eko,6588
koz,1512
ozi,1688
zia,291
iav,469
avv,764
vvɛ,56
vɛn,1190
ɛnn,609
nne,1802
ned,2466
okj,310
mɔi,43
tot,1222
otʃ,2224
oef,233
nas,1174
ase,1586
sek,1754
kon,13455
ond,4214
ndo,6739
dod,989
sel,884
osɪ,1052
sɪr,644
ɪra,495
kɔl,278
ɔlɡ,25
lɡa,159
ɡan,452
noi,4084
inʊ,547
nʊn,894
ʊns,468
sol,1565
olo,4858
lol,463
olʊ,224
lʊɔ,458
ʊɔɡ,457
ɔɡo,464
ɡoe,72
oea,566
eap,496
apa,2485
pai,55
aia,310
laʃ,636
aʃu,32
ʃut,180
uto,3094
otɛ,792
ɾae,502
lam,3190
ama,4438
mas,862
ass,2788
ssa,2624
sad,1612
ade,5713
del,13695
ell,7742
wem,96
ema,2598
mar,1562
ree,2319
keɛ,654
aed,1004
ɾap,657
pro,3023
rod,3261
odu,383
duk,31
uka,41
kad,1214
adʒ,4376
dʒe,5736
ʒer,1780
erm,1335
rmo,232
moʎ,535
oʎɪ,1083
ʎɪɛ,117
ɪɛr,657
ɛrb,196
rbe,44
bek,127
kep,722
epr,1822
uko,92
ose,1501
sem,628
eme,1095
eea,593
eal,3803
alb,267
lbe,289
ber,1065
erɪ,478
rɪd,1060
ɪda,2500
daf,160
afr,330
fru,250
rut,432
tok,3081
oke,3486
kef,391
efa,1326
fat,3228
atʃ,5711
tʃa,1937
ʃan,178
osʊ,1265
lla,12791
ɾaf,161
oko,4957
oni,1633
nil,646
ils,6062
lse,698
met,1293
ʃas,348
ask,2385
sku,398
kun,384
uno,1426
dol,1459
las,4139
sʊa,2164
ʊas,347
asp,1016
spɛ,344
pɛt,365
ɛtʃ,700
eek,705
nel,3657
dus,166
uss,214
sed,1148
una,147
lap,2736
prɔ,660
rɔp,486
ɔpr,478
ria,1707
ias,684
rɪk,485
ɪke,2006
fan,502
ann,5864
nno,4758
not,1191
nof,732
ofr,632
mes,1658
nat,2714
rts,591
tso,571
sod,1019
set,777
tʃɪ,2824
ʃɪs,357
ɪsi,580
ian,831
olu,570
ʃɪn,54
ɪne,976
elf,411
ode,5950
elt,1532
lop,870
ope,4791
erd,1691
rdi,1212
ist,3138
sti,2411
tiŋ,42
iŋɡ,592
ŋɡw,716
ɡwe,584
wer,146
ere,5419
rei,2882
ild,1323
ldʒ,1565
lan,1620
anɔ,503
tes,2361
esɛ,617
sɛr,984
ɛrv,990
rva,424
das,589
seɲ,655
eɲɲ,1426
ɲɲɪ,1383
ɲɪp,125
ɪpe,2307
erl,1818
rle,429
les,2044
est,4392
sta,5332
tad,3056
ʒon,486
onɪ,1340
nɪp,455
rid,1167
idʒ,1610
rnɪ,839
nɪe,901
ɪep,387
erʎ,128
rʎɪ,271
ʎɪa,2180
ɪan,1449
nes,1860
ril,1042
ill,1308
llʊ,393
lʊm,39
ʊmi,162
min,3269
nar,1268
aek,492
ʃel,626
edu,720
due,876
uel,64
elu,182
ʃɪɡ,22
ɪɡr,288
ɡra,2112
ran,5795
and,8449
ndɪ,882
dɪl,1637
ɪla,1648
ʃem,133
mad,1205
ore,10454
rep,1969
err,203
rre,33
reɡ,535
eɡo,124
ɡol,240
lar,1958
emi,1979
ino,3218
nor,847
ste,3047
tel,2408
iol,584
ole,2598
