r-gram,Counts
print,224
rintʃ,227
intʃi,299
ntʃip,225
tʃipi,116
ʃipio,61
tʃɛlo,528
tɛrɾa,1391
infor,65
nform,72
forme,32
dezɛr,374
ezɛrt,847
zɛrta,13
tɛneb,132
ɛnebr,132
nebre,112
rikop,31
ikopr,21
kopri,136
opriv,15
priva,55
rivan,42
ivano,240
labis,33
abiss,56
bisso,89
spiri,588
pirit,586
irito,657
aledʒ,1
ledʒa,14
edʒav,23
dʒava,68
sʊlle,338
disse,2619
lutʃe,211
bʊɔna,105
sepaɾ,47
epaɾɔ,25
dalle,534
kjamɔ,175
dʒorn,1934
ʒorno,1229
matin,220
atina,90
primo,353
firma,21
irmam,18
rmame,21
mamen,22
ament,1028
mento,835
mɛdzo,833
epaɾa,198
paɾar,57
aɾare,39
fetʃe,682
sopra,525
avvɛn,46
vvɛnn,41
vɛnne,404
sekon,980
ekond,1025
kondo,1185
rakɔl,68
akɔlɡ,5
kɔlɡa,5
ɔlɡan,9
lɡano,15
lʊɔɡo,457
apaia,5
laʃut,13
aʃuto,20
massa,56
delle,1285
produ,56
roduk,12
oduka,7
dʒerm,75
ʒermo,66
ermoʎ,66
rmoʎɪ,15
oduko,5
dukon,9
ukono,9
alber,169
lberɪ,75
fruto,142
fatʃa,327
atʃan,51
tʃano,51
sʊlla,933
tʃask,256
ʃasku,239
askun,239
skuno,214
spɛtʃ,69
pɛtʃe,69
rodus,21
oduss,21
dusse,160
skuna,25
prɔpr,364
rɔpri,340
ɔpria,103
fanno,105
tɛrts,181
ɛrtso,149
siano,168
lutʃɪ,5
disti,43
istiŋ,29
stiŋɡ,39
tiŋɡw,36
iŋɡwe,68
ŋɡwer,18
ɡwere,18
dalla,1274
sɛrva,137
ɛrvan,33
rvano,35
seɲɲɪ,70
stadʒ,13
tadʒo,49
adʒon,83
dʒonɪ,67
ʒornɪ,660
illʊm,21
llʊmi,22
lʊmin,27
ʊmina,29
minar,142
inare,133
ɡrand,925
randɪ,179
madʒo,74
adʒor,70
dʒore,50
reɡol,16
eɡola,15
ɡolar,29
olare,91
minor,25
inore,22
stell,64
telle,53
kwart,108
warto,67
brʊli,4
rʊlik,4
ʊliki,1
likin,7
ikino,14
ɛsser,582
sserɪ,46
vivɛn,142
ivɛnt,175
vɛntɪ,197
ʊtʃɛl,133
tʃɛll,222
ʃɛllɪ,127
volin,1
olino,4
davan,1224
avant,1285
vantɪ,1204
mostr,185
ostrɪ,20
marin,17
arinɪ,4
ɡwidz,3
widza,3
idzan,20
dzano,13
ʊlika,2
likan,41
ikano,68
nɛlle,696
alatɪ,25
bened,422
enedi,282
nedis,60
ediss,71
sjate,134
fekon,28
kondɪ,21
molti,156
oltip,89
ltipl,89
tipli,89
iplik,90
plika,126
likat,40
ikate,91
katev,26
atevɪ,306
riemp,109
iempi,97
empit,34
mpite,15
pliki,6
kwint,54
winto,48
bestj,202
estja,212
stjam,231
tjame,202
rɛtil,23
ɛtilɪ,22
besti,202
estie,118
selva,84
elvat,59
lvati,59
vatik,53
atike,69
sʊɔlo,82
atʃam,24
tʃamo,50
lwɔmo,792
nɔstr,1128
ɔstra,499
immad,48
mmadʒ,48
madʒi,94
adʒin,63
dʒine,123
somiʎ,23
omiʎa,20
miʎan,9
iʎant,8
ʎants,27
antsa,959
domin,101
ominɪ,54
striʃ,22
triʃa,20
riʃan,14
iʃano,14
maski,76
askio,61
femmi,26
emmin,26
mmina,230
sodʒo,27
odʒoɡ,4
dʒoɡa,6
ʒoɡat,4
oɡate,5
ɡatel,6
atela,29
omina,69
minat,339
inate,81
ssere,465
vɛnte,87
rodut,35
odutʃ,35
dutʃe,82
lbero,91
saɾan,540
aɾann,636
ɾanno,826
vɔstr,1563
ɔstro,1055
tʃibo,120
kwalɪ,346
alito,36
verde,30
kwant,1257
wanto,738
aveva,1837
molto,277
sɛsto,35
fʊron,384
ʊrono,384
porta,720
ortat,351
rtatɪ,76
kompi,116
ompim,22
mpime,25
pimen,26
iment,424
skjɛr,100
kjɛre,60
allor,1557
llora,1542
sɛtim,113
ɛtimo,108
portɔ,108
tɛrmi,45
ɛrmin,45
rmine,68
lavɔr,173
avɔro,162
tʃess,277
ʃessɔ,19
konsa,196
onsak,191
nsakr,191
sakrɔ,10
perke,3759
ʃessa,135
essat,33
ssato,135
krean,1
reand,1
eando,1
kwɛst,3415
wɛste,504
oridʒ,13
ridʒi,22
idʒin,32
dʒinɪ,43
della,4005
kwand,1851
wando,1812
venne,170
enner,181
nnero,181
kreat,104
reatɪ,10
siɲor,7640
iɲore,7583
nessʊ,648
essʊn,648
tʃesp,7
ʃespu,6
espuʎ,6
spuʎo,3
kampɛ,4
ampɛs,4
mpɛst,31
pɛstr,5
ɛstre,25
ssʊna,61
spʊnt,36
pʊnta,33
ʊntat,6
ntata,52
pjɔve,18
jɔver,17
ɔvere,28
ssʊno,488
lavor,174
avora,104
vorav,31
orava,67
fatʃɛ,174
atʃɛv,101
tʃɛva,252
salir,114
alire,61
lakwa,190
kanal,32
analɪ,13
irɾiɡ,18
rɾiɡa,14
ɾiɡar,3
iɡare,15
plazm,21
lazmɔ,4
polve,117
olver,124
lvere,125
soffj,10
offjɔ,1
narit,18
aritʃ,20
ritʃɪ,40
divɛn,215
ivɛnn,177
pjant,208
jantɔ,16
dʒard,97
ʒardi,76
ardin,81
rdino,75
oriɛn,168
riɛnt,171
iɛnte,209
kollo,121
ollok,67
llokɔ,19
lazma,17
azmat,17
zmato,15
rmoʎa,30
moʎar,13
oʎare,17
sɔrta,39
ɡradi,104
radit,164
aditɪ,30
vista,96
bʊɔnɪ,35
mandʒ,729
andʒa,497
ndʒar,255
dʒare,253
lalbe,38
konoʃ,520
onoʃɛ,104
noʃɛn,83
oʃɛnt,102
ʃɛnts,203
ɛntsa,1949
fjume,108
ʊʃiva,66
divid,56
ividɛ,2
vidɛv,2
idɛva,5
forma,196
ormav,7
rmava,22
kwatr,338
watro,335
korsɪ,40
kjama,558
pizon,1
skɔrɾ,47
kɔrɾe,83
intor,233
ntorn,229
torno,351
paeze,1353
avila,7
kwɛll,1793
wɛlla,364
rɛzin,4
ɛzina,4
odoro,3
doroz,3
oroza,13
pjɛtr,459
jɛtra,158
dɔnit,2
ɔnitʃ,13
nitʃe,28
ɡikon,6
detjɔ,3
etjɔp,39
tjɔpi,30
jɔpia,30
tiɡrɪ,2
assur,23
leʊfr,10
eʊfra,23
ʊfrat,23
frate,27
preze,830
kolti,32
oltiv,21
ltiva,17
tivas,1
ivass,6
vasse,19
kʊsto,94
ʊstod,94
stodi,92
todis,18
odiss,3
djede,246
wɛsto,1594
koman,501
omand,719
mando,194
allwɔ,81
llwɔm,463
potra,252
otraɪ,48
ellal,234
llalb,37
ndʒas,11
dʒass,12
ʒassɪ,3
tʃert,30
ʃerta,26
ertam,33
rtame,45
tamen,148
mente,629
morir,250
orirɛ,14
rirɛs,2
irɛst,3
rɛstɪ,76
ajuto,120
simil,175
imile,130
kondu,239
ondus,135
nduss,137
veder,175
edere,268
avrɛb,44
vrɛbe,57
jamat,286
amatɪ,81
kwalu,91
walun,91
alunk,91
lunkw,91
unkwe,993
avɛss,83
vɛsse,66
amato,230
oɲuno,179
wɛllo,529
dovɛv,43
ovɛva,48
impoz,25
mpoze,24
trovɔ,70
fɔsse,234
ʃɛnde,130
ɛnder,439
ndere,389
torpo,5
orpor,101
rpore,5
sʊllw,5
ʊllwɔ,5
adorm,58
dorme,58
ormen,97
rment,147
mentɔ,43
tolse,29
kɔsto,6
ɔstol,83
stole,4
rinkj,21
inkju,19
nkjuz,14
kjuze,28
karne,305
posto,436
stola,8
tolta,11
dɔnna,370
kjame,55
jameɾ,23
ameɾa,29
dallw,28
stata,230
aband,259
bando,259
andon,269
ndone,59
doneɾ,47
oneɾa,33
padre,1027
madre,298
ʊniɾa,13
ɛrano,989
prova,50
rovav,118
ovava,111
vavan,66
avano,963
verɡo,139
erɡoɲ,139
rɡoɲɲ,90
ɡoɲɲa,80
serpɛ,50
erpɛn,50
rpɛnt,50
pɛnte,37
astut,18
stuta,1
dovet,44
ovete,47
rispo,999
ispoz,774
spoze,749
frutɪ,94
possj,134
ossja,76
ssjam,71
sjamo,351
tokar,26
okare,39
altri,56
ltrim,56
trime,69
rimen,76
mentɪ,362
orire,178
riret,72
irete,166
affat,46
ffato,19
antsɪ,270
dʒast,3
ʒaste,2
aprir,35
prire,32
rireb,2
irebe,5
reber,89
ebero,169
ɔstrɪ,792
diven,370
ivent,277
vente,103
enter,78
nterɛ,41
terɛs,30
erɛst,28
rɛste,35
oʃɛnd,14
ʃɛndo,420
bʊɔno,93
adito,60
dezid,118
ezide,77
zider,77
idera,174
derab,1
erabi,4
rabil,26
abile,96
akwis,106
kwist,150
wista,107
istar,42
stare,161
sadʒe,77
adʒet,67
dʒets,91
ʒetsa,87
andʒɔ,24
marit,179
arito,154
ankeʎ,23
nkeʎɪ,23
priro,26
riron,138
irono,688
akɔrs,34
kɔrse,46
ɔrser,35
rsero,58
intre,12
ntret,12
tretʃ,72
retʃa,51
etʃar,2
tʃaro,84
ʃaron,112
arono,2173
fɛtʃe,220
ɛtʃer,219
tʃero,252
tʃint,164
ʃintu,50
intur,50
nture,26
ʊdiro,20
diron,31
passe,116
assed,52
ssedʒ,18
sedʒa,18
brets,7
retsa,178
naskɔ,6
askɔz,6
skɔze,3
kɔzer,3
ɔzero,180
ʊdito,162
passo,24
avuto,78
paʊra,113
nasko,225
askos,126
skost,132
kosto,86
ripre,76
iprez,59
saper,108
apere,108
forse,541
ndʒat,90
dʒato,116
avevo,130
manda,735
andat,578
ndato,357
pɔsta,34
akant,68
kanto,194
iŋɡan,114
ŋɡann,113
ɡanna,45
annat,55
nnata,7
maled,171
alede,56
ledet,56
edeto,176
vɛntr,36
ɛntre,36
kammi,378
ammin,418
mmine,39
miner,60
inera,60
neraɪ,65
andʒe,557
ndʒer,304
dʒera,216
ʒeraɪ,93
porɾɔ,45
inimi,8
nimit,13
imitʃ,7
mitʃi,71
itʃit,48
tʃits,28
ʃitsi,27
itsia,643
stirp,84
tirpe,77
wɛsta,728
skjat,46
kjatʃ,42
jatʃe,95
atʃeɾ,60
tʃeɾa,82
tɛsta,201
insid,26
nsidj,23
sidje,15
idjer,1
djera,10
jeraɪ,27
kalka,13
alkaɲ,6
lkaɲɲ,6
kaɲɲo,5
dolor,105
olorɪ,40
ɡravi,13
ravid,4
avida,3
vidan,3
idant,16
dants,104
antse,105
olore,68
parto,207
artor,181
rtori,180
torir,24
orira,57
riraɪ,114
vɛrso,725
istin,21
stint,21
tinto,29
omine,47
mineɾ,90
ineɾa,69
poike,826
askol,898
skolt,696
kolta,536
oltat,237
ltato,143
votʃe,396
kaʊza,318
trarɾ,27
rarɾa,9
arɾaɪ,6
spine,37
kardɪ,7
prodʊ,15
rodʊr,26
odʊrɾ,26
dʊrɾa,60
lɛrba,45
sʊdor,4
ʊdore,6
volto,128
finke,288
torne,123
orner,55
rnera,46
stato,647
trato,171
tunik,42
unike,16
pɛllɪ,22
vesti,286
venta,227
entat,284
ntato,172
stɛnd,69
tɛnda,325
prɛnd,453
rɛnda,50
andʒɪ,29
sɛmpr,507
ɛmpre,507
skatʃ,151
katʃɔ,24
voras,3
orass,4
rasse,85
kerʊb,87
erʊbi,87
rʊbin,91
ʊbinɪ,64
fjamm,79
jamma,34
spada,420
folɡo,21
olɡor,20
lɡora,4
ɡoran,6
orant,34
rante,139
todir,23
odire,13
allal,260
adamo,18
kwale,540
kontʃ,433
ontʃe,155
ntʃep,55
tʃepi,57
kaino,19
istat,65
ankor,568
nkora,574
fratɛ,945
ratɛl,932
atɛll,932
tɛllo,529
