r-gram,Counts
adij,267
dijɐ,793
ijɐl,2006
jɐll,3965
ɐlli,19260
devɐ,5074
evɐɹ,4738
vɐɹu,9673
akaɕ,504
kaɕɐ,562
aɕɐv,335
ɕɐvɐ,391
ɐvɐn,21237
vɐnn,8076
ɐnnu,40012
bʰumi,1055
umij,930
mijɐ,771
ijɐn,3185
jɐnn,5493
sɹuʂ,74
ɹuʂʈ,435
uʂʈi,446
ʂʈis,135
ʈisi,316
isid,4618
sidɐ,3368
idɐn,4862
dɐnu,8565
niɹa,50
iɹak,35
ɹaka,7
akaɹ,75
kaɹɐ,2357
aɹɐv,1226
ɹɐva,2376
ɐvaɡ,6639
vaɡi,6553
aɡij,1288
ɡiju,1296
ɕunj,18
unjɐ,27
njɐv,165
jɐva,1630
ittu,1088
ɐɡadʰ,60
ɡadʰɐ,66
adʰɐd,56
dʰɐdɐ,154
mele,4831
kɐtt,901
ɐttɐ,1053
ttɐl,782
tɐle,717
vɐɹɐ,7388
atmɐ,669
tmɐn,275
mɐnu,2882
niɹu,304
iɹuɡ,1158
ɹuɡɐ,1431
uɡɐɭ,6848
ɡɐɭɐ,16177
cɐli,31
ɐlis,162
lisu,287
isut,1378
sutt,1996
utti,1821
ttid,866
tidd,925
iddɐ,5848
ddɐn,1786
beɭɐ,333
eɭɐk,259
ɭɐka,31
ɐkaɡ,29
kaɡɐ,55
aɡɐl,1846
ɡɐli,1535
ɐnnɐ,11694
nnɐl,403
nɐlu,30
jitu,769
ɭɐkɐ,51
ɐkɐn,1250
kɐnn,112
oɭɭe,851
ɭɭej,266
ɭejɐ,662
ejɐd,357
jɐde,253
ɐden,522
dend,478
endu,6442
noɖi,989
oɖid,453
ɖidɐ,2469
ɐlej,486
leji,29
ejin,876
jind,2387
indɐ,12506
beɹe,352
maɖi,5549
aɖid,3205
ɭɐki,74
ɐkiɡ,49
kiɡe,49
hɐɡɐ,442
lend,32
ɐleɡ,131
leɡe,42
ɹatɹ,322
atɹi,321
tɹij,643
ɹije,352
ijen,64
jend,91
kɐɹe,875
ɐɹed,593
ɹedɐ,226
edɐn,511
hiɡe,1204
sajɐ,374
ajɐŋ,121
jɐŋk,209
ɐŋka,177
ŋkal,120
kalɐ,800
alɐv,188
lɐvu,685
pɹat,10
ɹatɐ,35
atɐh,10
tɐhk,34
ɐhka,7
hkal,7
modɐ,754
odɐl,768
dɐlɐ,332
ɐlɐn,367
lɐne,315
ɐnej,2438
nejɐ,2194
dinɐ,1785
inɐv,523
nɐva,380
ɐvaj,209
vaji,222
ajit,632
idɐl,1233
dɐll,8364
ɐllɐ,2631
llɐd,2653
lɐde,1891
nɐɖu,286
ɐɖuv,1310
ɖuve,886
viɕa,37
iɕal,37
ɕalɐ,38
viɹɐ,560
iɹɐl,971
ɹɐli,844
mɐtt,1886
ɐttu,2684
ɡɐɭi,3304
ɐɭin,1315
ɭind,1142
ɐɭɐn,8906
ɭɐnn,8971
maɖɐ,1571
aɖɐl,662
ɖɐli,700
ɐndɐ,7371
ndɐn,2847
lɐvɐ,833
alɐd,471
lɐdɐ,1429
keɭɐ,738
eɭɐɡ,465
ɭɐɡi,968
ɐɡid,190
ɡidd,3138
meli,319
elid,26
lidd,618
haɡe,3237
aɡej,1069
ɡeje,847
alɐk,140
lɐkk,281
ɐkke,5694
vend,589
eɹɐɖ,1069
ɹɐɖɐ,293
ɐɖɐn,214
ɖɐne,387
aɕɐd,293
ɕɐdɐ,1154
ɐɡiɹ,148
ɡiɹu,2220
iɹuv,6126
ɹuvɐ,7063
ɡɐɭu,4994
ondu,2558
stʰɐɭ,1166
tʰɐɭɐ,1167
ɐɭɐd,543
ɭɐdɐ,673
ɐdɐl,6921
kuɖi,1064
uɖik,113
ɖiko,1113
ikoɭ,1521
koɭɭ,3452
oɭɭɐ,1034
ɭɭɐl,359
ɭɐli,387
oɳɐn,9
ɳɐne,17
ɐnel,33
nelɐ,185
elɐv,355
kaɳi,361
aɳis,171
ɳisɐ,196
isɐl,1753
sɐli,405
elɐk,160
mije,36
oʈʈu,366
ɡuɖi,62
uɖid,192
ɐɭiɡ,3855
ɭiɡe,3072
sɐmu,805
ɐmud,440
mudɹ,532
udɹɐ,439
dɹɐɡ,18
ɹɐɡɐ,1241
ɐɡɐɭ,9536
ɡɐɭe,685
ɐɭen,87
ɭend,84
ɐdɐn,2934
dɐnn,3766
tɐɹu,1239
ɐɹuv,1814
ɹuva,1192
uvaj,693
vajɐ,736
miju,149
hull,104
ullɐ,34
llɐn,129
lɐnn,489
biɟɐ,71
iɟɐk,9
ɟɐko,6
ɐkoɖ,104
koɖu,1096
oɖuv,1092
ɖuvɐ,4790
pɐlj,19
ɐljɐ,117
ljɐv,59
jɐvɐ,2280
tɐnn,4772
ɐnno,204
nnoɭ,45
noɭɐ,154
oɭɐɡ,1726
ɭɐɡe,1071
iɟɐv,276
ɟɐvi,3
ɐvid,167
vidd,97
iddu,965
ɟati,25
atij,24
tijɐ,1270
pɹɐk,1598
ɹɐka,1436
ɐkaɹ,1642
pʰɐlɐ,451
ɐlɐpʰ,12
lɐpʰɐ,12
ɐpʰɐl,53
pʰɐli,32
isuv,4269
suvɐ,3753
hɐɳɳ,79
ɐɳɳi,168
ɳɳin,86
ɳinɐ,67
mɐɹɐ,783
ɐɹɐv,1637
ɹɐvɐ,1279
moɭe,50
oɭej,109
ɭeji,54
ejis,152
jisɐ,69
heɭi,2692
eɭid,2801
ɭidɐ,2161
ɐviɹ,154
viɹu,212
jisi,223
isit,111
situ,115
muɹɐ,201
uɹɐn,285
ɹɐne,440
ɐɡɐl,339
ɡɐlɐ,316
ɹiji,88
ijin,886
maɖu,3620
aɖuv,2918
uvɐd,8075
vɐdɐ,4390
ɐdɐk,3577
dɐkk,4114
ɭɐku,84
ɐkuɡ,31
kuɡɐ,81
ɐɭiɹ,55
ɭiɹɐ,27
ɐliɹ,113
liɹu,1362
iɹuɭ,26
ɹuɭu,90
uɭuɡ,83
ɭuɡɐ,196
sɐmɐ,1169
ɐmɐj,197
mɐjɐ,234
sɐmv,14
ɐmvɐ,14
mvɐt,14
vɐts,14
ɐtsɐ,19
tsɐɹ,18
sɐɹɐ,525
toɹi,397
oɹis,401
ɹisu,1109
ɡuɹu,174
uɹut,133
ɹutu,54
utuɡ,21
tuɡɐ,735
ɡɐɭa,782
ɐɭaɡ,556
ɭaɡi,602
aɡiɹ,2443
ɡiɹɐ,685
ɐkuk,2
kuko,2
ukoɖ,52
uvɐn,3550
vɐnt,1992
ɐnte,2416
ɹɐɖu,936
doɖɖ,629
oɖɖɐ,626
ɐnna,783
nnaɭ,7
naɭu,7
aɭuv,148
ɭuvɐ,2711
ɐkku,1152
cikk,200
ikkɐ,388
ɹijɐ,1916
ɖidd,1414
ddɐl,163
nɐkʂ,76
ɐkʂɐ,646
kʂɐt,82
ʂɐtɹ,70
ɐtɹɐ,157
tɹɐɡ,429
sɐhɐ,675
ɐkka,744
kkaɡ,737
kaɡi,763
ɐvuɡ,1976
vuɡɐ,2387
iɹis,523
ɹisi,1529
nalk,420
alkɐ,127
lkɐn,111
kɐne,204
ɟivɐ,521
ivɐɟ,14
vɐɟɐ,86
ɐɟɐn,298
ɟɐnt,18
ɐntu,195
ntuɡ,39
sɐmɹ,84
ɐmɹu,73
mɹud,85
ɹuddʰ,335
uddʰi,469
ddʰij,185
dʰija,119
ijaɡ,996
jaɡi,1744
bɐɹɐ,1064
ɐɹɐm,465
ɹɐma,1104
ɐmaɖ,2692
pɐkʂ,213
ɐkʂi,652
kʂiɡ,202
ʂiɡɐ,195
iɡɐɭ,3732
haɹa,50
aɹaɖ,8
ɹaɖɐ,4
tɐmm,1701
ɐmmɐ,3600
timi,7
imiŋ,4
miŋɡ,4
iŋɡi,4
ŋɡil,2
ɡilɐ,63
ilɐɡ,17
lɐɡɐ,326
pɹɐt,1482
ɹɐti,959
ɐtij,1396
tijo,495
ijon,392
jond,281
atiɡ,77
tiɡɐ,427
iɡɐn,61
ɡɐnu,610
ɐnus,189
nusa,133
usaɹ,147
saɹɐ,283
ɐvad,3178
vadɐ,2948
ɹekk,110
ekke,115
kkeɡ,93
keɡɐ,272
eɡɐɭ,3357
ɐɭid,146
ɭidd,960
kʂij,182
ʂijɐ,184
aɕir,346
ɕirv,346
irvɐ,251
rvɐd,393
vɐdi,1955
ɐdis,228
disi,343
ɐbʰiv,68
bʰivɹ,69
ivɹu,85
vɹud,180
hecc,750
ecci,333
ɐɭɐl,2824
ɭɐll,2815
tumb,413
umbi,349
mbik,419
biko,62
eccɐ,411
ccɐl,192
aɪdɐ,99
ɪdɐn,93
dɐne,384
pɐɕu,226
ɐɕuɡ,148
ɕuɡɐ,157
hɐɹi,360
ɐɹid,270
ɹida,72
idaɖ,41
daɖu,69
kɹim,24
ɹimi,47
imiɡ,25
miɡɐ,28
bʰumɹ,3
umɹu,17
mɹuɡ,215
uɡɐɡ,135
ɡɐɡɐ,948
ɐdɐɹ,4133
dɐɹɐ,3565
ondɐ,416
nɐmm,1942
ɹupɐ,115
upɐd,147
pɐdɐ,375
holi,92
olik,45
like,61
ikeɡ,239
keɡe,134
sɐɹi,809
ɐɹij,786
ɹija,308
ɐnuʂ,2071
nuʂj,2077
uʂjɐ,2115
ʂjɐn,1188
jɐnɐ,1341
ɐnɐn,4681
nɐnn,14963
maɖo,23
aɖoɳ,26
ɖoɳɐ,55
ɐvɐɹ,15121
dɹɐd,280
ɹɐdɐ,2120
vian,261
ianu,48
anuɡ,107
nuɡɐ,121
elej,578
leju,554
ella,3233
imij,7
doɹe,97
oɹet,58
ɹetɐ,91
etɐn,458
tɐnɐ,6899
ɐnɐm,56
nɐma,153
svɐɹ,197
ɐɹup,28
ɐɹɐɹ,600
ɹɐɹu,657
atɐn,6543
tɐnu,6518
vɐnɐ,5829
ɐɹɐn,5057
ɹɐnn,4789
ɡɐɳɖ,281
ɐɳɖu,386
heɳɳ,53
eɳɳa,14
ɳɳaɡ,15
ɳaɡi,11
ikoɳ,2041
koɳɖ,5677
oɳɖu,3127
vɐɕɐ,159
ɐɕɐm,58
ɕɐma,290
oɭɭi,316
ɭɭiɹ,312
ɭiɹi,522
ɟivi,214
ivij,84
vijɐ,595
aɖiɹ,291
ɖiɹi,907
vɐɹi,2982
ɐɹiɡ,4534
ɹiɡe,3669
ɐmɐs,741
mɐst,663
ɐstɐ,876
ɟɐvu,27
ɐvuɭ,500
vuɭɭ,550
uɭɭɐ,1149
iɟɐb,2
ɟɐbi,2
ɐbiɖ,9
biɖu,725
iɖuv,666
nimɐ,1357
imɐɡ,1347
mɐɡe,1797
koʈʈ,1306
oʈʈi,708
ʈʈid,1250
ʈidd,662
idde,2048
dden,1911
dene,1118
ahaɹ,330
haɹɐ,421
aɹɐk,145
ɹɐkk,468
vɐdu,2718
nanu,5636
uɡɐk,85
ɡɐkk,174
ʂiɡu,4
ivɐv,166
vɐvu,980
ndɐk,180
hɐsu,65
ɐsuɹ,40
suɹa,31
uɹad,37
ɹadɐ,1966
tanu,319
ɐnne,1241
nnel,671
nell,676
noɖɐ,251
oɖɐl,443
ɖɐla,114
ɐlaɡ,489
laɡi,513
bɐhɐ,619
ɐhɐɭ,606
hɐɭɐ,615
jɐda,45
ɐdaɡ,241
daɡi,585
aɡit,384
ɡitt,443
aɹɐn,804
aɕɐɡ,98
ɕɐɡɐ,231
ɐmuh,193
muhɐ,193
uhɐv,104
hɐvu,166
sɐmp,336
ɐmpu,204
mpur,195
purɳ,494
urɳɐ,482
adɐv,720
dɐvu,1393
eɭɐn,147
ɭɐne,138
inɐd,668
nɐdɐ,1662
kelɐ,1001
elɐs,658
lɐsɐ,664
ɐsɐv,573
sɐvɐ,460
muɡi,164
uɡis,213
ɡisi,336
ɐsɐd,545
sɐdi,164
ɐdin,2757
dind,2873
viɕɹ,157
iɕɹɐ,46
ɕɹɐm,97
ɹɐmi,75
ɐmis,178
misi,251
isik,1500
siko,1543
oɳɖɐ,1706
ɳɖɐn,753
ɖɐnu,527
nɐvɐ,1000
pɐvi,327
ɐvit,345
vitɹ,291
itɹɐ,245
tɹɐm,41
jakɐ,1244
akɐm,34
dɐɹe,8197
bʰumj,8
umja,8
mjak,8
jaka,11
nirm,126
irma,32
rmaɳ,11
maɳɐ,604
aɳɐc,1
ɳɐcɐ,1
ɐcɐɹ,15
cɐɹi,261
ɐɹit,100
ɹitɹ,4
itɹe,4
kɐrt,8125
ɐrtɐ,8227
rtɐn,8036
tɐna,1592
ɐnad,3989
nadɐ,4580
uɳʈu,372
holɐ,319
olɐd,164
javɐ,1409
ɡiɖɐ,119
iɖɐv,28
ɖɐva,40
adɐɹ,5368
dɐɹu,5786
innu,1083
beɭe,170
eɭed,87
ɭedi,13
ediɹ,105
diɹɐ,363
ɐlil,1459
lill,1473
illɐ,5803
oɭet,23
ɭeti,1
etiɹ,2
tiɹɐ,480
akɐn,1464
kɐnd,1237
ndɐɹ,4005
mɐɭe,149
suɹi,164
uɹis,167
isiɹ,488
siɹɐ,20
vjɐv,43
ɐvɐs,230
vɐsa,19
ɐsaj,29
jɐnu,1736
joɭɐ,392
ɐɡin,995
ɡind,769
mɐɲɟ,246
ɐɲɟu,286
eɹib,38
ɹibɐ,59
ibɐn,131
bɐnd,2765
ɐndu,1497
toji,7
ojis,20
jisu,134
ttit,98
titt,105
mɐɳɳ,91
ɳini,15
inin,939
nind,2002
ɹupi,50
upis,49
pisi,1443
uɡin,34
ɡinɐ,320
inɐl,1689
nɐll,2852
ivɐɕ,3
vɐɕv,3
ɐɕva,5
ɕvas,73
vasɐ,895
udid,23
didɐ,213
ɟiva,10
ivat,3
vatm,3
adɐn,411
eden,78
deni,16
enin,32
ninɐ,2187
purv,268
urvɐ,252
dikk,159
ikki,335
kkiɡ,30
toʈɐ,188
oʈɐv,47
ʈɐvɐ,611
ɐɹɐl,2286
ɹɐll,1938
iʈʈɐ,900
ʈʈɐn,980
ʈɐnu,982
noʈɐ,16
oʈɐk,21
ʈɐkk,195
ɹɐmj,52
ɐmjɐ,61
mjɐv,74
uʈɐk,58
ɭɭed,315
ɭeda,88
edad,9
dadɐ,390
ɐɹɐɡ,529
oʈɐd,67
ʈɐdɐ,356
mɐdʰj,678
ɐdʰjɐ,619
dʰjɐd,537
jɐdɐ,2931
ivɐd,176
ɭedɐ,242
edɐɹ,300
keʈʈ,568
eʈʈɐ,1065
ʈʈɐd,679
tiɭu,331
iɭuv,381
uvɐɭ,225
vɐɭi,449
ɐɭik,225
ɭike,224
ikej,1389
kejɐ,1027
mijo,16
ijoɭ,102
eɭej,128
ɐkki,387
kkiɹ,52
kiɹu,85
nɐdi,474
ɐdij,229
diju,250
nino,28
inoɭ,77
hoɹɐ,2033
oɹɐʈ,756
ɹɐʈu,596
llin,497
lind,318
bʰaɡɐ,379
aɡɐv,160
ɡɐva,199
alku,292
ɕakʰe,2
akʰeɡ,2
kʰeɡɐ,5
ɐɭaj,1
ɭaji,16
hesɐ,1122
esɐɹ,1176
sɐɹu,514
piɕo,1
iɕon,8
hɐvi,18
ɐvil,384
vilɐ,11
deɕɐ,2076
eɕɐv,500
uttu,32
ttuv,147
tuvɐ,132
bɐŋɡ,357
ɐŋɡa,397
ŋɡaɹ,373
ɡaɹɐ,768
ɹɐvi,129
vide,62
eɕɐd,1092
ɹɐvu,830
uttɐ,2357
ttɐm,204
tɐmɐ,294
ɐmɐv,301
mɐva,158
adɐd,1755
dɐdd,1088
ɐddu,575
bɐdo,3
ɐdol,2
dolɐ,2
olɐkʰ,2
lɐkʰɐ,2
ɡome,19
omedʰ,12
medʰi,7
edʰik,7
dʰikɐ,172
kɐll,456
ɐllu,356
ɡiho,86
ihon,76
hidd,3
ddek,5
deke,15
ekel,139
ɐɕɕu,137
ɕɕuɹ,105
ɕuɹɐ,78
uɹɐd,202
kɐɖe,948
ɐɖeɡ,560
ɖeɡe,452
ɹiju,481
ijuv,672
juvɐ,1550
jupʰɹ,21
upʰɹe,21
pʰɹeʈ,18
ɹeʈi,18
eʈis,17
kɐɹɐ,2367
ɐɹɐk,549
ɹɐko,279
ɐkoɳ,212
hoɡi,1397
kaju,126
ajuv,330
vɐɹa,1946
ɐɹad,1783
niɡe,5189
aɟɲa,550
ɟɲap,875
ɲapi,527
apis,684
sidd,1015
denɐ,841
enɐn,1087
nɐnd,1252
ninu,3766
ɐlɐv,835
jɐtʰe,73
ɐtʰec,3
tʰeccʰ,2
eccʰɐ,3
ccʰɐv,7
cʰɐva,7
tinn,529
innɐ,7503
nnɐb,152
