r-gram,Counts
jæ,1170
æz,1017
zu,1500
us,7402
sk,3286
kr,1108
ri,5685
is,7972
st,8260
tu,7393
sd,1948
da,4964
aʋ,6125
ʋi,11536
id,2246
ad,5550
dæ,921
æl,1323
la,4191
aa,1352
ab,2327
br,794
ra,4917
ah,140
ha,111
am,7659
ma,5203
at,12318
ts,11165
si,10524
il,3018
lt,580
sɡ,651
ɡr,1068
ta,9774
ms,3303
dz,3832
ze,1333
em,4801
md,481
di,5194
in,4140
na,7475
aj,4650
ja,8862
ai,6899
iz,2567
za,1095
ak,4630
ku,4487
uu,1496
un,10524
ni,4111
ks,1552
je,117
ek,3094
ka,10634
bu,1998
uj,749
bs,87
ju,6431
ud,3036
du,1946
nʋ,1491
iɲ,6637
ɲa,2239
aʎ,597
ʎu,793
sj,1642
af,63
fa,168
ar,7961
ræ,413
æs,418
su,5158
nz,112
ru,2770
nu,5007
uo,14655
ot,2643
as,12144
sf,33
re,1901
es,8980
ss,2785
ae,567
sr,582
ro,97
on,793
uæ,24
ns,1767
mu,3488
ua,618
mi,3310
an,4913
so,20
sa,10310
al,3320
ll,1999
lm,40
mo,110
oo,3
oz,280
or,240
ba,3304
sb,1782
zs,352
au,6348
ob,234
bæ,456
æd,619
ut,3015
te,2033
ds,814
ij,4950
se,3042
ed,1932
ac,50
ce,135
en,2664
ɲu,1422
uc,64
ɲʃ,2078
ʃd,101
lu,1727
om,903
bi,1933
ur,1689
bo,4
oa,277
js,266
az,844
zi,3272
jo,21
ez,500
eh,7
hi,50
ne,5044
um,3189
os,2077
ho,13
lo,42
sʋ,3156
ʋe,1654
er,1601
rd,1707
ib,3778
ap,3854
pe,1341
et,8798
ti,8544
iæ,38
ls,1067
zo,20
uz,1581
iu,1229
el,1900
li,3920
ia,719
ki,691
im,1990
ue,297
rs,1213
do,35
ok,1057
aæ,66
le,1179
ea,468
næ,174
nm,457
ub,793
be,3604
tj,630
zæ,342
æp,167
pu,911
ir,3957
op,650
ps,478
uk,1986
kt,616
sp,3103
pa,5930
dn,263
zd,415
rt,1112
tʃ,316
ʃe,230
tr,1544
rp,730
sm,2591
it,5766
tp,665
nn,765
od,1707
zb,140
ʋæ,1582
ær,973
ii,549
sl,1883
zk,208
mt,1100
rk,516
mʃ,86
ʃa,1939
dʋ,474
ik,2976
de,2099
rj,277
ui,375
ie,19604
ɲi,1246
aɡ,1336
ɡa,3782
zr,257
ʋa,5615
eɲ,360
ɲe,506
æt,917
sn,3337
iɡ,2002
ɡs,928
eɡ,495
ʋu,1670
tɡ,275
ej,2913
læ,407
pæ,256
æn,450
tb,710
tk,1214
me,2183
rʋ,724
ʃp,207
kk,95
uŋ,858
ŋɡ,761
ɲɟ,287
ɟe,292
pn,44
pd,45
eb,870
pi,3269
eʋ,3814
rn,538
nt,1511
iʋ,2118
uʋ,1167
oʋ,818
æk,912
mb,566
tt,1252
ip,1218
ep,962
ld,873
ji,1756
pr,1903
kj,43
ɲæ,129
æm,273
nd,488
ul,1205
lk,178
ʋs,672
rm,726
zm,250
mp,611
np,707
ʃt,418
tz,156
up,1349
tʋ,935
dj,227
sc,60
he,66
tl,327
ɡu,1253
dr,620
zɡ,443
zj,116
uʃ,1017
ʃj,58
mʋ,524
zʋ,427
ɡz,28
zn,259
tn,1040
uɡ,1110
ɡt,141
tc,12
ʃh,3
oi,116
ʃs,311
zt,479
kn,124
ee,271
lp,388
sæ,844
mj,438
eʎ,781
ʎa,983
dh,5
eʔ,19
ʔa,29
ɡi,725
