r-gram,Counts
jæz,974
æzu,975
zus,810
kri,843
ris,1136
ist,1087
stu,1310
tus,498
daʋ,145
aʋi,774
ʋid,133
ida,611
dæl,392
æla,447
abr,79
bra,472
rah,84
aha,100
ham,73
ama,539
tsi,5341
sil,702
ilt,159
lts,173
ɡra,176
ram,291
mat,983
ata,539
ams,862
dze,672
zem,472
emd,79
mdi,52
din,714
ina,2061
naj,823
aja,2029
iza,84
zak,51
aku,567
aks,582
jek,69
eka,610
kab,75
abu,249
abs,62
jud,290
udu,126
ʋiɲ,6121
iɲa,2029
raʎ,250
aʎu,67
ʎus,241
uda,307
far,125
aræ,82
ræs,31
æsu,5
zar,71
aru,323
nuo,3787
tam,581
mar,119
ara,885
ras,295
are,239
res,44
ess,107
esr,1
sro,3
ron,23
onu,24
æsr,2
ons,29
amu,131
ami,701
min,81
nad,134
ada,720
dab,32
nas,849
aso,5
son,16
sal,118
all,486
llm,28
lmo,3
mon,21
buo,129
uoo,3
ooz,3
ozu,99
hab,4
aba,473
bas,756
ozs,2
uob,92
obæ,39
bæd,122
ædu,34
rut,72
ute,64
tes,137
æds,1
jæs,1
æsi,21
jes,9
ese,97
cen,128
eni,381
niɲ,146
iɲu,1345
idu,132
iɲʃ,2078
ids,22
alu,141
luo,289
uom,482
omo,15
tas,1738
kas,2780
bij,1223
ija,3176
uri,200
rij,328
ruo,834
obo,2
boa,3
oam,2
abi,120
iju,528
ijs,61
azu,109
azs,5
juo,1664
uoz,120
oza,18
zaf,2
afa,20
fat,2
atu,313
ats,3768
uor,91
ora,50
ozi,49
zij,75
joa,5
oat,2
haz,2
eze,12
zeh,2
ehi,2
hij,24
man,1704
ana,1159
asu,18
ass,33
amo,3
uos,1681
osi,70
sij,1353
jeh,2
eho,2
hon,3
oni,141
nij,146
bab,15
bil,296
ilo,14
lon,31
ona,263
ʋer,208
erd,17
rdz,46
dzi,1819
zib,139
iba,2011
pet,879
ets,1642
ala,159
lat,225
ati,976
tiæ,3
iæl,6
ælu,244
æls,238
zor,5
oru,9
oba,7
abæ,11
bæl,15
biu,2
iud,4
uds,14
eli,581
lia,5
iak,6
aki,144
kim,3
imu,185
ims,16
azo,6
ors,1
sad,96
ado,5
dok,4
oku,74
oks,26
ahi,4
him,4
liu,2
æle,4
lea,2
eaz,2
aza,86
ars,218
tan,260
anu,377
ans,144
bet,2815
jaz,49
azæ,40
zæp,40
æpu,59
ari,1704
jas,898
ʋir,331
iru,269
kur,545
ura,275
zim,234
imi,134
mis,104
tuo,2460
uop,292
sau,748
auk,176
ukt,70
kts,68
ʋis,1637
isa,394
sas,615
paa,33
aau,34
aud,972
udz,851
zes,149
tat,194
tad,1305
lid,556
idz,597
dam,1421
tʃe,143
ʃet,143
etr,159
trp,20
rpa,81
pad,336
ads,472
dsm,218
smi,564
mit,526
ʋær,184
ærd,10
bai,235
tum,200
imʃ,12
mʃa,20
ʃan,888
kad,1105
ate,238
tik,848
ika,599
ade,87
der,61
eri,499
rin,259
nat,1184
iek,1493
kam,646
iɲi,1094
saɡ,108
aɡa,511
ɡaj,756
kuo,1625
opa,153
izr,192
zra,169
rad,591
adi,521
dij,320
saʋ,1366
aʋa,1051
ʋas,410
mie,814
ies,2740
esa,959
ieɲ,100
eɲe,84
ɲem,503
emu,89
mus,613
usi,453
sʋæ,299
ʋæt,442
æta,409
ɡar,529
æps,15
ɲas,166
irs,350
bud,85
tai,673
ais,941
isn,312
sni,333
niɡ,315
iɡs,279
neɡ,109
eɡr,60
ɡri,430
rib,485
ibæ,37
æda,459
ɲai,49
nes,572
esl,51
sla,106
laʋ,44
aʋu,749
tse,1155
sel,301
elt,63
ibe,75
bej,52
eja,1502
slæ,120
læp,111
æpæ,9
pæn,10
æni,91
tst,147
sta,1179
ame,111
mer,249
par,1861
duo,869
oma,200
maj,271
luk,306
kuŋ,744
uŋɡ,744
ŋɡa,330
eɲɟ,184
ɲɟe,264
ɟel,173
lis,297
ɲam,800
sap,211
apn,10
pni,26
sat,2065
sid,375
neb,277
ebi,140
bis,75
sti,1470
tie,3158
pie,2046
emt,70
sie,1463
ieʋ,1928
eʋu,273
ied,574
edz,874
mde,25
des,327
osa,26
uks,157
ksi,50
ʋar,1079
ard,704
rda,237
atp,59
tpe,8
pes,100
est,595
tis,210
tau,223
aut,728
utu,396
ɡræ,220
ræk,216
æki,170
kie,299
iem,3300
iss,130
uot,1750
oti,507
tit,1119
its,1775
sis,573
lai,1783
iep,195
epi,212
pil,663
ill,1368
lld,813
ldi,327
dit,215
itu,430
ŋɡs,322
run,434
una,613
aji,716
jis,615
tsa,1213
aur,158
pra,607
raʋ,225
ʋie,1811
iet,2961
eti,990
sak,785
aka,588
jau,414
aun,437
naʋ,685
eɲæ,21
ɲæm,129
æms,48
æma,55
nuæ,1
uæl,4
tul,91
ulk,58
lku,60
ots,227
die,2346
eʋs,358
mum,361
ums,1561
uzm,68
zmu,43
muo,457
uod,1094
odi,360
ieɡ,287
eɡa,170
dar,968
paʋ,310
aʋe,414
ʋel,433
ele,192
lej,330
eji,479
ema,237
nea,273
eat,163
atz,112
tzi,113
zin,647
dej,618
pir,295
irm,245
rmd,13
mdz,13
imt,81
mtu,42
uts,337
tsu,191
suo,344
her,56
ero,52
rod,54
oda,293
aik,182
bæt,42
ætl,15
tle,6
lem,124
eme,447
ɡud,89
udr,105
dri,151
rie,1344
aus,421
ust,311
str,141
tru,309
rum,73
umi,104
aiz,733
izɡ,328
zɡa,332
jær,193
æru,224
ruz,152
uza,184
zal,169
alæ,75
læm,110
æmi,53
muʃ,73
uʃa,129
ʃai,56
mes,910
red,636
zej,448
jam,574
zʋa,93
ʋai,1164
aiɡ,163
iɡz,28
ɡzn,26
zni,129
umu,362
atn,285
tna,236
sam,338
iel,567
elu,183
luɡ,146
uɡt,68
ods,67
izd,188
zdz,123
zir,393
ird,631
rdi,316
dis,388
izb,72
zbi,26
ale,127
apu,176
pul,138
ult,91
sin,764
isu,409
sus,95
auɡ,554
uɡs,263
ɡst,225
pri,846
ste,251
ter,353
eru,146
rus,242
uta,305
rak,541
kst,472
sit,733
ita,662
taj,810
aju,553
jus,1898
izt,99
zta,10
auj,92
uja,42
jaj,21
jap,24
api,57
mst,9
tij,366
iji,343
net,379
sik,81
nee,176
ees,189
esi,1033
maz,122
das,370
lie,1213
elp,1
lpi,62
ils,292
lsæ,173
sæt,228
teʋ,571
eʋi,1169
izi,250
zie,364
ʋad,49
adu,310
uon,311
nis,397
ʋal,362
rae,71
aeʎ,46
eʎa,173
ieʔ,19
eʔa,19
ʔai,11
ait,283
dru,131
rup,75
upi,44
piɡ,19
iɡi,602
ɲus,137
zne,27
iku,306
sut,253
uti,332
tid,29
tlæ,2
jie,720
bær,212
ærn,184
rnu,81
atr,538
tra,580
isi,653
ziɲ,115
ɲuo,70
uoj,896
oji,169
lud,500
dzu,155
ʃie,263
uzk,47
zkl,45
kla,410
lau,335
juʃ,365
uʃi,691
ekʃ,409
kʃu,66
nak,662
kus,190
aps,327
pst,57
uɡʃ,186
ɡʃa,176
ærŋ,18
rŋs,18
ier,282
era,261
rau,416
saj,127
ela,258
ome,81
met,171
etu,373
tuʃ,27
dza,300
atʋ,163
tʋæ,114
ruʃ,84
ant,191
nta,28
upu,106
pur,137
ure,101
rej,218
zæl,60
ælt,129
ltu,83
ira,252
mir,321
irr,4
rre,13
saɲ,185
aɲe,224
atb,332
tbi,280
atɡ,120
tɡr,99
iez,123
ezt,19
zti,115
seʎ,204
eʎu,150
æpa,27
pam,159
bed,29
eɟi,42
ɟip,30
ipt,30
pti,176
pal,293
ali,629
tur,433
siʃ,25
iʃu,81
iks,312
mek,144
ekl,267
kle,157
les,324
ʋeʃ,58
eʃa,334
nai,316
uzt,191
zts,99
akt,141
kti,86
paɲ,91
ʋei,152
izp,179
zpi,110
kʃs,7
ʃsl,6
slu,250
udi,683
pte,17
dzæ,225
zæd,82
izs,191
zsm,19
sme,44
mej,35
eju,491
ʎuo,143
dus,237
usm,72
smu,346
oja,543
zsu,27
uoɡ,116
oɡa,124
ɡal,313
lin,63
nus,96
apk,62
pka,82
kar,443
art,216
rtn,9
tne,83
diʋ,372
iʋi,324
ɡad,306
ask,134
ska,504
kaɲ,91
aɲa,130
dra,188
raj,49
tei,382
eit,401
ære,22
rem,10
emi,242
mij,8
aim,111
ima,112
bal,204
als,326
lss,31
ahe,4
hel,2
apr,128
ʋus,168
epr,157
nam,520
air,270
ʋes,177
rna,72
dʋe,69
tsæ,411
sæl,298
las,433
arh,13
rhæ,1
hæl,1
lda,136
ude,134
tæʋ,453
æʋa,419
eta,334
aid,302
idi,197
lil,76
ile,285
daʎ,141
aʎa,106
ziʋ,566
iʋu,340
ʋuo,452
sar,217
ret,454
ete,345
ani,1123
ien,2026
ena,828
jan,138
ajs,107
tuk,131
ksn,60
sne,66
ɡaŋ,43
aŋd,71
ŋda,126
deb,335
ebe,405
bes,389
esʋ,42
sʋa,108
lst,176
tib,660
tuʋ,105
uʋu,132
ʃis,234
sej,283
ɡat,195
taʋ,574
sna,44
tek,24
paʃ,160
aʃa,188
ʃam,190
nim,75
uzʋ,51
alk,21
lks,22
ieʎ,16
spa,43
llʋ,670
lʋa,60
ʋam,313
ost,93
ɡur,23
urn,27
rni,151
nie,904
edi,234
ens,437
ast,463
ʋej,175
ise,5
seɲ,6
eɲi,37
ɲie,518
meʒ,6
eʒa,42
med,6
edu,146
apɡ,208
pɡa,70
ɡab,36
jor,15
ord,15
dan,17
inu,283
nuʃ,16
æku,263
ibu,781
dau,379
riz,144
ize,239
dut,17
tʃu,46
ʃus,85
usk,29
sku,100
jum,1234
bæɡ,19
æɡt,23
mam,110
sma,167
uma,407
iɡu,218
ɡus,97
uɡʎ,76
ɡʎu,55
usu,771
æʋs,158
eʋa,1139
akm,97
kme,47
meɲ,38
lus,92
sir,320
irʋ,3
rʋi,51
lik,473
ikt,231
uok,466
akn,17
kne,16
nem,123
kat,373
trs,115
nen,111
ene,172
lab,610
bus,366
rst,113
sts,127
uɡu,135
ɡun,83
uni,93
udæ,75
dæn,95
uoʒ,53
oʒe,4
ʒel,49
uoʃ,348
oʃa,182
ræn,33
æna,86
esm,582
urp,88
rpe,19
næs,99
æst,225
ʋet,326
kli,235
oka,271
tir,133
iri,180
klo,2
akr,12
kra,73
kʋi,81
ieʃ,432
eʃu,182
ʃcu,5
cun,2
pæl,24
ded,32
nei,176
eiz,249
zeʃ,12
jaɲ,28
att,160
ttu,14
asa,356
ldæ,17
dæd,63
