r-gram,Counts
pra,3272
rad,517
adʑʲ,98
dʑʲo,542
ʑʲoj,133
oje,3014
jedʲ,79
edʲi,763
dʲie,6287
iev,4015
eva,3461
vas,2378
ass,1282
ssu,3072
sutʲ,967
utʲvʲ,175
tʲvʲe,581
vʲee,2402
eerʲ,632
erʲe,1261
rʲee,5205
eed,1197
eda,1574
dan,1190
anɡ,874
nɡu,876
ɡui,305
uir,2830
irʒ,341
rʒe,176
ʒemʲ,1715
emʲe,3647
mʲeɑ,822
eɑʒ,127
ɑʒe,74
mʲee,3544
eeb,326
ebu,2088
buv,3655
uvo,3553
vobʲ,84
obʲe,643
bʲep,128
epa,3343
pavʲ,751
avʲi,2098
vʲid,1200
ida,3085
dal,62
alo,888
loi,108
oir,2331
irt,1555
rtu,1183
tuɕ,269
uɕt,99
ɕtɕ,429
tɕe,3376
ɕet,89
eta,3153
tam,1068
ams,1522
msa,543
saɡ,93
aɡa,1170
ɡau,1281
aubʲ,61
ubʲe,901
bʲee,3951
eeɡ,972
eɡe,665
ɡeɭ,1009
eɭmʲ,68
ɭmʲe,128
mʲes,1130
esi,1368
sir,8297
irdʲ,892
rdʲi,978
evo,2144
vod,591
odv,143
dva,584
vaʂ,336
aʂe,692
ʂes,387
esk,1151
skl,367
kla,2477
lanʲ,231
anʲdʲ,182
nʲdʲe,202
dʲee,6667
eevʲ,1076
evʲɪ,1007
vʲɪr,434
ɪrʃ,290
rʃv,4
ʃva,499
van,694
andʲ,435
ndʲe,412
dʲen,328
enu,1646
nudʲ,27
udʲi,1583
ast,2393
sta,9040
tarʲ,1639
arʲe,3448
eetʲ,1601
etʲe,1776
tʲea,317
eatʲ,793
atʲʂ,1311
tʲʂi,1054
ʂir,433
ira,5126
ran,2333
and,792
nda,586
daɕ,20
aɕvʲ,290
ɕvʲi,402
vʲie,9985
ies,5702
esa,3298
sai,534
air,3432
ratʲ,693
ado,769
doɕ,24
oɕvʲ,355
sadʲ,38
adʲi,1255
asm,789
sma,2011
matʲ,1026
atʲe,3544
tʲee,5289
eeɕ,374
eɕvʲ,175
irk,1263
rka,968
kat,4135
att,327
tta,335
tai,7741
aib,650
ibu,1197
voɡ,502
oɡe,349
ɡer,994
era,2061
rai,1619
aii,1506
iir,3665
asa,3635
satʲ,1815
tʲʂkʲ,92
ʂkʲi,551
kʲirʲ,266
irʲe,1031
san,979
anu,689
nuo,3447
uot,648
ota,2984
mso,158
sos,588
osdʲ,325
sdʲi,1629
asp,1917
spa,5918
pav,271
ava,917
vadʲ,391
adʲɪ,289
dʲɪn,534
ɪno,1595
noɕ,190
ien,4112
ena,3826
nao,71
aot,22
ana,2391
nak,798
aktʲ,278
ktʲɪ,60
tʲɪmʲ,189
ɪmʲi,744
mʲit,185
ita,3209
vov,534
ova,2072
vak,327
aka,2920
kar,4959
ara,4771
ras,1685
asi,3036
irrʲ,85
rrʲi,48
rʲit,815
tas,3854
aspʲ,232
spʲi,303
pʲir,543
irm,979
rmo,291
moj,511
oji,936
jidʲ,80
idʲi,1018
nadʲ,159
datʲ,52
atʲvʲ,720
tʲvʲi,598
vʲir,1796
tum,821
uma,1667
mat,1088
ata,2979
tar,2578
arp,817
rpv,1
pva,151
nui,837
irj,2793
rjɪ,534
jɪtʲ,19
ɪtʲe,4338
ʂkʲɪ,632
kʲɪrʲ,33
ɪrʲe,328
rʲev,53
dʲenʲ,320
enʲi,817
nʲis,1118
isn,316
snu,1847
uov,41
pad,1486
ada,3902
darʲ,2128
etʲvʲ,114
mai,1586
eev,1501
isk,1485
sku,3050
kurʲ,5421
urʲi,4632
rʲie,5033
ieb,414
vop,1282
opo,205
potʲ,55
otʲvʲ,41
man,4381
nuk,493
uku,1755
vovʲ,488
ovʲɪ,695
rʃtʲ,6
ʃtʲvʲ,11
umo,945
mos,507
osi,1282
rta,1921
aip,5884
ipi,379
pivʲ,19
ivʲi,2152
vʲik,904
iko,968
kodʲ,407
odʲi,2219
notʲ,420
mad,64
ɡumʲ,56
umʲi,837
ant,2385
ntr,233
tro,322
roj,209
tʲes,599
esu,2330
suʂ,1173
uʂi,3827
ʂirʲ,732
rʲen,127
enk,625
nka,1711
kav,71
iei,695
eir,2875
rap,535
apo,388
pod,68
oda,1322
mʲii,247
iivʲ,103
navʲ,241
iet,2091
irtʲ,837
rtʲe,603
tʲep,811
paʂ,3603
aʂi,3285
iro,557
rod,202
odo,381
dos,533
osa,1766
sau,1973
aus,2967
usu,3496
sum,840
nos,1733
maʒ,259
aʒe,384
mʲeo,76
eov,1
nus,2152
usa,2694
sam,689
amp,348
mpl,4
plu,77
ludʲ,31
dʲij,295
iju,1237
jur,378
uro,544
romʲ,112
omʲi,1277
mʲis,1437
isi,2056
eek,2060
eka,3485
aidʲ,353
tʲeɡ,475
eɡu,594
ɡul,381
ulʒ,2
lʒe,6
eei,1574
eiʃ,328
iʃa,613
ʃau,1275
auɡ,1654
uɡɪ,230
ɡɪn,509
ɪna,2199
naʒ,73
aʒo,54
ʒoɭ,64
oɭe,1008
ɭeɑ,637
eɑa,253
ɑau,1164
uɡa,975
ɡal,1326
alu,416
lus,528
usd,518
sdu,561
duo,1835
uod,483
danʲ,428
anʲt,982
nʲtɕʲ,1086
tɕʲu,2969
ɕʲus,725
usʂ,299
sʂe,412
ʂee,1853
ekl,359
lai,3178
irv,322
rva,407
vai,2549
aiʂ,870
iʂmʲ,45
ʂmʲe,361
mʲed,459
edʑʲ,342
dʑʲu,1033
ʑʲus,340
usnʲ,730
snʲe,4224
nʲeʃ,421
eʃa,712
ʃanʲ,53
usv,279
sva,1452
aiʂʲ,222
iʂʲu,859
ʂʲup,157
upa,1707
paɡ,1211
alj,115
lju,194
uru,242
ruɕ,29
uɕi,111
ɕik,77
iku,2299
urʲu,910
rʲuo,571
uoʂ,1464
oʂe,1804
ʂei,909
raj,492
aju,712
juʂ,231
uʂe,1557
koʒ,45
oʒe,352
noʒ,226
oʒo,367
lap,268
apa,2201
ɕii,50
