r-gram,Counts
prad,110
radʑʲ,85
adʑʲo,65
dʑʲoj,132
ʑʲoje,39
dʲiev,4189
ieva,2100
evas,2001
sutʲvʲ,134
utʲvʲe,112
tʲvʲee,253
vʲeerʲ,358
eerʲe,326
erʲee,328
danɡ,766
anɡu,413
ʒemʲe,1682
emʲeɑ,703
emʲee,2138
buvo,3894
pavʲi,215
avʲid,94
vʲida,684
idal,28
dalo,12
tuɕt,114
uɕtɕ,60
ɕtɕe,465
tams,432
amsa,61
ɡaubʲ,22
aubʲe,25
ubʲee,118
ɡeɭmʲ,67
eɭmʲe,66
ɭmʲes,30
ievo,1605
dvaʂ,333
vaʂe,314
skla,121
klanʲ,24
lanʲdʲ,41
anʲdʲe,69
nʲdʲee,122
vʲɪrʃ,132
vandʲ,446
andʲe,501
ndʲen,266
dʲenu,46
tarʲe,1626
arʲee,2424
tʲeatʲ,34
eatʲʂ,166
atʲʂi,1150
tʲʂir,57
ʂira,83
iran,10
rand,97
anda,234
ɕvʲie,280
vʲies,297
iesa,329
irad,40
rado,182
matʲe,565
atʲee,1603
ɡera,516
erai,185
atʲʂkʲ,108
tʲʂkʲi,34
ʂkʲirʲ,273
kʲirʲe,254
irʲee,298
amso,115
msos,22
pava,228
avadʲ,128
vadʲɪ,191
adʲɪn,177
dʲɪno,236
dʲien,2152
iena,2656
naktʲ,281
aktʲɪ,8
ktʲɪmʲ,13
tʲɪmʲi,202
vaka,275
akar,228
kara,3601
aras,267
rʲita,265
itas,251
pʲirm,344
irmo,51
rmoj,38
moji,56
tʲvʲir,402
vʲirt,135
irtu,66
rtum,55
tuma,106
tarp,741
tʲʂkʲɪ,74
ʂkʲɪrʲ,34
kʲɪrʲe,30
ndʲenʲ,180
dʲenʲi,178
enʲis,218
pada,1563
adarʲ,1366
darʲe,1089
kurʲi,3818
urʲie,1473
tumo,119
umos,112
taip,2083
ivʲik,277
vʲiko,204
nɡumʲ,20
ɡumʲi,29
tasa,9
asan,3
sant,119
antr,233
ntro,59
troj,34
roji,26
tʲesu,37
esuʂ,61
suʂi,916
uʂirʲ,298
ʂirʲe,140
irʲen,41
rʲenk,89
enka,107
vʲien,1747
vʲiet,842
ieta,404
tʲepa,149
epaʂ,274
paʂi,2673
aʂir,310
ʂiro,238
irod,31
rodo,97
saus,72
ausu,69
usum,26
suma,318
samp,6
ampl,1
mplu,1
pludʲ,20
ludʲi,6
udʲij,115
dʲiju,3
ijur,1
juro,206
uromʲ,1
romʲi,37
omʲis,818
tʲeɡu,314
eɡul,271
iʃau,262
ʃauɡ,68
auɡɪ,183
uɡɪn,137
ɡɪna,130
ʒoɭe,65
oɭeɑ,47
auɡa,174
uɡal,40
ɡalu,63
alus,159
duod,261
uoda,297
odanʲ,15
danʲt,47
anʲtɕʲ,916
nʲtɕʲu,846
tɕʲus,704
ʂeek,85
eekl,63
ekla,229
vaiʂ,121
aiʂmʲ,7
iʂmʲe,21
ʂmʲed,6
mʲedʑʲ,290
edʑʲu,183
dʑʲus,354
nʲeʃa,118
eʃanʲ,22
ʃanʲt,21
vaiʂʲ,198
aiʂʲu,218
paɡa,752
aɡal,517
ruɕi,13
kurʲu,779
urʲuo,606
rʲuoʂ,64
uoʂe,1293
ɡɪno,158
iʂʲus,66
tʲrʲet,194
rʲetɕʲ,107
etɕʲo,83
tɕʲoj,245
ɕʲoji,13
ieso,190
esos,160
anɡa,448
nɡau,305
ɡaus,807
umoj,225
moje,241
enai,158
aktʲi,287
ktʲie,88
tʲies,3327
ʂkʲɪr,297
kʲɪrtʲ,59
ɪrtʲi,450
tʲebu,337
ebun,221
buna,274
ʒenk,220
enkl,193
nkla,206
klai,266
paʒi,388
aʒimʲ,6
ʒimʲe,36
imʲee,278
mʲeetʲ,384
eetʲi,793
laik,485
aiku,289
ikus,230
enas,1263
mʲetu,785
etus,223
tʲeʒɪ,8
eʒɪb,1
ʒɪba,3
apɕvʲ,24
pɕvʲi,24
ietɕ,238
etɕe,496
dʲidʲe,520
idʲeɭ,350
dʲeɭe,221
eɭes,148
esas,27
nakt,37
aktɕ,21
ktɕe,58
tɕei,876
vaɭdʲ,260
aɭdʲi,237
ɭdʲitʲ,59
dʲitʲi,400
ʒvai,69
vaiɡ,76
aiɡʒ,69
iɡʒdʲ,52
ɡʒdʲe,53
ʒdʲes,15
iɕdʲe,15
ɕdʲee,9
dʲeeʂ,140
eeʂtʲ,47
eʂtʲe,246
ʂtʲee,550
iest,1280
estu,526
emʲei,59
ɭdʲit,135
dʲitu,171
kʲɪrt,206
ɪrtu,91
kʲetʲvʲ,95
etʲvʲi,44
irto,95
rtoj,51
toji,91
knʲib,1
nʲibʒ,6
ibʒdʲ,3
bʒdʲe,5
ʒdʲee,166
dʲeetʲ,286
eetʲe,620
knʲɪb,3
nʲɪbʒ,6
ɪbʒd,5
bʒda,7
ɡivu,342
ivun,13
vuna,4
unai,637
nais,155
pauk,141
aukɕ,552
ukɕt,242
kɕtɕ,353
tʲesk,4
eskr,1
skra,15
krai,197
raid,4
aido,191
mʲees,1138
adanʲ,262
danʲɡ,209
anʲɡe,463
nʲɡee,206
ɡeeʂ,90
eeʂe,300
idʲeɭʲ,120
dʲeɭʲʊ,53
eɭʲʊs,306
uros,176
vunu,9
unus,1632
vʲɪsu,1131
ɪsus,735
kʲɪtu,242
ɪtus,307
ɡivʲu,6
