r-gram,Counts
pad,16420
adə,18059
dəm,3975
əmu,9138
mul,1689
ulə,1371
ləɲ,227
əɲə,6673
ɲək,1678
əkə,8262
kət,5292
əti,5596
tik,2380
ikə,6422
kəa,2362
əal,1474
ala,13497
lah,21415
ahm,5431
hmu,745
ləm,2599
əmə,15784
mən,15046
ənt,5040
ntʃ,2859
tʃi,1601
ʃip,231
ipt,168
ptə,275
tək,3769
əka,12555
kan,38344
ana,15159
nal,1895
lam,6450
ams,585
msə,670
səm,8178
əmɛ,481
mɛs,44
ɛst,100
stə,1030
təb,1210
əbu,1462
bum,761
umi,819
mib,368
ibə,2908
bəl,2179
əlo,858
lom,1173
omb,1066
mbə,5616
bər,22821
ərb,572
rbə,565
bən,1960
nto,5580
toʔ,5253
oʔd,939
ʔda,1717
dan,20334
anm,17061
nma,2075
mas,3635
ase,1757
seh,886
ehk,396
hka,5582
kat,6830
atʃ,898
tʃa,4049
ʃaʊ,53
aʊb,514
ʊbi,38
bil,2938
ila,4823
laʊ,809
aʊs,472
ʊsa,114
sam,3662
amu,11403
mud,4624
udɛ,146
dɛr,218
ɛrə,831
rəj,445
əja,5822
jaŋ,21149
aŋb,4631
ŋbə,2922
ərɡ,421
rɡə,988
ɡəl,374
əlɔ,40
lɔr,143
ɔrə,80
aŋm,6259
ŋmə,4868
ənu,1977
nut,270
utu,1578
tup,1177
upi,173
pis,667
isə,4619
səɡ,1862
əɡa,2416
ɡal,3739
alə,3594
ləs,636
əsə,8607
səs,2074
əsu,2573
sua,1134
uat,3683
atu,4139
tud,4248
udi,5284
dil,1710
ili,1036
lip,320
ipu,664
put,839
uti,2586
tio,455
iol,440
ole,4693
leh,5245
hkə,2144
kəɡ,394
əɡə,496
əla,16056
lap,846
apa,4807
pan,2426
anj,4107
nja,3881
aŋp,2214
ŋpɛ,39
pɛk,259
ɛka,466
att,1288
ttə,613
tət,5373
əta,7051
tap,4955
api,4629
pik,560
iku,851
kua,4376
uas,1716
asə,4053
səa,583
aha,11278
hal,3137
ahb,3095
hbə,2046
ərf,1285
rfi,1308
fir,1668
irm,1661
rma,2884
man,5447
anh,2804
nhə,95
hən,1303
ənd,10442
nda,8488
dak,1089
akl,427
kla,535
had,3140
dət,1724
ətʃ,982
ʃah,270
haj,328
ajə,4349
jəl,129
lal,4195
alu,4373
lut,333
utʃ,1236
jəp,152
əpu,2414
pun,2212
una,1658
nad,789
dəa,1204
bəɾ,1634
əɾr,17340
ɾrp,275
rpu,210
pua,1237
ash,124
sha,219
hat,4378
ati,6120
tim,1495
imə,4822
məl,4967
əli,2765
lih,1602
iha,4031
ath,251
tha,264
ali,3200
lit,1179
itu,17355
tuk,2147
ukə,3716
kəm,7117
dia,3648
ian,5709
and,15590
ndi,6979
diə,7877
iəm,2993
məŋ,10443
əŋa,12235
ŋas,680
asi,1788
siŋ,226
iŋk,334
ŋka,7299
ant,10538
jəd,664
əda,8546
dar,7902
ari,9871
rip,4094
ipa,4736
dək,3327
əna,4370
nam,2574
amə,5244
mək,812
jəi,107
əit,2880
tus,2504
usi,1165
sia,1552
iaŋ,503
aŋd,7042
ŋda,2291
ank,13172
nkə,6890
ani,4506
nit,2977
tum,2549
uma,5029
mal,1562
sət,2503
ətə,4173
təl,4035
hma,966
amd,947
mda,958
anp,6345
npa,1608
paɡ,284
aɡi,4912
ɡib,435
ərl,1084
rla,2214
lui,519
uit,666
tul,1652
ula,3623
ahh,962
hha,1057
har,5040
rij,496
ija,1733
ŋpə,1185
pəɾ,10462
ɾrt,4712
rta,1065
tam,896
əku,1942
kub,1773
uba,2188
bah,6742
ahu,4647
hun,381
unt,5838
oʔm,3401
ʔmə,5541
məm,14280
əmb,12199
mba,5846
haɡ,920
ɡik,1364
ika,7145
naɪ,486
aɪr,782
ɪrm,74
rmə,874
ndʒ,8201
dʒa,13686
ʒad,2753
adi,3620
did,2012
idu,510
duə,2044
uəb,706
əba,7217
ɡia,877
nmə,14302
ndo,1133
doŋ,227
oŋɲ,98
ŋɲə,561
ɲəd,2497
dal,2654
mdu,44
uət,236
təm,3370
əmp,5268
mpa,5576
pat,6185
atj,842
tja,995
aŋt,4242
ŋtə,2034
təɾ,4527
rpi,108
isa,2104
sah,1734
ahl,879
hla,878
luh,146
uha,9644
tub,1994
ubə,3437
lak,4666
aku,14353
kud,2732
dɛm,330
ɛmi,323
mik,1748
iki,1924
kia,1313
anl,4043
nla,3516
hmə,5076
dik,2728
nku,2231
ahj,2197
hja,2132
əmi,3316
mis,725
ahk,7463
ɪrj,35
rja,510
aŋa,6925
ŋad,761
dəd,1433
ədi,6408
dib,3100
iba,2534
baw,1687
awa,3645
wah,344
hku,817
ahi,2111
hit,2638
uda,6141
əae,142
aer,210
erj,99
iat,908
ata,9052
tas,1157
asɲ,116
sɲə,208
ɲəa,1219
laŋ,2170
aŋe,665
ŋet,321
ets,165
tsə,975
aŋk,5980
ŋkə,2009
kəd,4080
ədu,1383
uək,451
haɪ,983
etm,109
tmə,2111
ŋal,497
ale,826
ler,119
erk,149
rkə,1223
kəs,3196
əsa,5322
sat,1174
tut,1955
utə,2407
taɡ,9
aɡa,2440
ɡar,399
art,691
tan,5484
nah,2390
kəl,2304
ual,513
nta,6325
ara,4654
rat,2293
atd,2611
tda,1635
kum,3170
ump,1435
mpu,2602
pul,2298
lan,2476
aɪɹ,40
ɪɹi,29
ɹit,291
aʊt,1096
ʊta,141
tal,530
tua,3268
laɡ,1929
ɡih,106
ihə,93
aht,3689
hta,651
əŋə,1179
ŋəl,171
əlu,2275
lua,1735
uar,1563
ark,2380
rka,7488
ans,7787
nsə,5885
ləd,684
ədʒ,2780
dʒə,8118
ʒən,368
əne,354
nes,136
est,151
stu,196
umb,355
mbo,1261
boh,637
oht,679
htu,2179
mbu,3020
buh,252
han,11743
jai,407
ait,568
udʒ,3642
esj,89
sja,386
əŋh,2132
ŋha,1763
has,641
sil,233
ilk,121
lka,1537
anb,8154
nbi,564
bid,585
idʒ,2087
dʒi,4080
ʒib,91
ibi,469
ʒia,664
nbu,717
bua,3918
uah,1326
usə,4354
tiɡ,977
iɡə,950
ɡək,593
dəb,1240
əbə,6998
ndə,4310
ɾra,224
raŋ,16205
ŋdi,4290
etu,37
tun,630
nsi,351
əma,6345
anu,2701
nun,1690
und,1001
dʒu,3625
ʒuk,491
ukk,487
kka,1305
npə,4166
ɾrm,775
rmu,265
laa,53
aan,3020
nha,2205
rit,2278
ita,3265
tah,5544
aho,972
hon,967
ons,458
sər,1885
ərt,3175
rtə,2599
təp,785
əpɛ,199
pɛr,414
ɛra,1267
raj,416
aja,2260
jaa,580
naɡ,151
ɡam,220
məb,320
aŋi,2433
ŋit,1354
uak,4684
aka,13473
nbə,4633
ərs,3292
rsi,319
sin,497
ina,2124
nar,1259
ard,1499
rdi,1185
ənə,1790
nər,943
əra,10393
ŋib,63
ibu,2006
mil,897
ndu,1565
aŋj,3585
ŋja,3672
bəs,1114
sar,1118
arj,315
mat,5931
riu,152
iun,396
əŋu,1816
ŋua,398
asa,2174
saɪ,539
aɪs,716
ɪsi,24
bul,731
aɪm,1336
ɪma,777
səl,3544
lai,179
ain,122
ini,3864
iəd,1568
ʒuɡ,1809
uɡə,1885
ɡəm,1332
bin,1966
int,3334
taŋ,4490
ŋbi,324
nəm,1110
atk,3183
tka,1838
miu,84
aŋs,4948
ŋsə,3110
kəɛ,134
əɛm,121
ɛmp,319
tkə,1402
ɪrd,91
dip,2261
ipə,2543
pən,2172
nuh,289
uhi,462
hib,203
ərd,2092
rdʒ,2236
esd,389
sdʒ,125
esm,126
sma,386
max,200
axl,161
xlo,156
loʔ,289
oʔh,121
ʔhi,89
hid,1783
ido,1712
dop,1380
opd,346
pda,339
nud,205
arə,5040
rəd,590
esb,135
sbu,213
bur,688
uro,3092
roŋ,426
oŋd,554
ŋdɛ,38
nat,1327
aŋr,686
ŋra,556
rak,833
aks,807
ksa,332
sas,180
ʊtd,84
muə,4207
uəd,555
oʔj,412
ʔja,637
aŋh,1122
ŋhi,657
pdi,274
ida,11849
ama,3893
maɪ,545
ɪrs,64
rsə,2698
təs,987
oŋa,434
ɾrk,1762
tis,1449
uəɲ,504
əri,7847
rik,3807
pər,3887
rin,2081
kəp,10849
əpa,12557
rsu,844
sup,1582
upa,2718
paj,1635
jəm,678
mbi,1510
bia,1002
iaʔ,102
aʔs,1237
ʔsə,1305
hil,341
dəs,2152
oŋs,288
ŋsu,1226
jəb,356
amb,3746
hba,1380
baɲ,955
aɲa,996
ɲaʔ,1160
lim,982
hbu,367
mim,1551
sbi,47
atb,1221
tbi,57
ŋdʒ,961
ʒin,32
naʔ,4117
aʔd,1933
aŋl,2436
ŋli,284
lia,571
iar,923
arm,545
mah,4294
hup,270
upo,199
pon,1108
onj,248
tʃe,292
ʃel,175
ell,52
lla,190
iəb,1131
nus,816
siə,1343
mər,14705
ərɛ,12934
rɛk,12512
ɛkə,12519
səp,3358
əpə,7276
rti,3280
tid,9202
idi,2383
dir,3785
iri,3235
riɲ,486
iɲa,555
ɲas,278
sən,1721
rid,1459
ələ,1525
ləl,1197
aki,1909
kid,244
ərə,1489
rəm,1162
uan,2855
kam,13360
mum,1875
umə,7205
puɲ,953
uɲa,971
ɲaɪ,878
aɪa,993
ɪan,664
aʔt,972
ʔtʃ,155
tʃu,1236
ʃut,204
ʃuj,5
uja,1533
ŋba,1050
ʔsu,251
jək,959
ətu,4135
tur,1692
uru,1508
run,1093
nan,3649
nka,4150
dud,1081
udu,374
duk,317
uki,467
kis,214
lur,946
roh,2087
ohm,621
muk,1464
kəb,2572
mid,675
aɪɲ,186
ɪɲə,183
ɲəh,260
əhə,565
ɪsə,378
uəi,328
əik,64
mus,3967
səb,5129
baɡ,4006
ɡaɪ,1984
mak,2738
mua,1683
anr,2449
nru,320
rum,2208
mpo,753
pot,348
otd,600
rda,2316
daʊ,1287
aʊn,149
ʊns,12
ŋla,1606
laɪ,2013
aɪn,2128
ɪnl,110
daŋ,2004
uəj,166
sud,2647
dah,3704
ahd,4910
hdi,2858
anɲ,3054
nɲa,842
ɲad,618
ada,5000
iəs,989
saŋ,945
ŋat,1313
tbə,709
kəə,278
əən,89
mdə,99
dəŋ,7734
ŋan,11101
aɪl,230
ɪla,146
ahp,1595
hpə,1183
ʃep,6
ept,7
pta,109
taa,960
oha,918
dəh,989
əha,3161
dʒo,1295
ʒoh,639
məɲ,5642
ɲəl,1178
aɪk,2559
ɪka,1435
pək,1645
kəɾ,151
ɾrd,2071
ʒaa,443
ɲal,321
lud,684
rɛh,137
ɛha,240
tih,377
ohd,1242
hda,2188
rii,949
iit,1207
aɪh,205
ɪha,155
iis,372
ist,1904
sti,1200
imɛ,219
mɛw,54
ɛwə,454
wək,698
kər,5048
ran,6137
anə,6605
nəp,494
ats,1129
adɛ,14
ahr,523
hri,127
riw,57
iwa,208
waj,7
jat,1217
atp,1070
tpə,1176
tuh,8909
oma,300
mad,225
neh,113
ehj,143
rtʃ,1282
ʃam,249
asb,404
nəa,689
omm,423
mmə,702
nur,665
unk,380
nhu,304
hud,1688
ʒan,1499
dəo,765
əor,3820
ora,5517
ŋus,231
usa,2805
ahə,1233
hək,357
htə,1020
pia,644
iae,66
rib,1213
uka,5869
kaa,269
ŋaɪ,582
ɪri,15
ahs,3041
hsə,2696
ʒot,103
otɲ,472
tɲə,656
ɲət,1046
tta,203
die,27
ied,19
ede,60
den,26
end,558
dis,4252
hti,757
imo,474
mor,643
orl,72
lum,1556
iəj,305
oʔɲ,13
ʔɲa,123
ɲai,53
isi,2080
sit,1531
dit,2456
num,604
uhk,420
esp,65
spo,11
pok,561
oko,596
koʔ,715
ŋtʃ,178
ʃan,223
nte,476
teʔ,296
eʔj,65
nba,2710
baɪ,1943
aɪʔ,1702
ɪʔd,370
ʔdi,1176
itə,5677
təŋ,641
ŋah,490
hdʒ,669
ɡəp,391
əpo,313
