r-gram,Counts
adi,2937
dij,1379
iji,3553
jil,5838
daɪ,4248
aɪv,4469
ɪvə,4163
vəm,2680
aɡa,731
ɡaɕ,1036
aɕɐ,445
ɕɐv,182
ɐvu,1870
vum,5162
bʰum,1173
umi,1456
mij,1032
iju,3723
jum,16346
srʂ,98
rʂɖ,194
ʂɖi,279
ɖic,1262
icc,17669
ccu,13163
par,213
ara,553
raj,128
aju,1011
ɕun,292
unj,267
njə,1637
jəm,4261
əma,4366
maj,5524
iɾu,5665
ɾun,5342
unn,23999
nnu,35026
arə,282
rət,543
əti,7256
tin,6622
inm,990
nmi,27
mid,259
ide,454
ɾuɭ,2060
uɳɖ,3362
ɳɖa,2992
ɖaj,1293
aji,10608
jiɾ,5793
vət,1753
ind,13533
nde,21846
atm,589
tma,502
mav,664
avu,2677
veɭ,1415
eɭɭ,951
ɭɭə,2284
ɭət,293
pɐɾ,1760
ɐɾi,3961
ɾiv,166
ivə,2734
vəɾ,13499
tic,214
cuɡ,1596
uɡo,3000
ɡoɳ,3475
oɳɖ,5747
ɳɖi,1674
ɖiɾ,431
eɭi,492
ɭic,2109
ccə,759
cəm,92
ɖaɡ,443
aɡə,2464
ɡəʈ,288
əʈʈ,932
ʈʈe,1597
kɐl,2811
ɐlb,1666
lbi,1326
bic,1493
nɐl,762
ɐll,2866
llə,966
ləd,342
ədu,3876
kɐɳ,2139
ɐɳɖ,2971
ɳɖu,8204
ccɐ,3063
cɐv,533
uɭu,58
ɭum,2620
tɐm,456
ɐmm,1987
mmi,522
mil,1246
veɾ,147
piɾ,97
iɾi,8758
ɾic,2319
cɐt,134
ɐti,5111
inn,15798
pɐɡ,674
ɐɡə,6710
ɡəl,2502
uɭi,1365
ɭin,287
ɾat,334
atɾ,956
tɾi,1243
enn,3301
num,5253
peɾ,1125
eɾi,571
ɾiʈ,101
iʈʈ,5184
ʈʈu,7393
sɐn,1529
ɐndʰ,330
ndʰj,99
dʰjə,147
jəj,604
əja,2686
jaj,3070
uʂə,337
ʂəs,30
əss,954
ssu,522
sum,279
uma,1931
onn,2509
nna,2112
nam,1512
div,976
vəs,1564
əsə,439
səm,1315
ɭəŋ,151
əŋŋ,4636
ŋŋɐ,2768
ŋɐɭ,2685
ɐɭu,2466
ɭuɖ,4948
uɖe,15457
mɐd,627
ɐddʰ,558
ddʰj,307
dʰje,221
oɾu,5702
vid,1563
ida,1286
dan,880
anə,2173
nəm,2762
ɐdu,6052
iva,881
vaj,1837
ɾik,8871
ikə,1534
kəʈ,161
ɖak,794
aki,1670
kiʈ,283
nət,1393
kir,648
iru,412
ruɭ,32
uɭɭ,5982
ɭɭɐ,4096
ɭəv,1044
əvu,2939
dej,967
eju,8611
juɭ,1324
ɐŋŋ,6989
ŋŋə,14668
ŋən,1835
əne,5163
sɐm,3625
ɐmbʰ,354
mbʰə,307
bʰəv,267
əvi,1384
vic,1285
aɕə,837
ɕəm,1149
ɾɐɳ,1034
ɖam,289
maɡ,506
ɕɐt,976
ɭəm,1178
stʰɐ,616
tʰɐl,520
ɐlə,3557
lət,1492
ətu,2861
kuɖ,2126
uɖə,771
ɖəʈ,21
uɳə,353
ɳəŋ,213
ŋŋi,1734
ŋij,346
ijɐ,2052
nil,2191
ilə,1862
ləm,1710
kaɳ,1293
aɳə,597
ɳəʈ,42
kuʈ,1375
uʈʈ,2813
ʈʈə,2765
ʈət,275
ɐmu,949
mud,767
udɾ,287
dɾə,276
ɾəm,5801
nin,12062
pul,225
ull,204
llu,961
lum,3859
vit,52
itu,88
tuɭ,163
sɐs,35
ɐsj,29
sjə,177
jəŋ,621
ɐdə,1145
dəd,783
tɐɾ,548
ɐɾə,3038
pʰɐl,343
kaj,419
jik,560
iku,12565
kun,10522
nnɐ,6631
vrk,222
rkʂ,222
kʂə,892
ʂəŋ,61
muɭ,1248
uɭe,89
ɭec,177
ecc,2205
cuv,560
uvə,1084
əɾɐ,2349
ɾɐʈ,70
ɐʈʈ,3075
vən,18218
ənn,3682
mun,1024
əlu,231
ɾav,345
van,2433
ɐvi,1791
til,6011
cɐŋ,58
ŋəɭ,12728
ɐvɐ,357
ɐɖə,3759
ɖəj,1056
jaɭ,223
aɭə,975
ɐɭa,313
ɭaj,449
kal,1039
alə,2051
ɐmv,461
mvə,550
əts,381
tsɐ,396
sɐɾ,1161
tiɾ,2362
cɐr,54
ɐri,4443
riv,341
ana,243
naj,3971
udə,1959
dəɡ,483
əɡɐ,2513
ɡɐʈ,168
ije,1376
pɾɐ,5414
ɾɐɡ,518
ɐɡa,537
aɕi,200
ɕip,388
ipi,2515
pip,181
ipa,1836
pan,2345
əɭa,372
var,323
are,234
reɳ,31
eɳɖ,3168
ɳɖɐ,872
ɖɐd,705
ɐdi,6675
din,6325
vɐl,1499
ɐli,998
lip,98
ipɐ,122
pɐm,57
ɐme,473
mer,50
eri,263
rij,2448
ipə,44
pəm,216
kur,1366
urə,3126
rəɲ,4569
əɲɲ,5564
ɲɲɐ,1246
lij,593
əɭe,2825
nɐk,186
ɐkʂ,1485
ʂət,338
ətɾ,297
tɾɐ,370
ɾɐŋ,366
ɭej,983
anu,1362
ɾij,1292
aru,387
ruv,330
uva,1905
ɐte,1109
tej,511
ine,2954
nej,1709
ɾip,811
ɐvə,31084
vəj,3983
əje,1792
niɾ,1879
nal,1729
ala,236
lam,432
ɟɐl,65
ləɟ,10
əɟɐ,92
ɟɐn,2223
ɐnd,4180
ndu,433
duk,145
ukə,1775
kəɭ,1795
ʈəm,286
ɐni,1017
nik,998
ikɐ,3595
kɐʈ,390
juɖ,4272
pɐr,6396
ɐrə,7004
rəv,755
əvɐ,3292
vɐɟ,107
ɐɟa,168
ɟad,1135
rək,602
əkɐ,668
tim,102
imi,1143
mim,29
imɡ,23
mɡɐ,75
ɡɐl,258
ləŋ,311
ɐɭe,2100
nic,388
cɐɾ,92
dud,764
dəɾ,1787
əɾə,1151
ɟiv,1045
vəɟ,17
ukɐ,993
kɐɭ,1151
jej,568
niŋ,6531
iŋŋ,7244
vɐɾ,4904
ddʰi,946
dʰic,447
eɾu,1747
ɾuɡ,337
uɡi,391
dɾɐ,502
ɾɐt,1490
ile,3646
nir,451
