r-gram,Counts
deva,4253
evan,1037
vane,1322
akaʃ,344
pɾʊtʰ,585
ɾʊtʰv,584
ʊtʰvi,586
nɪrm,370
ɪrma,299
rmaɳ,284
keli,1924
sʊɾʊ,246
ʊɾʊv,157
ɾʊva,162
ʊvat,159
vati,84
atil,2579
tila,203
purɳ,589
urɳə,591
rɳəp,95
ɳəpɳ,191
əpɳe,321
ɾɪka,65
ɪkam,61
kami,39
hoti,1732
tʰviv,332
vivə,208
ivəɾ,958
kahi,2292
ahih,244
hihi,304
nʌvh,713
ʌvhə,549
vhət,554
həte,287
ʌndʰa,142
ndʰaɾ,130
dʰaɾa,88
aɾan,122
ɾane,1616
zəla,10
əlaʃ,22
laʃɛ,1
aʃɛj,6
ɟʰakl,35
akle,246
klel,99
lele,1314
hote,3074
evac,1789
vaca,564
atma,245
paɳj,303
aɳja,1149
ɳjav,134
javə,2773
avəɾ,4622
pakʰə,5
akʰəɾ,5
ɡʰali,67
alit,21
hota,2734
nʌnt,1489
ʌntə,1609
ntəɾ,1566
boll,443
olla,271
pɾək,674
ɾəka,667
əkaʃ,235
hovo,89
cʌmk,7
ʌmku,7
laɡl,868
aɡla,363
pahɪ,1707
ahɪl,1752
hɪla,489
tjal,3443
jala,5185
kʌɭl,85
ʌɭle,93
cãɡl,989
ãɡla,243
aɾap,87
ɾapa,126
apas,1076
pasu,1637
asun,1649
veɡɭ,148
eɡɭa,39
kela,1658
kaʃa,324
aʃal,28
ʃala,183
dɪvə,634
ɪvəs,628
aɾal,74
ɾala,980
ɾatɾ,382
atɾə,445
nave,145
dɪli,549
səndʰ,139
əndʰj,129
ndʰja,129
dʰjak,129
jaka,167
akaɭ,150
ɟʰali,507
səka,162
əkaɭ,354
ɟʰala,1036
pʌhɪ,141
ʌhɪl,140
zəlã,4
əlãs,2
dʊbʰa,7
ʊbʰaɡ,7
bʰaɡɳ,29
aɡɳj,39
ɡɳja,259
ɳjak,132
jakɾ,129
akɾɪ,211
kɾɪt,261
ɾɪta,289
əlãc,3
lãcj,170
ãcja,4864
mədʰj,84
ədʰjə,47
dʰjəbʰ,29
jəbʰa,30
əbʰaɡ,88
bʰaɡi,96
təɾa,52
əɾaɭ,8
tevh,3516
evha,4338
kele,3367
ɾaɭa,9
aɭav,95
ɭavə,53
vəɾʌ,129
əɾʌc,328
ɾʌcj,663
ʌcja,4814
kʰalʌ,40
alʌc,124
lʌcj,820
eɡɭe,89
aɭas,51
dɪle,1730
dʊsɾ,360
ʊsɾa,207
aɭakʰ,1
ɭakʰa,2
akʰal,188
kʰali,516
alil,110
paɳi,421
ekʌt,322
kʌtɾ,322
ʌtɾə,437
ɡoɭa,189
koɾɖ,31
oɾɖi,20
zəmi,340
əmin,340
dɪsu,91
ɪsun,39
jevo,19
tʌse,419
ɡʰʌɖl,181
ʌɖle,315
koɾʌ,27
oɾʌɖ,27
ɾʌɖj,47
ʌɖja,170
zəmɪ,421
əmɪn,421
mɪni,438
ɪnis,7
bʰumɪ,20
ɟʰale,1298
alel,744
lelj,2604
elja,3338
zələ,10
ələs,4
ləsə,2
əsəɲ,11
səɲc,29
əɲcə,70
ɲcəj,1
cəja,2
əjas,39
səmʊ,441
əmʊd,447
mʊdɾ,449
ʊdɾə,152
hɪle,1264
ãɡle,558
ɡʌvə,60
ʌvət,63
deɳa,317
eɳar,166
ɳarj,1358
arja,1612
vənʌ,27
ənʌs,28
nʌsp,24
ʌspə,27
spət,31
pəti,90
pʰʌɭe,75
vaɖʰo,4
aɖʰot,2
pʰəɭɟʰ,7
əɭɟʰa,7
ɭɟʰaɖ,7
ɟʰaɖe,93
bɪja,23
ʌsle,957
slel,972
leli,775
təja,497
əjaɾ,493
kəɾt,1376
əɾti,633
ɾtil,707
pɾət,1289
ɾətj,1121
ətje,1053
tjek,1054
apʌl,2395
pʌlj,2414
ʌlja,3989
zati,288
atic,90
ticj,161
icja,1261
cjac,113
kəɾi,2748
əɾil,814
apap,237
papʌ,165
tice,117
tici,161
eɳaɾ,642
ɳaɾi,145
pʰəɭa,10
əɭat,9
ɭatə,3
atəc,133
ʌsɳa,129
sɳaɾ,176
bʰumi,318
umin,2
mine,19
ʊpəz,12
pəzv,6
əzvɪ,10
zvɪl,35
vɪli,136
tɪsɾ,41
ɪsɾa,3125
eɡɭi,18
kəɾɳ,2611
əɾɳj,1661
ɾɳja,1909
ɳjas,2542
jasa,3313
asaʈʰ,3757
saʈʰi,4737
aʃat,196
zjot,17
jotɪ,13
ovot,18
vɪʃe,183
ɪʃeʂ,183
cɪnh,60
ɪnhe,16
meɭa,15
eɭav,6
ɭave,98
ɾʊtu,6
vʌrʂ,518
ʌrʂe,295
dakʰv,392
akʰvɪ,178
kʰvɪɳ,74
vɪɳa,99
ɪɳar,28
tʰvil,15
vila,36
deɳj,433
eɳja,876
moʈʰj,356
oʈʰja,366
kelj,595
dɪvs,383
ɪvsa,248
vsav,7
savə,123
sʌta,118
calv,44
alvɪ,42
lvɪɳ,14
vɪɳj,318
ɪɳja,382
moʈʰi,100
surj,138
urjə,84
atɾi,404
tɾiv,9
ɾivə,51
ləha,274
əhan,582
cʌnd,43
ʌndɾ,55
ndɾə,43
tjan,3625
jane,5218
taɾe,45
aɾeh,14
ɾehi,22
caʊdʰ,1
aʊdʰa,1
əlam,156
lamʌ,15
amʌdʰ,344
mʌdʰj,1324
ʌdʰje,1301
ɟiiv,392
iivə,29
ivəz,2
vəzn,21
əznt,1
zntu,1
ntuc,1
tuce,11
tʰəve,2
əvec,3
vecj,26
ecja,383
tʰʌve,4
ʊtpʌ,46
tpʌn,43
pʌnn,74
ʌnnə,420
pʌkʃ,105
ʌkʃi,99
ʊɖob,1
ɖoba,1
obaɡ,1
baɡɖ,1
aɡɖo,1
ɡɖot,1
ʊdɾa,307
dɾat,127
ɾati,345
pɾəc,79
ɾəcʌ,76
əcʌɳ,73
cʌɳɖ,74
zʌlə,9
ʌləc,3
ləcə,5
əcəɾ,4
mhʌɳ,2255
hʌɳz,1094
ʌɳze,1094
ɳjat,918
pʰɪɾɳ,12
ɪɾɳa,7
ɾɳaɾ,876
ɳaɾe,568
ʌnek,246
əkaɾ,601
kaɾc,121
aɾce,78
zəlp,1
əlpɾ,2
lpɾa,3
pɾaɳ,445
ɾaɳi,291
təse,638
əsec,638
ʊɖɳa,19
ɖɳaɾ,184
nɪɾn,45
ɪɾnɪ,46
ɾnɪɾ,46
nɪɾa,108
ɪɾaɭ,44
ɾaɭʌ,1
aɭʌɖ,1
ɭʌɖj,3
pəkʃ,104
əkʃi,85
kʃih,2
ʃihi,28
tjãn,5820
jãna,4931
aʃir,300
ʃirv,301
irva,299
rvad,304
dɪla,677
pʰəld,3
əldɾ,2
ldɾu,2
dɾup,4
vaɖʰa,15
vjap,121
japu,135
apun,66
bʰʌɾʊ,85
ʌɾʊn,1191
ʈaka,161
bʌhʊ,7
ʌhʊɡ,3
hʊɡʊ,3
ʊɡʊɳ,3
ɡʊɳɪ,5
ʊɳɪt,4
ʈako,3
akot,1
pacv,17
acva,37
ɾaɭj,35
aɭja,128
pʌʃu,74
moʈʰe,182
veɡv,77
eɡve,68
ɡveɡ,68
veɡə,9
eɡəɭ,9
ɡəɭʌ,1
əɭʌɖ,2
səɾə,372
əɾəp,74
ɾəpə,91
əpəʈ,83
pəʈɳ,27
əʈɳa,28
ʈɳaɾ,83
ɾãɡɳ,16
ãɡɳa,81
ɡɳaɾ,176
iivdʰ,5
ivdʰa,5
vdʰaɾ,5
dʰaɾi,88
kəɾo,13
əɾot,11
sʌrv,3771
vʌnə,5
ʌnəp,4
nəpʃ,5
əpʃu,28
paɭi,58
aɭiv,14
zəna,165
ənav,137
navɾ,135
avɾe,49
sʌɾə,83
ʌɾəp,17
pəʈə,12
əʈət,15
zaɳa,254
aɳaɾ,247
ɡəɭj,44
əɭja,140
apəɳ,830
ɾətɪ,124
ətɪɾ,25
tɪɾu,2
ɪɾup,9
ɾupa,25
upac,4
paca,78
saɾkʰ,1278
aɾkʰa,404
mənʊ,752
ənʊʂ,809
nʊʂj,812
ʊʂjə,575
kʌɾʊ,2080
mase,98
ʃati,389
ɪniv,187
nivə,184
jãcj,3575
cjav,1188
lvɪt,19
vɪti,20
ɪtil,40
tɪɾʊ,11
ɪɾʊp,36
ɾʊpa,254
ʊpac,15
vace,513
pɾʌt,51
ɾʌtɪ,36
ʌtɪɾ,2
naɾi,17
mhəɳ,7774
həɳa,4583
əɳal,4087
ɳala,3469
səte,37
ətekʰ,6
tekʰa,6
ekʰal,19
ɳaɾa,491
səɟi,17
əɟii,69
jãvə,226
ãvəɾ,746
alva,20
dʰanj,347
anjə,348
əɭam,4
ɭamdʰ,4
amdʰj,163
mdʰje,275
dʰjec,30
vɾʊk,148
ɾʊkʃ,152
ʊkʃa,66
kʃac,65
ʃace,90
tʊmh,6925
ʊmhã,1073
mhãs,129
ahet,2559
mhãk,14
hãkɾ,3
ãkɾɪ,32
otil,355
vivɾ,127
ivɾi,177
vɾil,494
cjak,682
həɳu,2998
əɳun,3003
hɪɾʌ,18
ɪɾʌv,18
ɾʌvj,40
ʌvja,330
dɪlj,213
ɪlja,636
elel,980
sərv,1205
ərvə,727
rvək,270
vəka,103
əkah,37
səha,95
əhav,110
hava,117
japɾ,868
apɾə,1429
pɾəm,2384
ɾəma,2371
