r-gram,Counts
devan,1038
evane,1034
vanea,121
aneak,37
neaka,25
eakaʃ,64
akaʃv,17
kaʃvə,18
aʃvəp,14
ʃvəpɾ,14
vəpɾʊ,33
əpɾʊtʰ,37
pɾʊtʰv,584
ɾʊtʰvi,584
ʊtʰvin,33
tʰvinɪ,24
vinɪr,23
inɪrm,94
nɪrma,299
ɪrmaɳ,284
rmaɳk,236
maɳke,160
aɳkel,175
ɳkeli,58
kelis,111
elisʊ,15
lisʊɾ,6
isʊɾʊ,43
sʊɾʊv,158
ʊɾʊva,157
ɾʊvat,160
ʊvati,38
vatil,51
atila,106
tilap,34
ilapɾ,7
lapɾʊ,29
apɾʊtʰ,108
ʊtʰvip,13
tʰvipu,1
vipur,1
ipurɳ,69
purɳə,586
urɳəp,110
rɳəpɳ,92
ɳəpɳe,97
əpɳeɾ,7
pɳeɾɪ,1
ɳeɾɪk,1
eɾɪka,8
ɾɪkam,49
ɪkami,29
kamih,5
amiho,10
mihot,25
ihoti,706
hotip,154
otipɾ,26
tipɾʊ,7
ipɾʊtʰ,88
ʊtʰviv,349
tʰvivə,216
vivəɾ,208
ivəɾk,29
vəɾka,87
əɾkah,50
ɾkahi,91
kahih,276
ahihi,255
hihin,34
ihinʌ,35
hinʌv,32
inʌvh,107
nʌvhə,546
ʌvhət,547
vhəte,267
həteʌ,10
əteʌn,2
teʌndʰ,5
eʌndʰa,18
ʌndʰaɾ,130
ndʰaɾa,78
dʰaɾan,7
aɾane,83
ɾanez,49
anezə,41
nezəl,3
ezəla,2
zəlaʃ,8
əlaʃɛ,1
laʃɛj,1
aʃɛjɟʰ,1
ʃɛjɟʰa,1
ɛjɟʰak,1
jɟʰakl,1
ɟʰakle,24
aklel,31
klele,32
leleh,109
eleho,228
lehot,977
ehote,1424
hotea,203
oteaɳ,126
teaɳɪ,285
eaɳɪd,125
aɳɪde,183
ɳɪdev,173
ɪdeva,130
devac,1768
evaca,312
vacaa,49
acaat,48
caatm,65
aatma,119
atmap,18
tmapa,8
mapaɳ,7
apaɳj,100
paɳja,299
aɳjav,53
ɳjavə,55
javəɾ,2793
avəɾp,413
vəɾpa,95
əɾpakʰ,2
ɾpakʰə,1
pakʰəɾ,5
akʰəɾɡʰ,2
kʰəɾɡʰa,2
əɾɡʰal,13
ɾɡʰali,7
ɡʰalit,24
alith,4
litho,5
ithot,312
thota,463
hotan,65
otanʌ,19
tanʌn,44
anʌnt,586
nʌntə,1353
ʌntəɾ,1463
ntəɾd,74
təɾde,182
əɾdev,422
ɾdevb,3
devbo,11
evbol,11
vboll,13
bolla,272
ollap,19
llapɾ,5
lapɾə,140
apɾək,368
pɾəka,649
ɾəkaʃ,232
əkaʃh,6
kaʃho,5
aʃhov,7
ʃhovo,7
hovoa,10
ovoaɳ,9
voaɳɪ,13
oaɳɪp,31
aɳɪpɾ,213
ɳɪpɾə,83
ɪpɾək,6
əkaʃc,2
kaʃcʌ,1
aʃcʌm,1
ʃcʌmk,1
cʌmku,7
ʌmkul,6
mkula,6
kulaɡ,10
ulaɡl,426
laɡla,285
aɡlad,8
ɡlade,3
ladev,343
adeva,1029
vanep,72
anepɾ,143
nepɾə,71
epɾək,25
əkaʃp,14
kaʃpa,7
aʃpah,8
ʃpahɪ,9
pahɪl,923
ahɪla,384
hɪlaa,59
ɪlaaɳ,81
laaɳɪ,952
aaɳɪt,752
aɳɪtj,1804
ɳɪtja,1210
ɪtjal,183
tjala,3442
jalak,369
alakʌ,119
lakʌɭ,96
akʌɭl,64
kʌɭle,75
ʌɭlek,13
ɭleki,14
lekit,113
ekito,43
kitoc,3
itocã,5
tocãɡ,53
ocãɡl,41
cãɡla,241
ãɡlaa,69
ɡlaah,72
laahe,951
aahen,21
ahenʌ,44
henʌn,38
enʌnt,251
ɾdeva,413
vaneʌ,53
aneʌn,37
neʌndʰ,5
dʰaɾap,2
aɾapa,61
ɾapas,66
apasu,1071
pasun,1631
asunp,106
sunpɾ,14
unpɾə,74
npɾək,6
əkaʃv,4
kaʃve,1
aʃveɡ,1
ʃveɡɭ,1
veɡɭa,39
eɡɭak,11
ɡɭake,5
ɭakel,47
akela,218
kelad,47
elade,49
əkaʃa,104
kaʃal,25
aʃala,30
ʃalad,8
aladɪ,198
ladɪv,32
adɪvə,152
dɪvəs,623
ɪvəsv,39
vəsvə,22
əsvəʌ,5
svəʌn,1
vəʌndʰ,4
əʌndʰa,6
dʰaɾal,3
aɾala,70
ɾalaɾ,5
alaɾa,119
laɾat,16
aɾatɾ,104
ɾatɾə,122
atɾəʌ,25
tɾəʌʃ,5
ɾəʌʃi,5
əʌʃin,2
ʌʃina,7
ʃinav,5
inave,87
naved,12
avedɪ,9
vedɪl,11
edɪli,62
dɪlis,28
ɪlisə,6
lisən,9
isəndʰ,21
səndʰj,128
əndʰja,128
ndʰjak,127
dʰjaka,128
jakaɭ,315
akaɭɟʰ,18
kaɭɟʰa,28
aɭɟʰal,36
ɭɟʰali,34
ɟʰaliv,18
alivə,47
livən,21
ivənʌ,21
vənʌn,23
ənʌnt,29
ntəɾs,56
təɾsə,27
əɾsək,9
ɾsəka,9
səkaɭ,162
əkaɭɟʰ,10
ɟʰalih,64
aliha,25
lihaɟʰ,6
ihaɟʰa,5
haɟʰal,7
aɟʰala,296
ɟʰalap,69
alapʌ,144
lapʌh,11
apʌhɪ,51
pʌhɪl,137
ʌhɪla,81
hɪlad,21
ɪladɪ,19
ɪvəsn,9
vəsnʌ,2
əsnʌn,2
snʌnt,12
ollaz,4
llazə,2
lazəl,2
azəlã,3
zəlãs,2
əlãsd,1
lãsdʊ,1
ãsdʊbʰ,1
sdʊbʰa,1
dʊbʰaɡ,6
ʊbʰaɡɳ,3
bʰaɡɳj,2
aɡɳja,39
ɡɳjak,5
ɳjakɾ,85
jakɾɪ,121
akɾɪt,211
kɾɪta,258
ɾɪtaz,5
ɪtazə,2
tazəl,2
zəlãc,1
əlãcj,1
lãcja,170
ãcjam,423
cjamə,619
jamədʰ,55
amədʰj,37
mədʰjə,47
ədʰjəbʰ,29
dʰjəbʰa,30
jəbʰaɡ,33
əbʰaɡi,71
bʰaɡiʌ,4
aɡiʌn,1
ɡiʌnt,1
iʌntə,12
ntəɾa,68
təɾaɭ,6
əɾaɭh,1
ɾaɭho,1
aɭhov,1
ɭhovo,2
hovot,35
ovote,1
votev,1
otevh,228
tevha,3499
evhad,157
vhade,58
hadev,99
neʌnt,8
eʌntə,15
əɾaɭk,1
ɾaɭke,1
aɭkel,4
ɭkele,13
kelea,478
eleaɳ,276
leaɳɪ,1186
eaɳɪʌ,65
aɳɪʌn,47
ɳɪʌnt,3
ɪʌntə,1
əɾaɭa,5
ɾaɭav,1
aɭavə,21
ɭavəɾ,53
avəɾʌ,253
vəɾʌc,131
əɾʌcj,326
ɾʌcja,659
ʌcjav,393
cjavə,1480
javəkʰ,8
avəkʰa,12
vəkʰal,12
əkʰalʌ,5
kʰalʌc,40
alʌcj,124
lʌcja,820
ʌcjaz,77
