r-gram,Counts
aɾʌm,30
ɾʌmbʰ,11
ʌmbʰə,88
mbʰəm,14
bʰəma,39
pəɾə,15045
əɾəm,15604
ɾəme,6773
əmeʃ,6769
meʃw,6737
eʃwɾ,6709
ʃwɾʌ,6745
wɾʌl,2769
ɾʌle,2239
akaʃ,309
pɾɪtʰ,708
ɾɪtʰw,700
ɪtʰwi,173
sɾɪʂ,131
ɾɪʂʈ,1017
ɪʂʈɪ,187
bʰʌjo,3193
ʃunj,25
unjə,25
tʰɪjo,3518
ɪtʰwɪ,527
tʰwɪm,255
wɪma,266
kehi,1604
pʌnɪ,4561
tʰɪen,504
ɪenə,586
səmu,1175
əmud,463
mudɾ,413
udɾə,402
dɾəl,23
ɾəla,892
əlai,11240
ʌ̃dʰja,70
dʰjaɾ,86
jaɾo,249
aɾol,9
ɾole,85
ɖʰake,28
akek,35
keko,356
wɾʌk,1961
ɾʌko,1582
atma,662
panɪ,294
anɪm,115
nɪma,196
ɪmatʰ,212
matʰɪ,2109
pəɾɪ,1633
əɾɪbʰ,8
ɾɪbʰɾ,1
ɪbʰɾə,1
bʰɾəm,2
ɾəmə,1183
əməɳ,278
ɡəɾɪ,1376
əɾɪɾ,974
ɾɪɾə,1133
ɪɾəh,2633
ɾəhʌ,324
əhʌn,314
hʌntʰ,151
ʌntʰj,39
ntʰjo,470
bʰʌnn,2311
ʌnnu,1309
nnubʰ,1443
nubʰə,3340
ubʰəj,2823
bʰəjo,2864
ʊɟja,106
ɟjal,174
jalo,113
cʌmk,48
ʌmkə,16
mkən,43
tʰalj,87
aljo,111
tjəs,1106
jəsə,2582
əsəl,1400
səla,3012
ʌsəl,3083
ɾola,77
olai,186
cʰuʈʈ,103
uʈʈj,59
ʈʈja,90
ʈjaʊ,44
jaʊn,1062
aʊnu,3250
alol,19
lola,18
pʌrr,3430
ʌrrj,820
rrjo,539
bɪha,212
ɪhan,452
pʌhɪ,571
ʌhɪl,1323
hɪlo,271
anɪl,159
nɪla,134
ɪlai,3099
parr,957
arrn,1163
rrnə,3578
tjʌh,2235
jʌhã,1914
bəta,471
ətas,87
jəsʌ,1153
əsʌr,1110
sʌrr,1246
ʌrrtʰ,1736
rrtʰə,2123
ɡʌrr,8502
ʌrrn,4890
rrnu,1664
rnubʰ,523
pani,555
uʈʈɪ,27
ʈʈɪj,5
ʈɪjo,18
tasə,40
asəm,88
səma,1306
əmatʰ,526
ɾʌhə,463
ʌhəj,7
həjo,245
munɪ,107
tjʌs,6354
asəl,184
dosɾ,139
osɾo,138
tesɾ,112
esɾo,134
sukʰkʰ,43
ukʰkʰa,43
bʰumɪ,1608
ʊdbʰɪ,38
dbʰɪd,38
unɪk,16
nɪko,446
ʈʰaũm,407
aũma,536
ɟʌmm,309
ʌmma,282
dekʰɪ,1124
ekʰɪj,23
kʰɪjo,55
ɪjos,127
jʌst,1688
ʌstɛ,1598
umɪl,64
mɪla,2263
bʰəek,3825
əeko,2989
ɾʌla,530
ʌlai,571
ʌsto,1983
ekom,104
koma,226
laɡj,96
aɡjo,111
ʌnnə,898
ʊtpʌ,47
tpʌn,45
pʌnn,82
rrne,4061
tʌtʰa,329
