r-gram,Counts
pɾɪtʰw,542
ɾɪtʰwi,134
ɪtʰwiʃ,2
tʰwiʃu,1
wiʃun,1
iʃunj,5
ʃunjə,24
unjətʰ,1
njətʰɪ,3
jətʰɪj,34
ətʰɪjo,343
tʰɪjop,183
ɪjopɾ,48
jopɾɪ,33
opɾɪtʰ,46
ɾɪtʰwɪ,408
ɪtʰwɪm,200
tʰwɪma,200
wɪmak,9
ɪmake,11
makeh,117
akehi,191
kehip,166
ehipʌ,111
hipʌn,220
ipʌnɪ,698
pʌnɪtʰ,78
ʌnɪtʰɪ,62
nɪtʰɪe,51
ɪtʰɪen,23
tʰɪenə,416
ɪenəs,7
enəsə,5
nəsəm,32
əsəmu,280
səmud,366
əmudɾ,325
mudɾə,319
udɾəl,13
dɾəla,13
ɾəlai,583
əlaiʌ̃,7
laiʌ̃dʰ,10
aiʌ̃dʰj,10
iʌ̃dʰja,9
ʌ̃dʰjaɾ,57
dʰjaɾo,70
jaɾol,6
aɾole,4
ɾoleɖʰ,1
oleɖʰa,2
leɖʰak,49
eɖʰake,13
ɖʰakek,18
akeko,19
kekotʰ,53
ekotʰɪ,1344
kotʰɪj,1141
otʰɪjo,1321
tʰɪjoʌ,207
ɪjoʌn,277
joʌnɪ,790
oʌnɪp,102
ʌnɪpə,449
nɪpəɾ,323
ɪpəɾə,669
pəɾəm,9627
əɾəme,4377
ɾəmeʃ,4348
əmeʃw,4331
meʃwɾ,4311
eʃwɾʌ,4309
ʃwɾʌk,1540
wɾʌko,1227
ɾʌkoa,110
ʌkoat,25
koatm,101
oatma,171
atmap,26
tmapa,6
mapan,58
apanɪ,23
panɪm,59
anɪma,82
nɪmatʰ,34
ɪmatʰɪ,223
matʰɪp,109
atʰɪpə,35
tʰɪpəɾ,23
ɪpəɾɪ,370
pəɾɪbʰ,21
əɾɪbʰɾ,1
ɾɪbʰɾə,1
ɪbʰɾəm,1
bʰɾəmə,2
ɾəməɳ,213
əməɳɡ,198
məɳɡə,55
əɳɡəɾ,141
ɳɡəɾɪ,64
ɡəɾɪɾ,432
əɾɪɾə,800
ɾɪɾəh,654
ɪɾəhʌ,105
ɾəhʌn,240
əhʌntʰ,21
hʌntʰj,19
ʌntʰjo,28
ntʰjot,92
tʰjotʌ,16
jotʌb,247
otʌbp,40
tʌbpə,157
ʌbpəɾ,183
bpəɾə,189
ʃwɾʌl,1439
wɾʌle,1070
ɾʌlebʰ,81
ʌlebʰʌ,58
lebʰʌn,1694
ebʰʌnn,534
bʰʌnnu,1036
ʌnnubʰ,1024
nnubʰə,1146
nubʰəj,2062
ubʰəjo,2062
bʰəjoʊ,126
əjoʊɟ,4
joʊɟj,4
oʊɟja,26
ʊɟjal,89
ɟjalo,86
jaloh,12
aloho,7
lohos,6
ohosʌ,3
hosʌn,85
osʌnɪ,137
sʌnɪʊ,19
ʌnɪʊɟ,15
nɪʊɟj,3
ɪʊɟja,3
jaloc,3
alocʌ,2
locʌm,2
ocʌmk,6
cʌmkə,14
ʌmkən,13
mkəntʰ,1
kəntʰa,3
əntʰal,29
ntʰalj,28
tʰaljo,76
aljot,24
ljotʌ,10
bʰəjop,165
əjopa,13
jopan,45
opanɪ,40
panɪl,64
anɪla,45
nɪlai,101
ɪlaid,147
laidu,94
aiduɪ,24
iduɪbʰ,5
duɪbʰa,11
uɪbʰaɡ,8
ɪbʰaɡp,4
bʰaɡpa,15
aɡpar,2
ɡparr,5
parrn,506
arrnə,317
rrnət,116
rnətj,8
nətjʌ,123
ətjʌh,349
tjʌhã,1189
jʌhãb,132
ʌhãbə,42
hãbət,3
ãbəta,3
bətas,57
ətash,4
tasho,1
