r-gram,Counts
ɪbr,67
brɑ,69
rɑɡ,93
ɑɡɪ,93
ɡɪm,197
ɪmj,112
mju,68
jud,61
udɑ,47
dɑp,98
ɑpe,71
per,52
ere,1058
res,128
esp,27
spe,96
pen,191
enz,109
nze,8
zer,29
erɑ,382
rɑx,31
ɑxt,5
xtə,98
təŋ,612
əŋɑ,656
ŋɑt,164
ɑtɑ,1384
tɑs,443
ɑsə,1283
səɑ,41
əɑn,25
ɑnɑ,1121
nɑɫ,320
ɑɫɑ,2006
ɫɑr,7817
ɑrə,2741
rət,46
ətɑ,225
tɑm,489
ɑmɑ,2952
mɑr,231
ɑre,461
red,281
edɪ,2448
dɪp,82
ɪpe,99
esx,1
sxe,1
xes,2
esr,3
sro,3
ron,196
onn,321
nnə,149
nəŋ,1586
səx,14
əxe,1
onr,1
nrɑ,66
rɑm,395
ɑmn,41
mnə,50
sər,116
ərɑ,503
mɑm,144
ɑmm,43
mmɪ,20
mɪn,243
ɪnɑ,405
nɑd,180
ɑdɑ,1015
dɑw,126
ɑwd,135
wdə,212
dəŋ,2130
əɑm,81
ɑwn,5
wnɑ,3
nɑx,17
ɑxʃ,86
xʃo,3
ʃon,3
sən,1497
ənɑ,1750
ons,16
nsɑ,414
sɑl,297
ɑlm,395
lmo,6
mon,283
səe,49
əed,35
dɪs,607
ɪsɑ,1764
onb,15
nbo,473
boɑ,4
oɑz,4
ɑzd,52
zdə,347
səb,109
əbo,464
ŋɑn,31
nɑs,333
ɑxɑ,400
xɑw,5
ɑwe,59
wed,5
dɪb,357
ɪbo,361
ɑzo,5
zow,1
owe,4
edt,4
dtɪ,4
tɪŋ,346
ɪŋɑ,345
səo,24
əow,2
ərʊ,161
rʊt,2
ʊte,7
ted,184
dɪo,368
ɪow,1
wet,42
etɪ,971
tɪʃ,17
ɪʃɑ,95
ʃɑj,221
ɑjd,704
jdə,447
əɑɪ,3
ɑɪʃ,21
jdɑ,308
dɑʊ,91
ɑʊt,52
ʊtp,26
tpɑ,323
pɑt,378
ɑtʃ,307
tʃɑ,291
ʃɑd,57
ɑdə,2610
dɪd,257
ɪdɑ,50
ʃɑs,76
ɑsʊ,114
sʊl,17
ʊle,13
lej,643
ejm,175
jme,220
men,2841
enn,300
nnɪ,75
nɪŋ,975
səs,69
əsʊ,32
səʊ,10
əʊr,10
ʊrɪ,1
rɪj,150
ɪjɑ,572
jɑd,541
əŋx,41
ŋxɑ,53
xɑt,337
ɑtə,1124
tən,756
ənə,566
nəe,81
ɪsʊ,35
enr,44
nre,2
rex,3
exɑ,39
ɑwɑ,389
wɑm,7
əre,37
mɑw,35
ɑwɪ,13
wɪj,4
əɑw,17
jɑɑ,20
ɑɑs,53
ɑsɑ,572
sɑd,607
əɑs,34
sɑj,262
ɑjo,240
joʃ,4
oʃɑ,4
ʃɑf,2
ɑfɑ,12
fɑt,5
ɑtt,514
ttə,625
səj,126
əjo,83
ɑtj,56
tjo,28
jor,107
orɑ,310
ɑmʊ,58
mʊz,3
ʊzɪ,2
zɪj,52
dɪʊ,22
ɪʊz,3
jɑj,206
jot,2
otɑ,14
mɑx,22
xɑz,3
əɑx,8
ɑzx,1
zxɪ,1
xɪz,2
ɪzk,101
zkɪ,51
kɪj,397
əxɪ,1
jɑm,459
mɑn,2999
nɑʃ,158
ɑʃe,22
ʃed,23
dɪŋ,794
səm,125
əmɑ,902
ʃeɑ,25
eɑm,45
ɑmo,22
onj,7
njo,114
oʃɪ,2
ʃɪj,51
joɑ,2
oɑk,2
ɑkɪ,249
kɪm,805
ɪmn,158
mnɪ,171
mje,57
jek,602
eko,91
kon,40
onɪ,46
nɪj,270
ɑno,223
non,195
onə,1617
əŋq,301
ŋqɑ,312
qɑr,1219
ɑrd,2839
rdɑ,1031
dɑʃ,452
ɑʃɫ,242
ʃɫɑ,252
rən,1140
ɪso,423
sos,141
osə,216
səz,698
əzɑ,248
zɑt,938
ɑtb,106
tbɑ,43
bɑb,61
ɑbə,342
bəl,40
əlʀ,446
lʀɑ,1716
ʀɑk,502
ɑkɵ,376
kɵʃ,20
ɵʃɪ,14
ʃɪr,126
ɪrɪ,892
rɪl,179
ɪle,2229
eje,830
ekt,297
kte,335
ten,331
enɑ,526
nɑl,527
ɑld,906
ldə,1435
dən,448
ənb,323
bol,2280
olʀ,874
ʀɑn,4486
ɑne,1001
ned,608
ɪbɑ,182
rɪɫ,360
ɪɫɡ,327
ɫɡe,756
ɡen,2242
nne,753
nen,613
ens,778
nso,659
soŋ,580
oŋj,64
ŋje,57
jɑʃ,567
ɑʃɑ,926
ʃɑl,25
ɑlt,108
ltɪ,15
tɪj,316
ɪje,440
jeɫ,59
eɫd,239
ɫdɪ,536
old,377
dəʃ,93
əʃɑ,172
eɫz,1
ɫze,1
erʊ,194
rʊb,5
ʊbɑ,7
bɑw,52
weɫ,3
əze,171
eɫɑ,20
ɫɑw,144
wɪx,2
