r-gram,Counts
bəj,245
əjy,201
jyn,201
ynn,1388
nnɛ,1800
nɛl,398
ɛls,3057
lsə,629
sən,1156
skɑ,672
kɑp,228
ɑpt,136
pta,587
ɡʉd,5613
hɪm,784
ɪmm,736
mme,1230
mel,1047
elə,1553
lən,1921
jɔr,2777
ɔrd,4365
rdə,1827
dən,2950
var,10997
øda,835
tum,38
mœr,223
œrk,690
rka,483
uvə,3450
vər,4223
stu,1591
tur,916
ura,1637
dyp,150
ʉds,1457
ɔnn,2187
svɛ,38
vɛv,24
ɛvd,135
vda,187
vɑn,1304
ɑnn,7265
nɛn,1026
ɛna,5799
bli,2240
lys,629
ble,2138
lev,3190
ysə,147
sət,547
ɡɔd,495
ɔdt,487
ʃɪl,180
ɪlt,302
lta,1506
frɑ,4507
rkə,1054
kət,2111
kɑl,1023
ɑlt,4300
daɡ,2645
han,11556
nɑt,371
ɑft,479
ftə,2695
tən,4555
mɔr,455
ɔrɡ,742
rɡə,357
ɡən,2129
fœr,1407
œrʃ,764
rʃt,2038
ʃta,584
vɛl,869
ɛlv,1072
lvɪ,57
vɪŋ,386
mɪd,469
ɪdt,489
den,8318
ska,11861
kal,10300
ɪll,2141
lla,6528
rda,2202
ɪŋə,2282
ŋən,2834
nnə,8934
nət,2413
sum,15372
ʉnn,3296
nər,5429
mmə,4100
məl,298
nən,2634
sɑm,1965
ɑml,637
mla,265
siɡ,3800
til,16724
ste,1655
ted,809
tœr,358
œrr,216
rra,1342
lɑn,3585
hɑd,2747
ɑda,2741
mlə,323
lət,1065
hav,493
bar,1885
ara,4123
frɛ,2348
rɛm,1797
ɡrɛ,260
rɛs,1215
ʉrt,301
rtə,698
tər,7051
sor,170
frʉ,455
rʉk,643
ʉkt,690
ktr,15
tra,817
rar,481
arə,1321
rər,2272
med,7212
der,2647
erə,3352
rəs,2755
frø,6
art,2151
ɛft,2578
sɪt,1618
ʃla,85
laɡ,674
ver,1197
trɛ,1341
rɛd,860
ɛdj,193
dja,212
əlv,14
lvə,324
vəl,122
aɡə,1368
ɑtə,846
tɛŋ,608
ɛŋn,569
fɑs,591
ɑst,1352
sts,157
tsɑ,117
sɑt,1006
ɑta,593
tid,1397
idə,947
dər,4884
ɡər,1873
ysa,41
stœ,399
rod,441
oda,828
mɪn,264
ɪnn,2579
nnr,2119
nra,1728
sʂa,2907
ʂar,2901
arn,5132
rnɛ,172
dɛm,6296
fja,133
jar,2259
ard,1999
vrɪ,39
rɪm,53
ɪml,109
liv,705
fʉɡ,152
ʉɡl,156
ɡlə,145
lər,4281
fly,445
lyv,57
yva,281
ʃød,17
ødy,4
dyr,494
evɛ,214
vɛn,1976
ɛnn,10834
nna,7205
rør,163
ørə,1192
ɑll,4743
ɪŋe,200
ŋed,74
eda,3977
lsɪ,340
sɪŋ,365
ɪŋn,488
ŋnə,543
ktb,58
tba,74
mɑŋ,659
ɑŋa,728
ɔpf,123
pfy,108
fyl,368
avə,661
vət,1326
ɡlɛ,158
lɛn,947
tɑl,1206
ɑlr,77
lri,230
rik,905
ika,994
fɛm,832
ɛmt,449
mta,160
ɛmɡ,25
mɡo,6
ves,62
ese,184
sen,208
enə,2585
kry,117
ryp,64
vɪl,857
feə,96
eət,189
əns,4487
jør,2620
øra,2454
mɛn,2774
nɛs,1170
ɛsk,837
skə,797
kər,2159
vɔr,946
ɔrt,140
bɪl,301
lle,713
led,2153
vor,978
lɪŋ,459
ŋnɛ,171
lsa,1166
fɪs,80
ɪsk,641
skɛ,184
kɛn,704
mɑn,1803
kvɪ,726
vɪn,1346
lɛɡ,761
edə,5191
jɛɪ,8914
jir,466
fɪn,476
nəs,2883
fød,184
fɔr,16104
ɔrɹ,1707
lɪv,250
ɪvs,151
vsɔ,24
sɔn,32
ɡrœ,61
rœn,155
œnn,1685
eta,680
jʊr,1061
ʊrt,3899
ora,479
ʃɛt,58
ɛta,2826
hel,1226
ela,1327
sin,4395
har,16040
fʉl,825
ʉll,1411
llɛ,357
nnt,2940
nta,1638
syv,592
yvɛ,172
ark,1039
rnɪ,807
nɪŋ,2038
hɛl,1726
ɛll,4646
lli,1063
liɡ,1906
iɡə,575
ɡət,2056
ɔrr,10243
dɛt,2595
hɪs,22
ɪst,1549
uri,39
ria,114
arr,8419
rrə,7244
rən,8434
nnʉ,511
mɑr,461
ɑrk,663
kən,1187
bʉs,173
ʉsk,123
vɔk,360
ɔks,474
ksə,248
ɪka,8951
lɑt,330
rɛŋ,736
ŋna,260
dɛr,1650
ɪnt,987
ntə,1039
tət,2390
yrk,326
teɡ,122
dɑm,20
ɑmp,90
uva,872
arf,1213
rfl,63
fla,10
lat,422
ata,457
dɑn,191
mʉl,98
blɔ,176
lɔs,45
ɔst,1276
sta,2694
ivɛ,56
vɛt,209
ɛts,1419
hɑn,4148
ɑns,4887
nes,160
esa,310
ʃel,369
plɑ,300
ɑnt,849
ava,272
œst,1174
stə,2804
lut,803
ksa,177
prɛ,1124
rɛk,152
ɛkt,755
kti,208
tiɡ,519
iɡa,2735
ɡud,380
uda,717
vən,619
vsə,35
tre,1445
reə,131
kʉn,1098
ʉns,238
nsk,564
kap,719
ʊnn,867
jɪk,1301
sid,886
dɛl,238
ɛlt,843
fir,620
ira,640
str,3628
trœ,251
rœm,204
œmm,572
mər,1847
het,668
etə,1226
pis,13
isu,23
sun,168
løp,125
øpə,89
pər,684
ɔmk,600
mkr,534
krɪ,1526
rɪŋ,1028
avi,877
vil,3392
ilɑ,27
vur,1079
ɡʉl,516
llə,4068
bdɛ,3
liʉ,55
iʉm,49
rna,3953
uny,13
nyk,12
yks,18
ten,824
skr,2283
krɔ,1303
rɔs,1302
trə,1420
rək,1244
ʃlɑ,443
lɑɡ,541
ɑɡs,161
llʉ,114
lʉk,386
ktɛ,74
tɛn,1960
ɡʉm,2
ʉmm,76
mmi,53
jih,6
ihu,40
hun,36
kʉs,132
hɪd,3
ɪde,38
dek,81
ekə,226
kəl,228
ɡor,597
stɛ,731
ɛnf,313
nfu,277
fur,3169
ɑss,482
ssʉ,98
sʉr,107
fra,307
rat,982
tuk,1063
ham,6136
ɔkt,195
kta,863
bød,220
frɪ,220
rɪt,184
men,5753
vɪs,770
ɪss,973
sse,78
sel,259
elɪ,1358
alɛ,382
mɛd,97
djɛ,8
jɛl,996
ɛlp,260
lik,1411
vad,1213
ɑpn,28
pnɪ,50
skʉ,1589
kʉl,1090
ɡav,1076
nɑv,883
ɑvn,935
fɑn,249
sœv,40
œvn,40
fɑl,1122
ɛns,1278
suv,76
rɪb,25
ɪbə,6
bən,462
ylt,146
ɪjə,817
jən,598
xœt,179
byɡ,785
yɡə,384
tɑt,380
hɛn,1729
nne,850
nel,403
ben,124
min,3740
ina,4914
mɪt,1293
hʉn,1676
ləs,507
nnɪ,492
nɪn,52
dar,1891
rfu,1165
ɔrl,839
rla,243
far,3029
mur,387
hus,885
hʉs,2693
ʉst,770
trʉ,634
xød,193
nɑk,191
ɑkn,24
kna,100
bod,510
ada,456
dam,97
blʉ,49
lʉe,2
ʉed,2
dəs,1932
lɑŋ,548
ɑŋə,497
lɪs,354
sti,480
iɡe,77
ɡer,385
era,2612
vɪr,118
ɪrk,101
rke,350
kel,287
sɑɡ,419
ɑɡt,796
nuɡ,2117
uɡə,2077
kan,1504
ktə,1222
ved,3157
vet,521
daʃ,1631
øin,754
ɔpn,174
pnə,103
ike,816
kes,769
esu,467
xɛn,733
yst,448
inɛ,44
ktɪ,158
ɔrʃ,1039
ʃtɑ,293
tɑn,740
bəɡ,398
əɡe,267
ɡes,65
hɛf,9
fik,68
ikɛ,90
ɛnb,41
nbl,4
bla,85
lad,334
ɑmm,2794
mən,1414
bɑn,374
ivə,406
hœr,833
œrt,1740
rta,3452
nrə,316
rət,1950
blɪ,743
lɪt,760
xøl,5
ølɪ,1
ʃʉl,261
ʉlt,289
osy,692
syn,1983
mɛl,638
ləm,1045
svɑ,960
vɑr,776
ɑrt,1040
diɡ,4594
rdi,1125
nak,93
akə,366
miɡ,4371
vɛm,621
ɔrb,451
rbø,8
dor,157
orə,372
rbɑ,226
blɑ,1010
din,4098
bʉk,249
ypa,226
stø,247
tøv,108
dɪt,1214
sɛt,893
fiɛ,431
iɛn,601
nns,356
knʉ,207
nʉs,175
ʉsa,947
hud,524
dɛn,1788
møi,55
øia,357
vɑŋ,162
ŋar,88
arʃ,1818
rʃk,601
ʃka,410
sma,163
mar,609
bɑr,2418
ɑrn,2330
ɑtr,96
tro,120
sto,801
lød,153
ʃyl,860
yll,1096
nar,1052
tɔr,495
ɔrn,621
rnə,449
tɪs,152
stl,80
tlə,88
rtɛ,234
nsɪ,210
sɪk,266
ɪkt,431
kts,183
sve,96
brø,537
rød,594
nti,275
tɪl,2185
ɪlb,1019
lba,887
bak,915
aka,1170
evɑ,137
xʊr,126
rtl,22
ʃɪn,122
kla,753
ɛkə,283
hɔn,1347
tar,1448
ɔɡs,1084
ɡso,1076
evə,895
evɪ,872
dre,480
rev,890
ran,399
xer,93
erʉ,1049
rʉb,239
ʉbɛ,47
bɛn,85
lʉɛ,15
ʉɛn,39
sva,892
hit,173
dit,188
vaɪ,937
aɪə,579
ɪən,312
hɔl,1473
ɔll,2026
llt,526
tsɔ,67
sɔm,150
ɔmm,3413
fœd,395
œdt,389
dta,419
kɑɪ,110
ɑɪn,24
fɔt,378
abə,279
bəl,338
bru,464
rur,493
for,463
ore,33
reh,89
ehy,5
hyr,112
yrd,287
rdy,10
ɡɔt,194
ɔff,1280
ffə,909
fər,874
ɡrø,96
ʃte,143
tef,161
efœ,138
lam,224
fɛt,87
meɡ,405
eɡə,723
vre,481
red,1571
stɪ,444
tɪr,37
ɪrr,37
ned,1409
ɔrf,1038
rʃu,496
ʃum,471
sɪn,193
lœf,349
œft,359
fta,450
lɪɡ,1424
ɪɡə,254
lʉr,56
dør,261
tor,459
ɛŋɑ,185
ŋɑŋ,185
ʉta,139
løs,403
ʃlu,404
jəl,283
pɑs,31
ssa,890
hør,1386
brɔ,75
rɔʃ,34
blu,421
lud,492
rup,300
upə,136
ɑnl,41
nly,34
mʉn,417
imu,882
mut,2890
nor,1452
mer,843
ɔmf,92
