r-gram,Counts
ibəj,31
bəjy,201
əjyn,201
jynn,82
ynnɛ,116
nnɛl,255
nɛls,481
ɛlsə,569
lsən,269
səns,245
ənsk,970
nskɑ,101
skɑp,164
kɑpt,94
ɑpta,41
ptaɡ,8
taɡʉ,139
aɡʉd,544
ɡʉdh,436
ʉdhɪ,2
dhɪm,16
hɪmm,691
ɪmme,610
mmel,796
melə,746
elən,994
lənu,395
ənuɡ,3712
nuɡj,520
uɡjɔ,309
ɡjɔr,236
jɔrd,2604
ɔrdə,1387
rdən,1471
dənu,467
dənv,106
ənva,337
nvar,1223
varø,5
arød,18
røda,191
ødau,140
dauɡ,1093
auɡt,501
uɡtu,273
ɡtum,21
tumu,25
umuɡ,359
muɡd,556
uɡde,2132
ɡdev,115
deva,759
evar,792
varm,524
armœ,10
rmœr,38
mœrk,233
œrka,118
rkau,87
kauv,137
auvə,791
uvər,3119
vərd,855
ərde,1482
rdes,422
dest,302
estu,60
stur,903
tura,465
urad,38
rady,24
adyp,19
dypu,5
ypuɡ,12
puɡɡ,25
uɡɡʉ,251
ɡɡʉd,189
ɡʉds,1955
ʉdsɔ,117
dsɔn,33
sɔnn,177
ɔnns,268
nnsv,4
nsvɛ,89
svɛv,6
vɛvd,8
ɛvda,108
vdau,16
dauv,106
vərv,111
ərvɑ,77
rvɑn,150
vɑnn,515
ɑnnɛ,336
nnɛn,754
nɛna,840
ɛnad,313
nadɑ,223
adɑs,275
dɑsɑ,713
ɑsɑɡ,12
sɑɡʉ,22
ɑɡʉd,121
ɡʉdd,251
ʉdde,77
ddeb,24
debl,286
ebli,85
blil,42
lily,7
ilys,37
lysu,32
ysuɡ,28
suɡd,301
ɡdeb,126
eble,179
blev,2128
levl,66
evly,5
vlys,12
suɡɡ,40
ʉdso,231
dsoa,13
soat,217
oatl,3
atly,6
tlys,62
lysə,139
ysət,68
sətv,23
ətva,304
tvar,646
varɡ,313
arɡɔ,104
rɡɔd,114
ɡɔdt,355
ɔdtu,74
dtuɡ,106
tuɡɡ,116
ɡʉdʃ,12
ʉdʃɪ,2
dʃɪl,5
ʃɪlt,73
ɪlta,189
ltal,70
taly,15
alys,87
sətf,43
ətfr,254
tfrɑ,899
frɑm,375
rɑmœ,6
ɑmœr,6
œrkə,243
rkət,233
kətu,305
ətuɡ,2195
ɡʉdk,49
ʉdkɑ,12
dkɑl,28
kɑlt,434
ɑlta,976
sətd,66
ətda,71
tdaɡ,22
daɡu,185
aɡuɡ,297
ɡuɡm,88
uɡmœ,25
ɡmœr,23
kətk,40
ətkɑ,14
tkɑl,32
ltah,217
taha,1313
ahan,1343
hann,125
annɑ,6
nnɑt,33
nɑtu,30
ɑtuɡ,88
tuɡd,932
levɑ,58
evɑf,11
vɑft,9
ɑftə,74
ftən,140
tənu,574
nuɡd,1284
levm,154
evmɔ,10
vmɔr,12
mɔrɡ,303
ɔrɡə,240
rɡən,220
ɡənf,165
ənfœ,35
nfœr,325
fœrʃ,631
œrʃt,745
rʃta,597
ʃtad,78
tada,220
adaɡ,748
ɡuɡɡ,37
ʉdsɑ,111
dsɑd,11
sɑde,113
ɑdeb,36
blie,32
lien,29
ienv,9
envɛ,148
nvɛl,165
vɛlv,38
ɛlvɪ,37
lvɪŋ,67
vɪŋm,1
ɪŋmɪ,2
ŋmɪd,1
mɪdt,423
ɪdti,171
dtiv,3
tivɑ,15
ivɑn,127
ɛnau,1444
nauɡ,2415
auɡd,1373
ɡden,888
dens,2055
ensk,262
nska,2243
skal,10231
kalʃ,165
alʃɪ,21
lʃɪl,10
ʃɪll,90
ɪlla,883
llav,257
lavɑ,33
avɑn,218
vɑnf,56
ɑnfr,36
nfrɑ,412
frɑv,115
rɑvɑ,5
ɑvɑn,23
vɑnu,99
ɑnuɡ,334
nuɡɡ,126
ɡʉdj,196
ʉdjɔ,15
djɔr,153
ɔrda,1540
rdav,287
davɛ,51
avɛl,101
vɪŋə,145
ɪŋən,1235
ŋənu,229
nuɡʃ,75
uɡʃɪ,38
ɡʃɪl,19
ltav,120
tavɑ,88
ɑnnə,2105
nnət,1585
nəts,284
ətsu,447
tsum,1107
sumɛ,1511
umɛr,1222
mɛrʉ,55
ɛrʉn,37
rʉnn,664
ʉnnə,993
nnər,3830
nərv,369
ərvɛ,146
rvɛl,110
ŋənf,159
ənfr,275
mɛru,24
ɛruv,60
ruvə,369
levs,196
evso,24
vsou,6
souɡ,99
