r-gram,Counts
ɡaf,1735
afa,10035
fakʼ,271
akʼa,12970
kʼar,3067
ara,8522
raf,1367
afi,718
fit,748
ite,1854
tew,1870
ewa,4023
wakʼ,11540
akʼɪ,4506
kʼɪl,228
ɪla,4662
laf,6790
faf,689
afɪ,5788
fɪɡ,1304
ɪɡu,5041
ɡub,1861
uba,7314
bau,229
aum,173
ume,211
meɡ,113
eɡa,2531
fas,784
asɪ,1806
sɪl,203
aft,1563
ftɪ,3205
tɪd,4550
ɪdu,6938
duw,459
uwa,1084
waf,7
afu,2621
ful,2915
ula,2682
laɪ,850
aɪn,1442
ɪnkʼ,831
nkʼa,1410
kʼab,4635
abd,1576
bdu,722
dua,815
uak,777
aka,18432
kaɪ,1088
ɪnd,1744
ndʒ,5792
dʒi,6773
ʒir,4807
irt,1137
rtu,1171
tua,1179
uam,999
amm,9464
mma,5222
mal,6248
all,7119
lle,5549
led,1310
edu,4681
duk,703
uka,1801
kan,9963
ant,2271
ntɪ,2443
ɪdi,2138
dim,213
imm,59
mmu,39
mub,117
ubɪ,1744
bɪs,1116
ɪsa,12781
san,15555
anɪ,48770
nɪɡ,6186
bad,2780
adʒ,7990
rtɪ,1085
tɪɪ,1169
ɪɪr,830
ɪrr,276
rre,1138
ren,1315
enɪ,8739
nɪw,10770
ɪwa,9628
kʼaɡ,586
aɡu,5030
ɡud,3719
udo,1500
don,443
onɪ,4596
nɪb,3757
ɪbɪ,634
ade,4532
ded,1045
ede,6580
dem,1696
emt,221
mtɪ,156
ɪdʒ,10497
dʒe,15338
ʒen,2878
enn,8965
nna,8943
nan,7482
kʼɪw,1001
wan,14351
and,6584
ʒed,8818
deɪ,319
eɪf,23
ɪfs,153
fsa,210
nɪh,5467
ɪha,5901
hat,2118
ata,11683
tah,2171
ahu,1558
hud,1471
udu,1240
dub,5929
baɪ,447
aɪf,68
nɪt,8689
ɪta,7366
ahe,2750
hew,195
kʼɪa,273
ɪak,5272
nɪs,4194
ɪsu,2580
sun,6535
unɪ,8893
nɪd,14733
ɪda,7473
dan,9162
ans,2679
nsa,2082
saa,1837
aar,1634
arɡ,4252
rɡe,1206
ɡeɪ,59
saf,1322
fɪd,2581
ana,20788
naɡ,1578
aɡa,9706
ɡar,6283
rɡa,3476
arɪ,2344
rɪb,429
ɪba,4522
bas,3676
ase,2315
sed,819
edʒ,4127
kʼɪɪ,146
ɪɪf,43
ɡuʔ,1865
uʔʔ,1866
ʔʔa,6297
ʔad,1283
hal,586
alk,361
lka,565
dea,1537
eak,2357
ɪɡa,5336
ɡal,4604
alɡ,145
lɡa,213
alɪ,912
lɪt,858
hed,1130
edi,782
dir,2736
ira,6106
ram,1454
amɪ,6364
mɪl,511
ɪle,1637
len,4919
hek,422
eku,208
kun,1267
uni,2852
nin,11430
inɪ,25928
ʔakʼ,275
rad,3432
dew,830
ewo,3519
won,2501
ont,2425
tɪb,1575
nɪf,2282
ɪfu,1802
ull,4206
lla,5028
lal,2268
ala,11407
lam,1762
ama,13237
mat,4815
atɪ,9947
tɪɡ,2172
asa,4131
sah,1010
aha,18165
tat,2560
atu,5704
tud,1021
baw,617
awa,5386
nsu,550
nɪm,4079
ɪmɪ,713
mɪd,2267
das,1139
sea,882
dʒɪ,3062
ʒɪr,1385
ɪra,3831
fɪk,1358
ɪka,7423
kad,3710
dʒa,10533
ʒal,1886
lad,1736
