r-gram,Counts
dar,20275
are,1562
reb,443
ebt,105
bte,84
ted,487
edɑ,2099
dɑx,1071
ɑxo,1009
xod,19512
odɑ,11343
dɑɑ,149
ɑɑs,104
ɑse,1467
sem,936
emɑ,2844
mɑn,5964
ɑnh,3337
nhɑ,3579
hɑv,1129
ɑva,13192
vaz,1525
aza,3230
zam,3520
ami,6166
min,5044
inr,966
nrɑ,7138
rɑɑ,735
ɑɑf,62
ɑfa,837
far,3952
ari,6367
rid,1430
idv,3806
dva,24749
azm,1475
zmi,615
int,567
nto,734
toh,184
ohi,41
hiv,47
iva,2300
vab,7102
abɑ,3008
bɑj,1260
ɑje,16765
jer,536
erb,181
rbu,480
bud,7411
udv,3399
vat,5539
atɑ,1738
tɑr,970
ɑri,1943
rik,718
iki,176
kib,106
iba,1749
bar,17370
arr,2127
rru,902
ruj,969
uje,1433
jel,378
elo,39
lod,67
odʒ,1013
dʒd,631
ʒdʒ,301
dʒe,1820
ʒev,50
eva,2899
var,5648
aru,1561
ruh,1006
uhx,1075
hxo,1362
dɑs,340
ɑsa,909
sat,494
ath,1262
thɑ,1517
hɑb,1138
ɑbh,376
bhɑ,552
hɑr,2673
ɑrɑ,5531
rɑf,897
ɑfo,137
for,683
oru,1387
ruɡ,78
uɡe,48
ɡer,1973
ere,3184
ref,1691
eft,1425
ftv,912
tva,6683
vax,2279
axo,1197
dɑɡ,214
ɑɡo,1219
ɡof,6028
oft,6659
ftr,151
tro,187
roʃ,162
oʃa,207
ʃan,1415
anɑ,3003
nɑi,271
ɑib,157
ibe,1285
beʃ,2094
eʃa,2584
ʃav,3240
ava,4048
vad,8200
adv,5189
aro,389
ɑiʃ,414
iʃo,718
ʃod,7827
odv,1942
dɑr,3280
ɑro,283
ɑir,153
irɑ,7170
rɑd,4849
ɑdi,1399
did,3029
idk,983
dke,4297
ken,3083
eni,2183
nik,2492
iku,717
kus,45
ust,558
stv,3085
rɑa,2652
ɑaz,3078
azt,954
ztɑ,103
kid,75
idʒ,708
dʒo,896
ʒod,124
ɑsɑ,867
sɑx,2112
ɑxt,2554
xtv,803
rɑr,1201
ɑru,696
ruz,2561
uzn,133
znɑ,96
nɑm,1634
ɑmi,5688
mid,2667
kir,87
rɑʃ,967
ɑʃa,3150
ʃab,699
abn,384
bnɑ,226
vaʃ,1826
aʃɑ,662
ʃɑm,266
ɑmb,474
mbu,294
vas,2524
aso,285
sob,173
obh,166
bhb,35
hbu,217
udr,220
dru,221
uzi,291
zia,226
iav,20
avv,476
vva,1093
val,1163
alv,158
lva,1038
ftf,35
tfa,189
fal,204
ala,1715
lak,517
aki,507
ibɑ,1643
bɑʃ,3718
ʃad,2374
add,1803
dda,2558
arm,5630
rmi,2282
miɑ,2762
iɑn,4183
ɑnɑ,2540
nɑb,710
vaɑ,2092
aɑb,129
azɑ,2715
zɑb,216
hɑd,1117
ɑdʒ,1708
dɑk,322
ɑko,468
kon,5108
ona,4245
nad,4560
dɑf,97
akr,305
krɑ,166
rɑb,11176
ɑbe,9454
bes,3095
esɑ,1567
tvɑ,243
vɑb,1021
hɑj,6677
jez,577
ezi,329
zir,5039
irf,31
rfa,575
jeb,1133
ebɑ,2458
bɑl,669
ɑlɑ,957
lɑj,491
jef,247
efa,803
akd,170
kdʒ,97
ɑka,1239
kar,7524
ard,17224
rdv,2478
atʃ,2313
tʃe,5688
ʃen,3552
nin,1898
inʃ,408
nʃo,1151
ɑnn,1493
nnɑ,464
zid,878
ido,190
dov,223
ovv,763
vvo,354
vom,345
omv,199
mva,3803
ftɑ,1348
tɑb,2390
rɑs,1754
ɑnd,5562
nda,3714
arj,823
rje,422
jek,2286
ekd,292
dʒɑ,5648
ʒɑd,274
dʒm,172
ʒma,63
maʔ,577
aʔʃ,23
ʔʃa,134
xoʃ,519
oʃk,204
ʃki,59
kiz,5
izɑ,426
zɑh,360
ɑhe,1837
her,509
erɡ,79
rɡa,926
ɡar,5906
rda,4402
dad,760
rɑz,996
ɑza,1540
inn,413
vae,755
aed,65
edʒ,3605
dʒt,242
ʒte,204
tem,783
mɑʔ,609
ɑʔɑ,70
ʔɑb,12
ɑdr,228
dri,117
riɑ,1181
dɑd,3334
axa,509
xad,246
adɑ,2822
ɑɡa,365
ɡaf,139
afa,1945
fat,883
atz,191
tza,276
nna,1484
nab,1387
bɑt,825
ɑtɑ,918
tɑt,315
ɑtb,321
tba,1237
arv,2078
rvi,36
viɑ,46
ɑna,7725
ada,6146
dal,295
laf,218
afi,215
fik,33
ike,6941
ket,1707
eto,1816
tox,435
oxm,63
xmb,9
mbi,139
biɑ,1260
iɑv,874
ɑvr,242
vrd,4
rdu,354
dud,356
ude,2038
der,1120
era,1936
rax,710
axt,912
xtm,67
tmi,1147
miv,253
ive,293
vei,5
eik,299
kem,2538
emo,1443
mov,491
ovɑ,550
vɑf,430
ɑfe,795
feq,399
eqd,55
qdʒ,25
ʒen,61
ens,800
nsx,4
sxo,357
odm,577
dmi,1019
veɑ,20
eɑv,227
dak,364
ake,1423
xma,21
maʃ,925
aʃd,492
ʃda,335
arɑ,18686
rɑn,10219
ɑnb,4386
nbɑ,1255
adb,2408
dba,3018
eza,1603
inv,495
nva,4668
ɑtr,212
trɑ,1299
ujɑ,331
jɑn,1231
ɑni,7885
nid,4359
ida,3798
odt,486
dto,504
xmɑ,15
mɑv,799
ade,1713
ved,1169
ɑnm,3107
nmo,957
odb,1283
dbɑ,954
zis,139
ise,169
sev,211
evv,163
ftn,205
tna,1276
naj,516
ajj,838
jje,127
erh,46
rhɑ,1948
ɑda,6762
arf,566
akɑ,998
kɑs,80
and,31093
ndt,1624
dtɑ,2273
uzr,82
zrɑ,391
azʃ,670
zʃa,354
abd,280
bdʒ,150
nan,2868
ndv,7595
aba,4770
rɑj,5929
jeɑ,956
eɑi,76
ɑiɑ,1248
iɑt,427
ɑtv,225
amɑ,8802
ɑvo,134
vor,59
