r-gram,Counts
pɔt,2966
ɔtʃ,2631
tʃɔ,1252
ʃɔn,1268
ɔnt,7765
ntk,339
tku,878
stf,2493
tfɔ,4696
fɔʒ,419
ɔʒɨ,1593
ʒɨw,1143
buk,1140
ɲʲɛb,1048
ɛbɔ,180
ʑɛmʲ,1047
ɛmʲɛ,614
ɛmʲa,419
bɨw,4730
ɨwa,972
ɲʲɛk,338
ɛkʃ,6
kʃt,80
ʃta,97
taw,1694
awt,256
wtɔ,81
tɔv,869
ɔvn,128
vna,90
pru,286
ruʒ,246
uʒn,185
ʒna,32
tɕɛ,12410
ɕɛm,374
ɛmn,623
mnɔ,351
nɔʑ,100
ɔʑd,336
ʑdʑ,759
nat,2769
pʃɛ,10392
ʃɛp,362
ɛpa,130
paɕ,91
aɕt,392
ɕtɕ,10887
tɕɔ̃,694
duɣ,50
bɔʒ,1801
una,98
naʃ,1157
aʃa,750
ʃaw,588
nad,920
vɔd,919
ɔda,769
dam,790
ami,3030
ʒɛɡ,1075
ɛɡw,978
ɲʲɛɣ,502
bɛɲ,4574
ɛɲd,5045
ɲdʑ,5490
dʑɛ,13220
ɕfʲa,920
fʲat,717
atw,256
twɔ,211
wɔɕ,1062
ɔɕt,5015
sta,7337
awa,1515
vid,2085
idʑ,2217
dʑa,2764
ʑaw,1639
wɔʑ,69
dɔb,1620
ɔbr,1610
bra,2749
utʃ,3300
tʃɨ,9879
ʃɨɲ,2817
ɨɲi,2836
ɲiw,1675
rɔz,1607
ɔzd,406
zdʑ,118
mʲɛn,1102
ɛnd,4080
ndʑ,2387
dʑɨ,1462
nɔɕ,1584
naz,633
azv,203
zva,529
vaw,2589
dɲʲɛ,942
ɲʲɛm,1750
nɔt,591
ɔts,2256
tsɔ̃,499
vʲɛt,1209
ɛtʃ,4170
tʃu,336
ʃur,74
zar,515
ara,1729
ran,607
anɛ,1644
nɛɡ,2087
ʑɛɲ,862
pʲɛr,845
ɛrʃ,313
rʃɨ,272
ɔtɛ,1119
tɛm,3270
rɔs,1932
ɔsp,484
spɔ,978
pɔs,2015
ɔst,2733
tar,862
art,515
rtɕ,404
pɔɕ,1282
ɔɕr,515
ɕrɔ,371
rɔt,1115
ɔtk,783
vut,101
ʑɛl,803
ɛli,2679
ɔdɨ,722
tɛʃ,1125
ktu,10929
tur,8418
urɛ,3800
awɔ,2033
tak,2210
ɛbɛ,205
bɛm,152
ftu,160
urɨ,4054
ɲʲɛx,1100
zbj,237
bjɔ,474
jɔr,342
ɔrɔ̃,54
jɛd,1978
ɛdn,1214
dnɔ,414
mʲɛj,830
ɛjs,1020
jst,800
sts,2013
tsɛ,5159
ɔka,624
kaʒ,1504
aʒɛ,712
sux,110
uxɛ,108
ɛmʲɔ̃,74
zɛb,239
ɛbr,662
raɲʲ,236
aɲʲɛ,2359
mɔʒ,879
ɔʒɛ,2037
ʒɛm,880
buɡ,317
ɨwɔ,1219
brɛ,422
zrɔ,210
rɔd,2248
ɔdʑ,4305
dʑi,5104
tra,1317
rav,2346
avɛ,507
ɛlɛ,1560
vɨd,298
ɨda,404
dav,1672
ava,1166
vaj,760
ajɔ,1650
jɔn,3036
nts,7362
naɕ,731
aɕɛ,553
ɕɛɲʲ,361
ɛɲʲɛ,1987
dʒɛ,539
ʒɛv,334
ɛvɔ,385
ʑaj,338
ajn,52
jnɛ,186
ʃɨɲʲ,1218
ɨɲʲɔ,272
ɲʲɔn,620
