r-gram,Counts
napɔt,93
apɔtʃ,103
pɔtʃɔ,261
ɔtʃɔn,126
tʃɔnt,213
ʃɔntk,80
ɔntku,105
ntkus,12
tkust,12
kustf,4
ustfɔ,122
stfɔʒ,133
tfɔʒɨ,209
fɔʒɨw,181
ɔʒɨwb,17
ʒɨwbu,10
ɨwbuk,17
wbukɲʲ,9
bukɲʲɛ,42
ukɲʲɛb,10
kɲʲɛbɔ,1
ɲʲɛbɔi,38
ɛbɔiʑ,21
bɔiʑɛ,21
ɔiʑɛmʲ,28
iʑɛmʲɛ,92
ʑɛmʲɛa,82
ɛmʲɛaʑ,3
mʲɛaʑɛ,3
ɛaʑɛmʲ,10
aʑɛmʲa,128
ʑɛmʲab,13
ɛmʲabɨ,2
mʲabɨw,2
abɨwa,318
bɨwaɲʲ,25
ɨwaɲʲɛ,32
waɲʲɛk,7
aɲʲɛkʃ,1
ɲʲɛkʃt,1
ɛkʃta,6
kʃtaw,80
ʃtawt,78
tawtɔ,24
awtɔv,69
wtɔvn,42
tɔvna,2
ɔvnai,1
vnaip,1
naipr,4
aipru,2
ipruʒ,14
pruʒn,126
ruʒna,8
uʒnai,1
ʒnait,1
naitɕ,5
aitɕɛ,8
itɕɛm,45
tɕɛmn,184
ɕɛmnɔ,155
ɛmnɔʑ,10
mnɔʑd,12
nɔʑdʑ,90
ɔʑdʑb,80
ʑdʑbɨ,16
dʑbɨw,67
ʑbɨwa,27
bɨwan,60
ɨwana,65
wanat,43
anatp,14
natpʃ,21
atpʃɛ,32
tpʃɛp,16
pʃɛpa,112
ʃɛpaɕ,42
ɛpaɕt,44
paɕtɕ,70
aɕtɕɔ̃,6
ɕtɕɔ̃a,40
tɕɔ̃ad,4
ɕɔ̃adu,1
ɔ̃aduɣ,1
aduɣb,4
duɣbɔ,23
uɣbɔʒ,18
ɣbɔʒɨ,27
bɔʒɨu,2
ɔʒɨun,1
ʒɨuna,1
ɨunaʃ,1
unaʃa,3
naʃaw,7
aʃawɕ,1
ʃawɕɛ,12
awɕɛn,15
wɕɛna,38
ɕɛnad,87
ɛnadv,31
nadvɔ,73
advɔd,18
dvɔda,11
vɔdam,26
ɔdami,109
damii,18
amiiʒ,18
miiʒɛ,44
iiʒɛɡ,40
iʒɛɡw,363
ʒɛɡwb,109
ɛɡwbu,37
ɡwbuk,20
ukɲʲɛɣ,5
kɲʲɛɣb,8
ɲʲɛɣbɛ,245
ɛɣbɛɲ,193
ɣbɛɲd,248
bɛɲdʑ,4555
ɛɲdʑɛ,4819
ɲdʑɛɕ,274
dʑɛɕfʲ,29
ʑɛɕfʲa,8
ɛɕfʲat,70
ɕfʲatw,186
fʲatwɔ,171
atwɔɕ,145
twɔɕt,145
wɔɕtɕ,627
ɔɕtɕi,2617
ɕtɕis,358
tɕist,31
ɕista,18
istaw,425
stawa,160
tawaɕ,31
awaɕɛ,94
waɕɛɕ,3
aɕɛɕfʲ,1
ɕɛɕfʲa,14
ɕtɕiv,169
tɕivi,37
ɕivid,11
ividʑ,157
vidʑa,387
idʑaw,361
dʑawb,61
ʑawbu,10
awbuk,71
wbukɕ,2
bukɕfʲ,9
ukɕfʲa,7
kɕfʲat,34
atwɔʑ,14
twɔʑd,14
wɔʑdʑ,67
ɔʑdʑʒ,9
ʑdʑʒɛ,7
dʑʒɛb,13
ʑʒɛbɨ,10
ʒɛbɨw,50
ɛbɨwa,84
bɨwad,37
ɨwadɔ,10
wadɔb,8
adɔbr,74
dɔbra,136
ɔbrai,5
braiu,1
raiut,2
aiutʃ,21
iutʃɨ,340
utʃɨɲ,1547
tʃɨɲi,2490
ʃɨɲiw,1205
ɨɲiwb,46
ɲiwbu,13
iwbuk,36
wbukr,6
bukrɔ,12
ukrɔz,11
krɔzd,3
rɔzdʑ,102
ɔzdʑa,8
zdʑaw,10
dʑawmʲ,12
ʑawmʲɛ,9
awmʲɛn,41
wmʲɛnd,74
mʲɛndʑ,1078
ɛndʑɨ,1130
ndʑɨɕ,16
dʑɨɕfʲ,3
ʑɨɕfʲa,2
ɨɕfʲat,36
ɔɕtɕɔ̃,440
ɕtɕɔ̃i,51
tɕɔ̃imʲ,3
ɕɔ̃imʲɛ,2
ɔ̃imʲɛn,47
imʲɛnd,242
ndʑɨt,84
dʑɨtɕ,9
ʑɨtɕɛ,9
ɨtɕɛm,38
ɛmnɔɕ,145
mnɔɕt,150
nɔɕtɕ,1277
tɕɔ̃in,2
ɕɔ̃ina,2
