r-gram,Counts
laɨ,339
aɨn,2367
ɨnt,7685
ntʃ,1844
tʃe,13506
ʃep,576
epu,472
put,956
utd,295
tdu,203
dum,2137
umn,2166
mne,2584
nez,2160
eze,2649
zeʊ,1325
eʊa,272
ʊaf,44
afə,648
fək,1157
əku,2092
kut,2320
utt,197
ttʃ,632
ʃeɾ,510
eɾu,636
ɾur,162
uri,1161
ril,1087
ile,3178
leʃ,762
eʃi,3126
ʃip,1259
ipə,158
pəm,779
əmɨ,1411
mɨn,2947
ntu,1291
tul,4329
ulp,589
lpə,69
ulj,464
lje,693
jeɾ,1921
eɾa,1329
ɾap,158
apu,825
pus,1197
ust,527
sti,329
tiʊ,98
iʊʃ,64
ʊʃi,496
ʃiɡ,126
iɡo,50
ɡol,69
olp,7
lpe,483
pes,846
est,5228
ste,4508
tef,352
efa,546
fat,1368
ats,1827
tsa,2160
saa,473
aad,486
adɨ,94
dɨn,223
ɨnk,2028
nku,287
kul,1865
ulu,5005
luɪ,13404
uɪd,1683
ɪde,788
dea,1926
eap,1332
ape,1448
pej,308
eje,2144
ɾaɨ,197
tun,1101
une,1249
neɾ,175
eɾe,1588
ɾek,561
ekʃ,31
kʃi,243
ʃid,1135
idu,341
duh,306
uhu,245
hul,256
ull,1447
llu,2164
ɪdu,815
eʊs,269
ʊse,35
sem,583
emi,811
miʃ,62
iʃk,28
ʃka,39
kap,660
ped,659
ede,2909
eas,2523
asu,772
sup,528
upr,492
pra,417
raa,207
aap,351
pel,337
elo,1274
lor,4150
ord,705
rdu,215
ʊaz,75
azi,1812
zis,1786
iss,134
ssə,193
səf,872
əfi,740
fie,674
iel,78
elu,2175
lum,361
umi,657
min,1556
inə,454
nəʃʲ,9
əʃʲa,103
ʃʲaf,129
afo,580
fos,762
ost,1464
stl,40
tlu,337
nəd,305
ədu,442
ʊav,58
avə,318
vəz,446
əzu,499
zut,575
utk,262
tkə,358
kəl,454
əlu,496
ina,1220
naj,90
aje,1606
ɾab,125
abu,193
bun,475
unə,679
nəʃ,132
əʃi,1389
ʊad,123
ade,1678
des,1409
esp,581
spə,297
pər,302
ərt,463
rts,277
tsi,2962
sit,655
itl,398
nad,391
deɨ,233
eɨn,2767
ekd,16
kdu,29
ʊan,7
anu,810
num,1322
mit,699
naz,93
zij,11
ija,305
jar,543
arɨ,252
rɨn,727
eku,1698
lla,218
lan,233
itn,131
tnɔ,12
nɔa,609
ɔap,459
apt,818
pte,753
tea,4008
ast,2064
stf,412
tfe,537
fel,544
ela,2994
laf,330
sto,476
tos,323
ose,120
sea,884
eaɾ,349
aɾə,1012
ɾəʃ,347
ʃia,1608
iap,199
apo,1021
poj,540
oja,597
jaf,263
tod,66
odi,172
dim,173
imi,884
ine,3433
nea,1776
eat,1854
tsə,1866
səa,477
əat,215
atʃ,5104
ʃea,2190
sta,1618
taa,291
aaf,168
stz,10
tzi,97
ziw,464
iwa,464
waɨ,45
ntɨ,729
tɨi,289
ɨid,35
ieo,37
eoɨ,24
oɨn,149
nti,428
tin,979
ind,689
nde,1020
deɾ,223
ɾeɨ,402
ntr,3590
tre,2246
rea,711
peʃ,118
ʃij,841
jas,599
asə,2250
səd,506
əde,1556
spa,130
par,584
art,1633
rtə,229
təa,248
əap,98
ele,5656
led,1591
edu,766
itɨ,531
tɨn,1832
ɾea,2966
ʃer,481
era,113
ras,130
waa,222
ado,1154
doʊ,209
oʊa,134
ʊaa,35
aas,247
aat,843
atr,810
rei,115
eia,150
iad,252
adu,1635
eʊi,28
ʊia,30
iaa,121
aaʃ,182
aʃe,268
ʃez,309
eza,228
zat,153
atɨ,860
ɨnɨ,94
nɨn,429
eru,367
rul,2451
uɪk,735
ɪka,536
kas,2238
səl,754
zep,25
epə,714
uls,1033
lsə,816
səs,945
əst,297
stə,718
təp,610
əpɨ,367
pɨn,1209
ɨne,416
ask,1919
skə,1181
kəz,138
əzi,228
waʃ,35
aʃi,2072
ʃin,2578
inɔ,72
eaʃ,642
ʃis,2002
isə,756
təl,694
luk,923
ukr,942
kru,718
ula,2063
lat,1746
ʃes,1742
taj,312
una,704
nas,332
apa,223
pat,609
tra,514
tʃi,4987
int,4722
ead,1517
utf,67
tfj,30
fja,82
jaɾ,258
aɾe,6423
ɾel,882
lep,1023
dup,1152
upə,1289
pəs,187
əso,36
soi,9
oiʊ,33
iʊl,1461
ʊll,822
llo,237
orv,182
rvi,88
vit,658
ite,534
tel,1931
orʃ,556
rʃi,1001
ʃit,2075
itɔ,306
tɔa,1820
ɔat,1535
ate,2601
tet,786
etɨ,36
tɨɾ,17
ɨɾɨ,74
ɾɨt,422
ɨtɔ,12
ɔaɾ,1490
kəj,404
əje,825
ɾaʊ,232
aʊb,71
ʊbu,10
ned,586
utp,435
tpe,1393
peo,158
eom,266
omd,66
mdu,67
pək,574
əki,17
kip,108
ipu,170
pul,499
səʊ,675
əʊl,87
ʊla,192
eʊp,136
ʊpa,20
rte,1121
teb,220
ebə,157
bər,220
ərb,247
rbə,157
bət,419
əte,701
kəʃ,217
ipa,174
efe,240
fem,305
eme,1221
mej,266
eja,734
kəi,153
əia,46
iaf,93
utʃ,1364
isj,208
sja,420
jat,1615
atə,2711
tək,634
əkə,654
kəv,255
əva,247
vam,275
amd,183
mda,133
dat,1162
ato,487
toɾʲ,137
oɾʲt,304
ɾʲtʃ,304
ʃej,373
arb,77
bək,47
əka,894
kaɾ,2863
ɾef,175
esə,1166
səm,651
nts,2125
səʃ,232
ʃik,1025
ika,774
ɾej,473
jes,2840
tep,959
epe,1823
pef,337
saɨ,479
reɡ,203
eɡu,104
ɡul,174
uɪp,613
ɪpə,99
ʃio,275
ioɾʲ,58
epo,560
pom,63
omk,92
mka,139
ɨnj,544
nje,766
jel,2834
elr,98
lro,46
rod,115
odk,14
dku,51
kus,399
usə,107
tas,476
ieh,7
ehr,56
hra,57
ran,154
ana,758
nav,173
avɔ,76
vɔa,211
ɔas,664
str,1845
trə,847
rəd,118
ʊsa,76
sau,85
auɪ,50
uɪt,898
ɪta,313
tat,2538
atl,322
tla,586
tot,1383
ott,364
ʃef,182
efə,348
use,921
seʃ,329
aʊf,285
ʊfɔ,5
fɔa,179
ɔar,764
ebu,492
aʃa,749
ʃas,158
ase,1186
eaa,866
laʊ,452
ʊfo,81
sts,84
tsf,44
sfɨ,378
fɨr,88
ɨrʃ,197
etʃ,2503
ulʃ,635
lʃi,1188
təo,64
əoʃ,29
oʃt,573
ʃti,689
tiɾ,189
iɾe,1514
eal,1945
alo,657
orɨ,324
ɨnz,443
nzi,439
ʃap,215
eʊʃʲ,14
ʊʃʲa,39
ʃʲas,117
asf,196
kra,144
raɾ,133
pek,1219
eka,2755
ɾeo,205
eof,57
ofə,55
ʃiɨ,700
iɨn,792
asa,1262
sao,47
aod,44
dih,76
ihn,70
hni,36
nit,2466
itd,717
tde,1315
det,813
etɔ,240
alu,2553
ɪpe,532
sed,520
ʊab,30
abi,380
bin,585
nek,870
kuv,1059
uvɨ,648
vɨn,835
nta,703
atz,44
eaʃʲ,34
aʃʲa,171
sfi,214
fin,238
ito,946
top,95
ope,338
pen,2075
ent,1977
tru,3112
ruk,669
ukə,718
kəɨ,339
əɨn,1285
eoz,20
ozi,93
zid,339
idi,620
dis,88
ise,1609
iof,13
sej,100
təi,76
əis,124
ist,904
toɾ,438
oɾj,52
ɾja,333
ilo,2163
orʃʲ,44
rʃʲa,78
ʃʲap,178
apə,737
ɪkɨ,163
kɨn,1978
ɨnd,2981
nda,659
daʊ,214
tfə,233
ute,1102
teɨ,754
wak,83
akɨ,247
daf,63
tdo,302
dom,3941
omn,3901
mnu,3725
nul,5139
uld,1633
ldu,476
eʊu,13
ʊun,67
unp,276
npə,128
itʃ,3289
ɾurʲ,113
urʲn,32
rʲnu,12
nuj,385
uje,876
nkə,524
kəp,916
əpe,1162
pep,385
ntn,76
tni,203
itʃʲ,965
tʃʲu,109
ʃʲun,93
unk,678
nko,332
kop,816
opə,40
pət,518
ətʃ,1185
ʃel,2561
eld,468
lde,672
dek,1076
ekɨ,869
kɨm,194
ɨmp,3288
mpʃ,14
pʃi,39
ini,1016
tʃʲo,103
ʃʲoj,2
bəd,39
dep,1132
mpn,3
pnu,11
nuɨ,59
uɨn,214
kol,537
olt,33
lts,543
tse,1176
eaɨ,626
kəf,138
fiɪ,615
iɪn,415
ɪnd,169
ndk,236
dkə,210
kəd,575
ədo,237
eʊn,135
ʊnu,235
nud,86
udə,113
