r-gram,Counts
ɨnt,14033
ntʃ,2396
tʃe,31244
ʃep,608
epu,430
put,1961
dum,4805
umn,4816
mne,5631
nez,4828
eze,5971
zeʊ,2785
fək,2316
əku,2471
kut,3588
ʃeɾ,1026
eɾu,1341
ɾur,326
uri,2820
ril,2636
ile,6707
pəm,1376
əmɨ,2703
mɨn,5622
ntu,2339
tul,8242
jeɾ,4102
eɾa,2819
pus,2384
ust,909
sti,683
tiʊ,235
ɡol,126
pes,1372
est,9847
ste,9088
fat,2966
ats,2827
tsa,4401
adɨ,139
dɨn,165
ɨnk,2576
nku,96
kul,3473
ulu,9855
luɪ,26244
ape,825
tun,1397
une,2472
neɾ,345
eɾe,3115
ɾek,341
duh,635
uhu,494
hul,502
miʃ,107
iʃk,43
ʃka,41
dea,2139
eas,3252
asu,1115
sup,1139
upr,749
pra,881
pel,470
elo,1660
lor,10234
zis,3641
fie,1448
lum,616
umi,592
min,3406
inə,906
fos,1689
ost,3296
vəz,807
əzu,947
zut,1095
ina,1752
bun,996
unə,1532
des,1637
esp,694
spə,526
pər,615
ərt,987
rts,488
tsi,6848
sit,1226
num,2189
mit,1362
jar,1090
eku,1178
nɔa,1207
ɔap,950
apt,1931
pte,1822
ast,3825
stf,704
tfe,1056
fel,1193
sea,820
eaɾ,201
aɾə,2217
apo,1145
poj,1078
dim,329
imi,1666
ine,6668
nea,3019
eat,596
tsə,2494
atʃ,8420
ʃea,3338
sta,3245
ziw,1028
iwa,1028
ntɨ,1194
tɨi,591
nti,533
tin,2130
ind,1073
nde,1765
deɾ,464
ntr,8101
tre,5644
spa,193
par,1230
art,2931
rtə,344
ele,11325
ɾea,4431
sɨn,2761
ded,204
ede,1634
esu,130
upt,736
ptu,731
eɾi,1525
ɾiɪ,2463
aʃa,1549
ʃer,871
doʊ,565
oʊa,227
str,4391
trɨ,909
rɨŋ,259
ɨŋɡ,1283
ŋɡə,790
lok,3295
eru,426
rul,4711
aɾa,2372
ɾat,4451
ate,5619
usk,121
ska,606
kat,2635
atu,4093
ɡrə,313
rəm,1047
əma,360
mad,113
ada,501
luk,2158
ukr,2143
kru,1679
ʃes,2859
ver,92
erd,616
rde,530
arb,118
rbə,339
səm,461
nts,3290
fak,851
akə,2756
rod,222
dup,2503
upə,2528
soi,28
oiʊ,81
iʊl,2513
aɪb,147
ɪbə,147
jeɪ,3219
dat,2127
rei,318
eia,81
niʃ,781
iʃt,799
ʃte,4971
sem,1015
emn,888
vre,1514
remʲ,25
emʲi,25
mʲil,344
zil,760
lel,599
ani,155
niɪ,2068
slu,1134
luʒ,991
uʒe,197
ʒea,780
ask,3118
skə,2309
ʃeɪ,3001
doj,569
anu,783
ume,1411
nət,384
əto,844
tor,1888
oru,2317
ʃel,4966
maɪ,4019
maɾ,1870
aɾe,13424
stə,1426
təp,586
əpɨ,609
pɨn,2648
ɨne,783
mik,675
tea,6490
tel,2748
aʃe,389
ʃez,469
eza,379
zat,263
pat,1467
atr,891
tra,1015
iʃu,162
ʃun,1007
vje,309
jet,700
ets,1196
tsw,214
swi,358
wit,1466
itɔ,337
tɔa,4194
ɔaɾ,3172
sbɔ,19
bɔa,328
peʃ,139
eʃt,3436
ʃti,1569
tiɪ,431
ɔat,3610
ɾel,1242
ʃkə,25
iʊr,31
ʊri,45
oɾʲt,657
ɾʲtʃ,657
pas,126
asə,929
səɾ,860
əɾe,557
ɨna,3848
naɾ,435
aɾi,565
ɾip,24
ipa,122
atə,5374
ɾaʊ,926
lea,2749
bin,1194
nek,1066
kuv,1726
uvɨ,1073
vɨn,1417
nta,823
tat,4254
məɾʲ,32
əɾʲi,476
ɾʲil,1861
ilo,4972
ɨnm,89
nmu,78
mul,3195
ult,2037
lts,1068
tse,2281
pəs,350
əsə,348
səɾʲ,135
tʃi,7894
ʃin,3786
int,9321
vit,1367
ite,996
tɨɾ,77
ɨɾɨ,169
ɾɨt,827
ɨtɔ,33
fja,195
jaɾ,575
ʃem,236
kip,279
ipu,156
pul,1000
nos,872
tru,7452
ase,2187
emə,84
mən,597
əna,123
ɔas,1871
trə,1814
jel,5508
məɾ,825
əɾi,1931
tot,2869
səʊ,1083
rte,2242
bər,526
ərb,638
bət,887
əte,670
fem,587
eme,1831
mej,374
eja,636
jas,474
kaɾ,6059
jat,3043
vam,217
jes,5117
reɡ,419
eɡu,155
ɡul,357
pom,122
hra,118
ran,201
ana,775
vɔa,923
tut,788
utu,992
tuɾ,1332
uɾo,398
ɾor,445
etə,680
tət,1159
ətsʲ,500
tsʲi,2155
sʲil,2115
suf,704
ufl,560
fla,305
laɾ,164
vja,685
eam,1956
anə,219
rba,570
uɪt,363
ɪta,224
kus,432
use,1008
fɔa,377
ɔar,1631
ʃas,334
sfɨ,872
fɨr,171
ɨrʃ,445
rʃi,381
ʃit,1780
oʃt,1433
tiɾ,375
iɾe,3147
ʃap,702
kra,321
raɾ,275
odi,332
dih,182
ihn,166
hni,58
nit,5260
sfi,346
fin,395
pen,4623
ent,4633
ruk,982
ukə,1231
zid,580
idi,879
dis,169
ise,2063
ist,1285
sto,970
toɾ,1116
oɾj,103
ɾja,603
kɨn,3805
ɨnd,5954
ute,1906
dom,8290
omn,8136
mnu,7678
nul,10165
ɾurʲ,290
nkə,748
itʃʲ,2289
kop,1927
opə,37
pət,622
ətʃ,1053
kɨm,356
ɨmp,7335
nko,304
kol,1094
olt,75
fiɪ,1396
iɪn,544
ɪnd,397
ndk,368
dkə,368
dəd,168
ədu,387
dus,1352
plɔ,107
lɔa,261
ɔaj,213
aje,158
kre,1358
rez,706
abu,201
bur,57
rid,675
dik,675
ika,825
uda,1055
din,9591
əɾɨ,703
ɾɨn,240
lat,1077
omu,1022
fle,462
let,634
viʊ,141
səd,110
ədi,186
dit,511
rəd,161
den,151
spr,2003
pre,4705
rəs,1960
ɾit,1770
ako,1551
olo,1387
kar,1264
are,559
rel,786
nto,562
tok,246
okm,197
kmi,52
mis,205
əsa,445
saɾ,1744
elu,1431
lul,871
ved,632
nka,1297
siɪ,2927
miʒ,798
iʒl,798
ʒlo,783
oku,2068
ini,1755
kun,967
uno,534
noʃ,320
seɪ,954
nel,1020
rəʊ,807
əʊl,132
ʊlu,178
rɨu,432
jeʃ,1044
eʃe,188
mpə,3807
fət,446
bra,262
rat,1542
mel,2005
pis,83
iso,56
son,64
kon,181
onʒ,125
nʒɔ,42
ʒɔa,50
hav,21
avi,1128
vil,21
ila,235
und,1031
ɡəs,550
əse,218
seʃ,245
aur,509
uru,358
bed,94
del,2301
elj,354
ljo,21
jon,367
pja,493
oni,371
nik,797
iks,25
ɨul,237
doɪ,99
oɪl,110
ɪle,1328
ɡih,6
iho,109
hon,109
kuʃ,32
reɪ,735
eɪl,421
hid,5
ide,262
dek,1393
eke,123
kel,28
kur,905
urd,273
rdʒ,1154
dʒe,3217
itu,549
asi,173
siɾ,490
iɾi,726
ɾie,327
ieɪ,1007
ule,468
euf,27
ufr,27
fra,1148
lwa,1326
wat,1024
enu,177
pəz,327
əze,543
zea,145
poɾ,1179
oɾu,1252
ɾun,1676
unk,873
ənɨ,382
nɨn,421
ntʃʲ,1604
plə,472
lət,504
dar,3299
kət,4176
ətʃʲ,3210
veɪ,1291
mur,703
neɡ,189
eɡr,110
ɡre,325
reʃ,211
eʃi,594
siŋ,357
iŋɡ,431
ŋɡu,390
ɡur,365
səɪ,1104
aʒu,930
ʒut,270
uto,175
pot,1931
otr,1614
tri,3243
riv,2063
ivi,404
mpu,278
adu,2174
vad,176
adə,599
kum,2642
mea,2331
əde,612
fje,757
jek,706
ekə,410
kəɾ,608
ɾeɪ,164
ela,2557
əsi,689
itʃ,5345
tʃu,1119
ive,243
vea,1163
unt,3039
rim,1337
ime,1895
mes,709
som,45
ado,174
dor,129
orm,276
rmi,149
una,1112
kɔa,783
nki,513
kis,258
arn,462
rne,379
was,54
eje,261
eɪa,1222
sel,1652
numʲ,34
umʲi,34
ʃee,185
eea,185
ləs,393
təl,1025
mam,558
ama,900
lipʲ,14
ipʲi,94
nev,992
