r-gram,Counts
nat,803
atʃʲ,1040
tʃʲɑ,2657
ʃʲɑɭʲ,186
ɑɭʲi,685
sʌt,418
ʌtv,431
tvʌ,6723
vʌrʲ,3997
ʌrʲi,3347
rʲiɭ,1149
bok,1740
nʲeb,295
ebʌ,199
ʑem,1645
emɭʲ,1647
mɭʲu,823
ʑim,1431
imɭʲ,1565
mɭʲɑ,388
byɭ,2697
yɭɑ,728
bʲiz,530
izvʲ,165
zvʲi,651
vʲid,1421
idn,267
dna,40
pus,1336
ust,1621
stɑ,4743
tʲmɑ,42
nɑt,2129
bʲez,55
ezd,122
zdn,91
dnʌ,1107
nʌj,2148
ʌju,2728
dux,697
boʒ,1120
oʒy,2238
ʒyj,909
nʌsʲ,837
ʌsʲi,1295
sʲiɭ,1201
iɭsʲ,1123
ɭsʲʌ,2021
vʌd,309
ʌdo,717
doj,174
oju,2314
ska,5139
kaz,4907
azɑ,5338
zɑɭ,3910
budʲ,3175
udʲi,3928
dʲit,3111
svʲe,390
vʲet,2018
sta,1334
taɭ,120
aɭs,31
ɭsvʲ,1
uvʲi,929
vʲidʲ,2610
idʲi,2588
dʲiɭ,1815
ʃto,7725
xʌr,360
ʌro,2710
roʃ,103
ʌdʲdʲ,346
dʲdʲi,121
dʲiɭʲ,918
iɭʲi,5055
ɭʲiɭ,533
tʲmy,37
naz,215
azv,258
zvɑ,420
vɑɭ,881
dnʲe,436
nʲem,759
tʲmu,25
not,255
otʃʲ,1602
tʃʲj,192
ʃʲjj,174
jju,963
etʃʲ,1244
tʃʲi,8473
ʃʲir,257
yɭʌ,1301
utr,280
trʌ,506
dʲenʲ,844
ʌdʲi,3205
dʲin,2343
tvʲe,699
vʲer,1481
ertʲ,367
pʌs,3369
ʌsrʲ,114
srʲi,459
rʲidʲ,1182
vod,541
ody,596
iɭʲɑ,84
ɭʲɑj,607
ɑji,3133
jit,3220
ʌnɑ,876
odu,1220
soz,47
ozd,89
zdʌ,188
dʌɭ,959
kʌt,5048
ʌto,5188
tor,4753
orʌ,2378
rʌj,1194
ʌja,2274
pʌd,1762
ʌdt,174
dtvʲ,8
erdʲ,105
rdʲj,2
dʲjj,77
tɑɭ,847
ɑɭʌ,900
tɑk,2275
bʌm,84
dʲen,1111
ftʌ,178
tʌr,892
roj,465
sʌbʲ,226
ʌbʲi,870
bʲirʲ,358
irʲe,1249
rʲet,2145
ets,1158
tsʌ,5470
ʌdɑ,654
pot,600
ʌdn,1103
dno,379
mʲes,766
est,1099
stʌ,2680
javʲ,319
avʲi,2278
vʲit,2129
its,4755
suʃ,58
uʃa,245
uʃu,234
mɭʲe,978
ɭʲej,420
eju,1307
sʌb,948
ʌbr,1276
brɑ,1846
rɑnʲ,378
ɑnʲi,2414
nʲij,8408
ijɪ,5926
vot,1760
mʌrʲ,34
ʌrʲɑ,889
rʲɑmʲ,60
ɑmʲɪ,1903
ɛtʌ,2200
ʌrʌ,1069
rʌʃ,408
ʌʃo,135
prʌ,3937
rʌi,720
ʌiz,328
izr,47
zra,424
rasʲ,228
asʲtʲ,193
sʲtʲi,3482
tʲit,702
ʑeɭʲ,22
eɭʲi,563
ɭʲin,1275
tra,606
rav,366
avu,67
sʲej,2285
juɕ,1643
uɕu,60
ɕuj,63
uju,2277
sʲemʲ,724
emʲʌ,678
dʲerʲ,120
erʲi,812
rʲiv,634
ivʌ,1530
pɭʌ,259
ɭʌd,410
ʌdʌ,904
dʌvʲ,99
ʌvʲi,2569
itʌ,342
tʌj,895
ʌjɪ,2134
prʲi,9729
rʲin,1317
inʌ,1536
ʌsʲɑ,83
sʲɑɕ,58
ɑɕi,732
ɕij,1715
rod,2530
svʌ,4756
vʌj,7195
ʌje,3960
jem,1321
emu,887
pɭo,448
