r-gram,Counts
pot,2609
otʃ,2031
tʃɛ,7046
ʃɛt,937
ɛtk,159
tkʊ,217
stv,1747
tvo,4951
vor,4640
orɪ,3158
boɡ,3241
nɛb,797
ɛbo,346
zɛm,3189
ɛmʎ,2928
mʎʊ,892
mʎɐ,479
bɛʃ,2294
ɛʃɛ,2853
bɛz,1075
obl,318
blɪ,152
lɪt,1173
ɪtʃ,762
tʃj,224
ʃjɐ,8
pus,891
ust,2083
stɐ,5023
tam,358
amɐ,1355
nad,1511
ɛzd,376
zdɐ,408
dɐn,1516
ɐno,546
nom,1579
duh,670
boʒ,1531
oʒj,485
ʒjɪ,252
diz,14
izɐ,819
zɐʃ,229
ɐʃɛ,3473
vod,1089
odo,946
dom,2496
rɛt,7797
ɛtʃ,6042
nɛk,2409
ɛkɐ,3365
bud,1397
udɛ,1409
svɛ,5905
vɛt,4163
ɛtl,175
tlo,121
los,684
ost,4887
vid,1827
idɛ,2155
bok,480
loz,81
ozd,274
dob,1139
obr,1438
brɐ,964
ras,811
ast,1296
tɐv,1357
ɐvɪ,2013
amɛ,892
naz,272
azv,249
zvɐ,639
dan,2347
amʊ,280
not,398
otɕ,1479
jut,115
utr,318
tro,342
prv,501
rvi,303
oto,935
tom,1044
svo,8400
vot,454
pos,3388
osr,190
srɛ,839
rɛd,2887
odɛ,1379
ɐvl,649
vlj,1257
ljɐ,630
odʊ,1592
nat,1503
tak,1603
ako,5623
dru,1271
ruɡ,1331
uɡɪ,459
sab,292
abɛ,80
bɛr,111
ɛrɛ,426
odɐ,2473
ʃto,3488
pod,9415
bom,648
jed,2927
edn,1344
dno,1049
mɛs,1548
ɛst,3124
sto,3311
pok,1223
okɐ,773
kɐʒ,102
ɐʒɛ,144
suv,86
uvo,42
zbo,626
bor,620
rɪʃ,350
ɪʃt,212
ʃtɐ,2492
dɛn,265
ɛnɐ,1826
mor,780
orɐ,1450
bro,1249
opɛ,661
pɛt,1314
stɪ,3959
sɛb,736
ɛbɛ,1371
tra,1514
rav,1472
avʊ,589
biʎ,17
iʎe,12
nos,978
osɪ,1180
sɛm,698
ɛmɛ,1588
drv,421
rvo,265
rod,4180
odn,551
koj,8988
oje,5191
rad,2652
adj,855
djɐ,1025
rot,1207
voj,10597
ojɪ,9136
jɪm,2240
vrs,59
rst,689
sta,1144
kom,1563
omɛ,1139
tɕɛ,10691
bit,1674
itɪ,1941
ɲeɡ,4897
eɡo,3972
ɡov,8221
ovo,7756
mʎɪ,1007
ovɪ,6303
vɪm,3286
trɛ,1423
ɛtɕ,4971
tɕɪ,4752
udʊ,387
dɛl,1010
ɛlɐ,781
bɛs,666
ɛsk,270
sko,1508
ɛlɛ,779
nod,44
odʑ,35
zna,1044
ats,558
tsɪ,3527
vrɛ,759
rɛm,2031
mɛn,2806
ɛnɪ,3067
nɪm,1305
ɪmɐ,6653
anɪ,502
ɡod,1628
odɪ,3608
dɪn,1556
ɪnɐ,1651
nɐm,370
ɐmɐ,2176
tlɛ,34
obɐ,264
bɐs,33
ɐsj,28
sjɐ,34
jɐv,108
ɐvɑ,288
vɑj,844
ɑjʊ,2013
dva,953
vɛl,1657
ɛlɪ,2703
lɪk,1289
ɪkɐ,849
ɛlo,849
upr,221
prɐ,692
rɐv,924
ano,402
maɲ,43
aɲe,138
tɕʊ,2424
zvɛ,581
vɛz,295
zdɛ,279
ljɑ,129
jɑj,262
ɛtv,309
tvr,532
vrt,208
rtɪ,121
vrv,2
rvɛ,459
ʒiv,1523
ivɛ,427
duʃ,687
uʃɛ,211
pti,155
tit,301
its,693
tsɛ,2989
lɛt,1060
