r-gram,Counts
ʊpotʃ,35
potʃɛ,269
otʃɛt,180
tʃɛtk,57
ʃɛtkʊ,34
ɛtkʊs,11
tkʊst,5
kʊstv,12
ʊstvo,11
stvor,159
tvorɪ,549
vorɪb,29
orɪbo,24
rɪboɡ,19
ɪboɡn,13
boɡnɛ,53
oɡnɛb,28
ɡnɛbo,7
nɛboɪ,57
ɛboɪz,30
boɪzɛ,29
oɪzɛm,38
ɪzɛmʎ,278
zɛmʎʊ,875
ɛmʎʊɐ,26
mʎʊɐz,2
ʎʊɐzɛ,2
ʊɐzɛm,3
ɐzɛmʎ,115
zɛmʎɐ,404
ɛmʎɐb,13
mʎɐbɛ,3
ʎɐbɛʃ,6
ɐbɛʃɛ,398
bɛʃɛb,42
ɛʃɛbɛ,6
ʃɛbɛz,20
ɛbɛzo,6
bɛzob,10
ɛzobl,3
zoblɪ,2
oblɪt,46
blɪtʃ,46
lɪtʃj,35
ɪtʃjɐ,5
tʃjɐɪ,1
ʃjɐɪp,1
jɐɪpu,1
ɐɪpus,11
ɪpust,131
pustɐ,31
ustɐɪ,54
stɐɪb,8
tɐɪbɛ,12
ɐɪbɛʃ,41
ɪbɛʃɛ,363
bɛʃɛt,112
ɛʃɛta,25
ʃɛtam,7
ɛtamɐ,4
tamɐn,8
amɐna,12
mɐnad,26
ɐnadb,6
nadbɛ,2
adbɛz,6
dbɛzd,4
bɛzdɐ,40
ɛzdɐn,47
zdɐno,8
dɐnom,5
ɐnomɪ,9
nomɪd,16
omɪdu,8
mɪduh,9
ɪduhb,4
duhbo,14
uhboʒ,14
hboʒj,17
boʒjɪ,251
oʒjɪd,17
ʒjɪdi,1
jɪdiz,1
ɪdizɐ,4
dizɐʃ,7
izɐʃɛ,8
zɐʃɛs,24
ɐʃɛsɛ,224
ʃɛsɛn,46
ɛsɛna,168
sɛnad,101
ɛnadv,49
nadvo,329
advod,11
dvodo,8
vodom,89
odomɪ,154
domɪr,11
omɪrɛ,96
mɪrɛt,175
ɪrɛtʃ,1444
rɛtʃɛ,3591
ɛtʃɛb,106
tʃɛbo,57
ʃɛboɡ,92
ɛboɡn,26
oɡnɛk,44
ɡnɛkɐ,41
nɛkɐb,212
ɛkɐbu,194
kɐbud,196
ɐbudɛ,185
budɛs,104
udɛsv,49
dɛsvɛ,73
ɛsvɛt,213
svɛtl,170
vɛtlo,115
ɛtlos,91
tlost,91
lostɪ,298
ostɪb,21
stɪbi,7
tɪbis,3
ɪbisv,2
bisvɛ,8
isvɛt,20
ostɪv,94
stɪvi,8
tɪvid,24
ɪvidɛ,343
vidɛb,12
idɛbo,14
dɛbok,6
ɛboks,13
boksv,32
oksvɛ,97
ksvɛt,64
ɛtloz,3
tlozd,3
lozdd,9
