r-gram,Counts
na,35776
ap,16212
po,35564
ot,21672
tʃ,21138
ʃi,13653
ia,30791
at,21587
tk,6581
ku,5090
us,6674
st,23078
tv,7897
vo,29066
or,23061
ri,29680
il,19612
lb,1086
bu,10887
uo,5850
oh,11830
hɲ,1612
ɲe,24588
eb,15411
be,6712
es,19873
si,20321
aa,12364
az,12190
ze,5158
em,15563
ma,15078
mb,1572
bo,19503
ol,16408
la,19634
aɲ,11813
el,16044
ad,12891
dn,2409
pu,2600
ta,19717
tm,358
ab,14406
an,14973
tp,2044
pr,24023
ie,23536
ep,8651
pa,5799
as,20899
stʲ,11073
tʲo,1362
oʊ,5336
ʊa,1226
du,6360
uɣ,37
ɣb,941
oʒ,6023
ʒi,7025
is,21117
sa,20198
ao,5836
iv,11294
vu,2091
uj,4659
ju,7195
ut,9418
ts,25416
vz,1492
zn,2349
aʃ,6676
ʃa,5550
al,31004
ln,2827
dv,3271
od,12092
da,13792
am,18271
mi,15148
hr,3146
ek,9971
ko,18652
lɲ,1708
ex,3485
xj,614
je,26068
sv,12817
ve,21162
et,23284
tl,997
lo,16325
oa,5554
os,30443
hv,166
vi,31853
idʲ,3513
dʲe,15679
ls,5249
ʒe,8890
ej,13030
ed,17510
do,18614
ob,15260
br,4857
re,18811
ea,8182
ho,37947
ddʲ,190
li,26308
oo,2706
tt,5438
hn,1255
zv,1738
va,17639
dɲ,3662
ɲo,1457
om,27447
mu,12508
un,2252
no,16654
so,10143
lv,1692
ʃe,9507
er,8809
ra,28106
op,7811
rv,1078
eɲ,9718
ɲa,3528
eo,3986
bl,1574
ha,4750
me,13682
dʑ,3145
ʑi,1331
eɣ,138
ɣdʲ,145
di,5728
io,3549
hu,1834
iɲ,7367
ɲi,24376
ua,5365
ik,10845
kt,14372
to,34861
su,4836
up,5611
ʊo,201
ak,21954
ka,10352
uɲ,881
dr,3020
ru,7325
uh,3088
hi,1640
xs,2538
sh,1654
ro,17363
aʒ,5726
ʒdʲ,810
dʲi,15879
av,19687
ip,9785
tɲ,861
mn,3453
aj,14214
au,2886
uk,5006
uʃ,2755
in,20275
nu,4896
uz,2790
mo,9422
ev,8613
lm,2101
lʒ,504
xv,1660
id,6453
ms,4233
eʒ,3895
