r-gram,Counts
uz,3794
za,17842
at,19603
tʃ,35399
ʃe,6301
et,17644
tk,2251
ku,2455
uj,6069
jɛ,46867
ɛu,4420
us,16535
st,34224
tʋ,9279
ʋa,17603
ar,15480
ri,25405
iw,11731
wb,1167
bo,12595
ok,5096
kn,1766
nɛ,11173
ɛb,8422
be,2025
es,10568
sa,10810
ai,10312
in,65326
nz,2833
ze,2665
em,10071
ml,1543
lj,13649
jɔ,11939
ɔi,6823
ja,16707
aj,25441
bi,14524
il,13877
la,17559
ap,11574
pu,1828
ta,16502
np,6358
pr,26639
ra,29518
az,8827
zn,3366
na,31582
nt,5222
te,10212
ma,7726
an,20976
ad,11043
db,1603
br,4963
re,13965
ez,4611
nɔ,12379
ɔm,9301
mi,14009
nd,3560
du,4893
uɣ,134
ɣb,104
oʒ,2990
ʒj,1472
ji,12731
ij,12207
ɛp,9075
pl,1625
aʋ,13507
aw,11976
wn,6713
ʋɔ,13357
ɔd,16073
da,25650
am,16921
ii,9692
nr,1895
ʃɛ,11690
oɡ,4114
ɡb,302
od,10470
di,13627
is,28075
sʋ,11125
ʋɛ,11843
ɛt,14336
tl,1224
lo,3706
ob,2770
ba,2902
nb,1916
ɛs,13613
nʋ,1729
ʋi,20225
id,11461
dɛ,11383
ɛw,8623
wj,2933
ks,758
lɔ,10517
ɔb,9648
bɔ,5509
ɛd,10728
do,7768
nl,702
ɔt,16309
ʃi,11283
ɔo,816
ot,12712
tt,2285
mɛ,5699
ɛi,9137
ns,6818
ɔj,9734
ki,13763
im,19394
ɛn,10403
ɔʋ,13725
wd,2140
mɔ,8699
no,6671
ɛʋ,5797
ʋe,11015
ʃə,1016
ər,12911
ɛj,5465
ju,9997
ut,6873
tr,6252
rɔ,9668
pə,2181
rʋ,1583
ir,4671
as,20522
eʒ,1458
ɛm,13138
me,10011
ab,7698
ol,2959
ʋo,12220
ei,1161
on,5296
ed,7741
it,23848
to,7779
or,8549
rɛ,15107
jb,994
kr,9086
iʋ,7249
ɛk,8051
sɔ,12810
ɔp,9165
po,11348
mo,8979
ɔn,6682
zɡ,2152
ɡɔ,16944
ɔs,24432
se,21907
ej,10093
ak,19213
kɔ,14690
ɔr,11650
op,5281
pa,10160
ne,13914
eb,5906
dr,3550
ru,6007
uɡ,3175
ɡi,2710
ɡz,284
zb,2083
bɛ,4836
ɛr,8414
ro,7042
os,6353
en,12955
jʋ,737
tn,4189
mʋ,1080
nk,3534
ik,12959
ka,19829
aʒ,2740
ʒi,4720
su,3248
uʃ,2634
ɔa,1214
kɛ,5951
wm,1609
rj,6182
ɡd,2661
dɔ,8996
ɔʃ,1053
pɔ,25100
ɔʒ,2405
ʒe,3740
ni,26156
ɔz,4895
zɛ,1814
ɛl,7734
lɛ,6269
nj,19484
ɔk,8162
ew,1104
dj,786
oj,16218
mp,3270
nu,5655
uk,3394
tɛ,14983
eɡ,12305
ɡa,18322
iu,4801
un,3778
je,14957
mn,2724
mʎ,355
ʎi,1443
ɔɡ,6274
ɡn,1830
al,16816
ɛz,6378
de,6067
