r-gram,Counts
uz,3072
za,17842
at,14592
tʃ,35305
ʃe,6294
et,16455
tk,842
ku,2106
jɛ,46829
us,14377
st,32624
tʋ,7972
ʋa,17603
ar,13726
ri,24604
iw,11731
bo,12595
ok,4501
nɛ,10867
ɛb,3118
be,2025
es,8895
sa,10608
in,57992
ze,2665
em,8801
ml,1033
lj,13649
jɔ,11426
ja,16514
bi,14524
il,12584
la,17559
pu,1697
ta,16167
pr,26589
ra,29391
az,5301
zn,3366
na,30625
te,10174
ma,7297
ad,6111
br,4963
re,13935
ez,3132
nɔ,10648
ɔm,6678
du,4893
uɣ,134
oʒ,2816
ʒj,1472
ji,11334
pl,1608
aʋ,10835
aw,11973
ʋɔ,13357
ɔd,12549
da,25650
am,12811
mi,10102
ʃɛ,11669
oɡ,3656
od,9470
di,13627
sʋ,10750
ʋɛ,11843
ɛt,9266
tl,598
lo,3706
ob,2074
ba,2902
ʋi,20225
id,6163
dɛ,11383
ɛw,8621
lɔ,10517
ɔb,6931
bɔ,5509
do,7768
ɔt,12966
ʃi,10200
ot,11780
mɛ,5613
im,15095
ɛn,4245
ɔʋ,11893
an,13808
mɔ,7929
no,5512
ʋe,11015
ʃə,1015
ər,12907
ju,9162
ut,5736
tr,5795
rɔ,9408
pə,2178
rʋ,1080
as,9532
eʒ,1221
me,9974
ʋo,12220
on,4394
ed,6420
to,7446
or,8189
rɛ,15067
ɛj,3235
ki,12781
sɔ,12464
po,11329
ɛm,9759
zɡ,1695
ɡɔ,16944
se,21882
ak,12993
kɔ,14398
pa,10150
ne,13770
eb,3066
dr,3549
ru,5594
uɡ,2364
ɡi,2710
zb,1677
bɛ,4836
ɛr,6564
ro,6792
aj,19202
en,10848
kr,8942
ik,7194
ka,19654
aʒ,1997
ʒi,4720
su,2606
uʃ,2547
kɛ,5889
mo,8583
rj,3506
dɔ,8996
pɔ,25064
ɔʒ,1777
ʒe,3740
ni,23829
zɛ,1814
ɛl,6619
lɛ,6269
nj,15904
it,17880
tn,2360
ew,1103
wj,338
dj,786
oj,14248
nu,2317
tɛ,14851
eɡ,11611
ɡa,18322
un,2132
je,14936
mʎ,355
ʎi,1246
ɔɡ,3808
ɡn,1830
al,15727
de,6067
eʋ,1806
ɛɡ,5936
ɡo,6279
oʋ,13080
tj,1632
tɔ,8609
lu,2870
eʃ,1000
ʃk,1117
ij,5957
ɔl,2993
ʃu,1357
uj,4709
ej,7704
ʃa,8017
sɛ,10220
dn,3313
le,6883
ti,21881
ɛd,6378
is,13867
dʋ,2078
li,26961
ʃj,1153
ɔs,17603
sp,13139
ʋu,700
aɲ,623
ɲʃ,84
ʃɔ,1397
zʋ,2140
zd,2930
ih,15208
tə,2285
rt,2989
ip,2114
pk,151
iʋ,4449
pt,2043
ts,15718
ɛʃ,2100
ke,980
mu,6928
rs,961
sk,6557
ib,909
bl,3538
ɲi,5350
aɡ,2470
sl,5456
mə,3347
ən,3703
ap,4340
ɔw,8301
wn,4712
ʒɛ,2138
pe,1859
er,4653
eʎ,237
ʎs,116
so,1716
ʋə,2194
ax,3461
ʃl,2873
ek,2898
ɛs,6036
oʎ,623
ʎn,310
ʒa,1955
rz,206
zi,2642
si,14870
jo,3016
jt,4388
ɡl,4703
sə,5013
əm,3699
rʃ,543
ɛʋ,3374
sn,1366
ux,3255
xr,766
uk,1579
ɔr,10618
js,1800
dm,350
el,9405
ɔj,7078
ko,8121
op,3264
ab,3059
xɛ,685
ɛx,1300
xo,2276
ɔʎ,120
bd,146
sx,640
xa,2703
iz,6781
up,3172
xu,1576
ɛʎ,384
ud,7649
xn,218
wl,1825
kt,62
tu,5528
sr,1560
ɔz,2290
kl,3218
tt,318
zl,1402
ʃt,4446
ir,3216
pi,3688
ɔn,2946
ɔp,3339
ɔk,4472
ws,747
kj,438
ks,73
hɔ,122
xi,2986
wf,34
fr,265
ns,849
ɛk,3100
sm,2398
ol,2741
iŋ,160
ŋk,532
aʃ,4207
oʃ,1795
rd,1253
zm,1650
bə,806
kn,834
os,3795
də,1396
rʒ,503
dɡ,771
uʒ,1627
um,2704
mr,994
dl,808
tp,1109
ʒu,216
ʒə,1210
fi,445
iɡ,1349
xl,1033
iʃ,7449
ɡd,2108
pɛ,2843
wm,389
rm,378
bu,987
ʋr,1761
mn,813
ʃn,3557
ɛʒ,2764
ub,2694
rn,2495
lə,475
jə,627
eɣ,288
kɲ,207
ʃʋ,49
jn,401
zo,2027
nə,326
km,29
nt,2180
ʃr,180
ow,3008
wʃ,349
oz,946
zr,3709
ɡr,3175
ex,1789
ur,1303
pn,198
kə,887
zz,168
rl,458
jm,337
wd,425
rk,720
eŋ,145
ht,1071
xɔ,2274
ox,97
ɔx,529
ae,1084
aɛ,1782
wk,580
əl,600
ul,1129
md,153
ms,367
dd,400
nʃ,99
ɛz,2551
nd,908
ai,516
ɛp,1117
oɛ,53
ɔe,39
af,312
fe,98
ep,701
bn,997
om,1630
ɛɣ,148
ɔɛ,33
iʒ,843
ɔf,72
ɡɛ,1634
zu,2270
wt,2200
wʒ,189
rx,227
dɲ,195
pj,30
ɡu,1173
zɔ,1109
jd,1055
mt,160
əw,424
fɛ,104
kʋ,239
aɣ,199
xe,380
ɔi,99
np,46
ps,585
ʎk,54
ʒɡ,587
px,31
ah,190
dʑ,284
sʃ,119
xʎ,23
aa,627
ʑu,8
zj,350
jʃ,709
xʋ,551
if,76
fa,805
uɲ,202
ɡm,6
ɛa,315
ft,99
rɡ,497
rp,277
uw,197
ɡe,689
ef,191
ɛf,584
zʒ,135
wp,213
rɣ,14
ɡʋ,8
ɛi,213
he,42
ʒn,1603
hk,115
aɔ,244
wb,106
ao,145
wz,537
oa,276
wɡ,228
aʎ,1355
ʃp,8
wx,53
dʒ,984
jʋ,261
zə,539
ɡə,353
ət,192
hn,31
ʒɲ,43
aŋ,582
ŋɡ,434
iɲ,81
ʑa,9
uʋ,569
ɛɔ,409
mp,565
ɔʃ,576
ʒl,40
jb,79
ʎʃ,183
db,608
ɲk,55
bm,32
bj,142
tm,127
jx,70
ha,435
ʒʋ,45
ɛɲ,350
ɔa,479
uu,190
rb,305
jl,12
pʃ,164
pʎ,27
kp,7
eh,15
ʒm,33
jr,3
ʒb,379
ʃw,2
wa,61
fə,12
ʒd,7
rə,47
hr,28
ʑɡ,12
tʎ,43
ɛo,91
jk,35
ss,243
zɲ,5
jz,909
ei,36
hɛ,36
ʒɔ,97
eɔ,92
mb,92
ɔŋ,21
fɔ,81
ʃɲ,88
wʋ,7
nx,18
ɡb,17
bz,63
fu,69
fo,84
kʃ,136
ʃm,214
ʃo,32
ʒr,183
fn,7
ea,69
ʃʎ,62
tx,68
fj,3
ɣz,9
ɔɲ,59
pw,10
jɡ,8
ɛŋ,49
əa,4
əi,1
ʑɔ,25
dʎ,23
hs,15
hu,98
sd,3
sj,252
oɲ,109
eɲ,38
uə,4
ho,147
nʋ,16
zw,152
wɛ,147
mʃ,22
bʎ,19
zʎ,5
ʑn,8
wʎ,33
xj,39
ɔh,1
xə,57
jp,54
ɡɲ,13
ʒo,10
wi,14
ɛh,54
ʒʎ,41
wr,15
mj,22
ɡj,22
ɔɔ,13
ʑo,16
rʎ,47
mw,6
ɣb,5
fs,7
uf,29
oɣ,9
of,65
bʋ,47
fk,3
kx,4
mz,4
ɡʎ,4
oh,2
lz,1
sʎ,17
oŋ,9
sw,41
xm,14
ɡz,10
dz,5
fl,7
oɔ,7
rɲ,13
xɲ,3
hl,3
rf,28
ɲt,12
ʑd,2
ək,12
ii,6
oi,12
fm,2
mx,6
hp,10
rw,1
ʋz,2
nm,1
ɣd,5
nz,1
ɣɡ,1
ʋd,1
iʎ,6
ʑi,8
jj,1
ɲs,12
wɔ,4
ɛɛ,1
wo,1
we,1
nb,10
hʋ,6
dw,3
nʎ,27
ʋj,6
kʎ,11
ɔu,1
hi,7
bʒ,1
ʎt,2
kw,1
əʋ,2
hd,2
ɔɣ,4
bɡ,5
ɔo,1
mf,9
uh,2
jw,4
uʎ,8
tf,3
jf,9
əe,2
rh,1
ʑɛ,1
mʋ,1
