r-gram,Counts
enel,3073
nelp,365
elpɾ,589
lpɾi,307
pɾin,376
ɾinθ,395
inθi,453
nθip,377
θipj,79
ipjo,80
pjok,23
jokɾ,6
okɾe,135
kɾeo,25
ɾeoð,18
eoðj,35
oðjo,808
ðjos,4227
josl,282
oslo,2297
slos,2884
losθ,498
osθj,515
sθje,690
θjel,772
jelo,776
elos,6146
losi,2673
osil,678
sila,497
ilat,208
latj,2267
atje,2602
tjeɾ,3105
jeɾɾ,3041
eɾɾa,3655
ɾɾai,436
ɾail,169
aila,364
ɾɾae,313
ɾaes,446
aest,1423
esta,6708
staβ,1820
taβa,1778
aβas,311
βasi,202
asin,533
sino,1162
inoɾ,30
noɾð,43
oɾðe,1411
ɾðen,280
ðeni,109
eniβ,30
niβa,17
iβaθ,81
βaθi,53
aθia,168
θiaa,76
iaaβ,107
aaβi,449
aβia,2603
βiat,69
iati,19
atin,33
tinj,132
inje,250
njeβ,156
jeβl,133
eβla,146
βlas,259
lass,208
asso,337
ssoβ,390
soβɾ,2972
oβɾe,2919
βɾel,749
ɾela,1052
elaf,206
lafa,114
afaθ,45
faθð,43
aθðe,84
θðel,198
ðelo,4266
eloθ,41
loθe,32
oθea,54
θean,31
eano,54
anoi,284
noie,67
oiel,390
iele,139
eles,1430
lesp,668
espi,847
spiɾ,735
piɾi,650
iɾit,672
ɾitu,707
ituð,276
tuðe,291
uðeð,52
ðeðj,1106
eðjo,2586
joss,279
osse,1322
ssem,152
semo,123
emoβ,32
moβi,77
oβia,52
βias,270
iaso,92
asoβ,863
ðela,6670
elas,2101
lasa,1110
asaɣ,321
saɣw,288
aɣwa,823
ɣwas,359
wase,58
asen,1174
sent,1955
ento,3856
nton,2922
tonθ,2716
onθe,3061
nθes,2755
θesð,330
esði,955
sðix,776
ðixo,2398
ixoð,1820
xoðj,27
ssea,466
seal,230
eala,579
alal,257
lalu,166
aluθ,326
luθi,49
uθif,54
θifw,3
ifwe,356
fwel,50
wela,61
elal,800
luθd,2
uθdj,1
θdjo,1
djos,354
josβ,100
osβj,99
sβjo,44
βjok,102
joke,581
okel,355
kela,683
luθe,40
uθeɾ,14
θeɾa,703
eɾaβ,259
ɾaβw,116
aβwe,606
βwen,401
wena,220
enai,72
nais,53
aise,463
isep,158
sepa,195
epaɾ,1303
paɾo,141
aɾoð,26
ɾoðj,449
osla,583
slal,61
luθð,51
uθðe,57
last,453
asti,321
stin,165
lasd,3
asdj,4
sdjo,22
josʎ,15
osʎa,54
sʎam,147
ʎamo,237
amoa,175
moal,178
oala,800
uθði,1
θðia,12
ðiai,94
