r-gram,Counts
adi,7377
dij,1440
ija,5661
jan,7691
and,8999
ndu,6216
dud,431
ude,2747
deʋ,4265
eʋu,3510
ʋuɖ,1923
uɖu,6195
ɖubʰ,131
ubʰu,539
bʰum,760
umj,37
mja,119
jak,2621
aka,11026
kaɕ,672
aɕa,2287
ɕam,2645
amu,44418
mul,13233
ula,20132
lan,13178
anu,29600
nus,3063
usr,69
sru,109
ruɟ,212
uɟi,423
ɟin,390
inc,13302
nce,2079
cen,2939
enu,17174
nubʰ,601
umi,5008
min,1551
ini,13433
nir,2392
ira,3815
rak,5450
kar,4280
ara,17908
ram,10193
muɡ,3813
uɡa,10938
ɡan,6023
nuɕ,481
uɕu,108
ɕun,14
unj,221
nja,1786
jam,8168
nuu,635
uun,658
unɖ,10319
nɖe,1409
ɖen,2191
nuc,2915
uci,1644
cik,430
ika,5250
kaʈ,2053
aʈi,3646
ʈia,385
iaɡ,399
aɡa,8009
ɡadʰ,94
adʰa,1520
dʰaɟ,29
aɟa,4916
ɟal,941
ala,17768
lam,5872
mup,1597
upa,7587
paɪ,493
aɪn,9764
ɪna,8976
nak,8293
kam,2635
amm,1174
mmi,20
mij,929
iju,12168
jun,7576
nud,2890
ʋun,3954
uni,12328
nia,3304
iat,1445
atm,583
tma,538
maɟ,345
lap,1443
apa,9907
naa,2622
aal,322
all,767
lla,1539
laɖ,822
aɖu,11347
ɖuc,1595
ucu,8969
cun,8217
ɖuʋ,1860
uʋe,2761
ʋel,915
elu,2895
luɡ,2964
uɡu,3951
ɡuk,211
uka,8974
mma,1228
man,11681
ani,27121
nip,4098
ipa,4659
pal,1499
alu,6740
luk,2072
kaɡ,635
ɡaʋ,1395
aʋe,1959
kal,5059
ali,3686
liɡ,1175
iɡe,368
ɡen,350
nuʋ,5605
ɡum,409
uma,10071
anc,890
nci,5704
cid,472
ida,5587
daɪ,385
naʈ,2793
aʈʈ,6166
ʈʈu,3400
ʈud,202
cuc,4206
uce,8266
ɡun,2161
unu,22940
ʈin,3849
niʋ,8443
iʋe,3012
ʋer,511
eru,2392
rup,1880
par,5479
rac,2440
ace,3763
una,17907
aku,20364
kup,1920
paɡ,1690
ɡal,2399
nij,5815
juc,1078
ʈik,1395
iki,7843
kir,656
rat,3185
atr,1403
tri,997
ria,1459
ian,1470
jup,476
upe,1378
per,741
peʈ,1620
eʈʈ,2017
ʈʈe,733
ʈen,449
nua,10075
uas,381
ast,2129
sta,1301
tam,5177
ama,18043
maj,1056
aja,13506
mun,14496
uud,220
uda,5524
daj,1485
nuk,5896
ɡaɡ,564
ɡao,153
aok,425
oka,4269
kad,1076
din,3714
ina,19319
nam,10338
aje,8017
jen,1493
num,5509
mar,7549
ari,16745
rij,4197
jud,2393
ɖuɟ,166
uɟa,1462
madʰ,1054
adʰj,634
dʰja,663
ano,667
nok,221
kaʋ,1236
aʋi,6606
ʋiɕ,816
iɕa,692
ɕal,282
muk,1966
iɡi,2658
ɡia,79
iaɟ,23
nui,2034
uiɟ,57
iɟa,1016
acu,1822
