r-gram,Counts
adi,7123
dij,938
ija,5519
jan,8359
and,10303
ndu,7156
deʋ,4789
eʋu,3967
ʋuɖ,2085
uɖu,7108
bʰum,855
umj,39
mja,133
jak,2543
aka,9652
kaɕ,661
aɕa,1954
ɕam,2883
amu,48573
mul,14319
ula,22051
lan,13704
anu,32820
sru,122
ruɟ,92
uɟi,237
ɟin,443
inc,14780
nce,2316
cen,3334
enu,19572
umi,1719
nir,1795
ira,2462
rak,6098
kar,4576
ara,18499
ram,10798
muɡ,3907
uɡa,8680
ɡan,5298
ɕun,16
unj,18
nja,2062
jam,8720
unɖ,11901
nɖe,1636
ɖen,2485
cik,307
ika,2979
kaʈ,2265
aʈi,4074
aɡa,8641
ɡadʰ,72
adʰa,1408
ɟal,1037
ala,19933
lam,5576
paɪ,575
aɪn,11040
ɪna,10386
kam,2088
amm,1352
mmi,24
mij,868
iju,12125
jun,7630
ʋun,3294
uni,4035
atm,650
tma,603
lap,588
apa,6852
all,860
lla,1747
laɖ,925
aɖu,13199
ɖuc,1170
ucu,7861
cun,9021
ʋel,1019
elu,3339
luɡ,2796
uɡu,3408
mma,1446
man,13258
ani,26288
pal,1678
alu,7624
luk,1000
uka,3169
kaɡ,514
kal,5682
ali,4206
liɡ,1269
iɡe,375
ɡen,413
anc,1011
nci,6362
cid,127
ida,4302
daɪ,450
naʈ,3110
aʈʈ,7013
ʈʈu,3914
cuc,4416
uce,2145
ɡun,2096
unu,25924
ʈin,3716
ini,11484
ʋer,577
eru,2748
rup,982
upa,2454
par,6154
rac,2579
ace,1768
una,13134
nak,7195
aku,21556
paɡ,1811
ɡal,2674
nij,4249
ʈik,1333
iki,8622
rat,3478
atr,1450
tri,1143
per,839
peʈ,1865
eʈʈ,2339
ʈʈe,858
ʈen,479
ast,2083
sta,1479
tam,5471
ama,14919
maj,1027
aja,14284
mun,13755
uda,2218
daj,1520
ɡaɡ,531
oka,4381
din,3480
ina,18371
nam,8693
aje,4808
jen,1661
mar,8659
ari,18860
rij,3994
ɖuɟ,10
uɟa,186
madʰ,1156
adʰj,707
dʰja,746
nok,250
ʋiɕ,902
iɕa,348
ɕal,319
iɡi,2937
acu,1495
ɡak,1083
kan,5334
lik,695
ike,343
ken,171
ces,4231
esi,4557
kri,1416
rin,6363
ind,790
ndi,2373
mid,4506
idi,2103
rap,2205
pra,9661
ren,1345
enɖ,2062
nɖa,4005
ɖaʋ,2238
aʋa,14533
ɖua,33
uak,9
nda,4883
dan,9862
nun,8386
unn,11271
nna,12360
lok,600
kac,140
aco,269
coʈ,284
oʈa,480
ʈan,1200
ane,3316
kur,817
urc,2069
rca,224
cab,535
aba,6285
baɖ,5606
aɖi,5675
nel,748
ela,3907
ana,25807
nab,1358
ɖun,3997
lak,4455
lar,1017
raɕ,121
aɕi,687
ɕik,382
sam,4542
mud,664
udr,514
dra,1339
ɖuɡ,1194
ɡaɖ,570
aɖɖ,288
ɖɖi,251
ɖin,2638
ʋit,838
itt,1292
tta,2144
tan,12256
uli,211
lic,924
icc,2956
ccu,2794
ceʈ,346
eʈl,295
ʈla,854
mim,1290
imi,2466
ɟat,95
ati,4222
mal,748
alo,5076
ulu,11113
pʰal,463
ami,3452
mic,479
laʋ,3168
aʋr,121
ʋru,460
ruk,653
ukʂ,213
kʂa,2567
ʂam,1653
mol,86
oli,507
lip,1009
ipi,1261
pin,4392
ncu,7670
cuɡ,38
inp,4225
npa,4329
muɖ,676
uɖa,7651
ɖup,169
ɡaʈ,136
aʈl,2664
ʈlu,2830
ɕaʋ,275
aʋi,5402
ɟjo,18
jot,98
otu,361
tul,2521
suc,196
uca,204
can,1502
nal,1795
san,5055
anʋ,574
nʋa,578
ʋat,2992
ats,652
tsa,766
sar,2202
uci,1434
cin,5324
cuʈ,1966
uʈa,5700
ʈak,3495
kaɪ,1262
nɖu,3818
uɡi,89
ɡic,24
laɪ,1554
ɡop,575
opp,1272
ppa,2588
naɡ,2652
luʈ,66
ped,661
edd,513
dda,3692
oti,200
tin,2740
inn,1756
akʂ,3030
ʂat,237
tra,2815
ese,1246
sen,1100
kun,4720
ʋaʈ,1793
unc,963
ɡaʋ,396
ɟiʋ,660
iʋa,5240
ʋam,1359
muk,579
cal,440
lin,1263
cuʋ,1081
uʋa,9381
amr,131
mru,430
ddʰi,564
dʰiɡ,90
iɡa,2000
puʈ,1078
uʈʈ,1468
ʈʈi,4712
pak,1673
kʂu,158
ʂul,347
mip,219
ipa,1859
ɪni,123
ulo,4876
lal,3902
rud,981
uddʰ,1959
mah,872
aha,3356
mat,876
tsj,12
sja,229
nan,13983
ann,4565
nni,2099
niʈ,985
iʈi,1259
rek,226
ekk,955
kka,3195
kʂi,1104
ʂin,1352
mir,3057
iru,3993
abʰi,454
