r-gram,Counts
ba,13257
aʃ,9689
ʃɫ,2931
ɫa,56285
an,47235
nɡ,362
ɡɯ,972
ɯt,1574
tʃ,29478
ʃt,5270
ta,17216
nr,6142
rɯ,5098
ɟœ,7716
œø,217
vɛ,10450
je,8585
eɾ,23418
ɾɪ,12236
ja,32614
aɾ,31785
ɾa,16357
at,9433
tɯ,9869
jɛ,6850
ɛr,24218
bɔ,1041
ɔʃ,645
tʊ,2966
rj,788
jy,3014
yz,4251
zø,1445
ʃe,3846
ek,3156
kɪ,8220
ɪl,7682
ll,1955
le,20007
jɔ,8259
ɔk,2987
kt,6498
æn,26185
ɡɪ,500
ɪn,30879
ka,19933
nɫ,11414
ɫɯ,11895
ɯk,8278
kɫ,6611
ar,25145
rɫ,4169
ap,7125
pɫ,1424
ɯj,4974
jd,2566
dɯ,15826
ɯn,45027
nɯ,21895
ru,661
uh,668
hʊ,715
su,4045
uɫ,6626
ɾɯ,22345
ze,2761
nd,30297
dɛ,13542
da,28329
aɫ,24863
ɫɡ,176
ɡa,1889
ɔr,8551
rd,16972
dʊ,6457
ɯʃ,3989
ʃɯ,8280
ɔɫ,5185
ɫs,1066
sʊ,4658
ʊn,12282
di,13043
ij,14764
bu,4248
uj,3516
jʊ,2388
ʊr,6026
ɫd,5719
ɯɯ,9260
ji,4980
du,3855
un,7911
nʊ,8901
œr,2147
dø,4044
on,6893
aj,17297
jɯ,6694
ɯr,7756
ɯa,187
ɟø,2807
øn,12308
øz,1595
ɟe,7898
ed,19215
dʒ,28448
ʒɛ,7524
ad,22524
dɪ,15106
ak,22335
kʃ,199
ʃa,9696
am,13339
sa,18396
ab,9296
ah,8350
lk,2129
oɫ,8727
ɫʊ,7123
ʊʃ,1603
rt,4734
as,8099
sɯ,12152
bɪ,15814
ɪr,15921
ku,3675
ub,220
bɛ,6738
rb,878
bi,5716
iɾ,5709
dæ,6827
rs,3777
œj,4617
jl,6145
œk,1447
be,4117
ej,11098
jɪ,9845
en,8757
nɪ,15041
ɫt,1694
øs,857
st,3854
tø,4271
de,10745
ik,1938
ʒɪ,1069
ɾɛ,5612
tɔ,1856
ɔp,1736
ns,2542
uɾ,4160
ɾʊ,3883
pr,770
ra,11655
œɾ,3134
ɾø,1824
sø,1200
na,18716
ɪz,6428
ɪt,2699
tk,409
ki,3260
il,13619
lɛ,19035
to,454
oh,170
ʊm,2473
ve,2427
ɾæ,1465
ɔt,551
tɫ,2416
ty,1981
yɾ,3653
ɾy,1182
yn,4494
nɛ,9905
hu,1732
um,1148
mʊ,1818
mɛ,5289
ɛj,5143
jv,714
es,5725
sɪ,7380
ɫu,2678
ɛt,5275
ts,1982
et,6230
tɪ,6303
ɪʃ,3645
yt,3394
ʃø,3560
ʒø,574
ʃœ,1854
dy,2280
ɛd,691
ɯɾ,3665
ʒa,10860
zy,861
nø,3387
el,8322
lɪ,10706
ti,3957
ɛv,2561
vs,71
ɪm,9514
ml,954
nl,5383
ɯɫ,11646
ɫɫ,3882
œs,493
tɛ,4457
by,3670
yj,1939
jø,2424
zɛ,2904
ky,655
eɟ,952
em,5358
mæ,1401
øk,2804
ɯz,7590
zɫ,1217
tm,2384
ma,20054
ɫm,3156
rm,4831
it,7879
ʃɪ,8676
ɔn,7698
rl,5053
ɛʃ,2376
dœ,2317
do,3149
ʊp,989
ʃs,416
kʊ,4909
ut,2386
ʃʊ,1293
av,5813
va,5946
jn,968
eʃ,1839
tl,1798
ʃo,1249
oa,1167
zl,2333
dɔ,681
ɛk,12855
ʊt,4168
vd,363
ha,10836
sy,1581
nɟ,359
ɟæ,1627
ps,723
kæ,4670
ɾe,4081
im,3557
mɪ,5309
zd,2228
mi,1980
iz,4756
bæ,2447
nz,311
ɯm,7704
te,3217
ym,1263
my,428
bœ,1971
mɯ,6733
rk,2641
kɛ,2219
iʃ,2870
ne,3684
in,16105
ni,2354
hɛ,3889
ot,1100
ʒɯ,2444
si,6837
ɾi,8453
jo,2747
oɾ,4975
bʊ,6245
so,1828
ʊk,2466
ɯp,2834
ʃɔ,1138
œe,3
ɪj,2206
mɫ,1355
ɟy,3768
pm,618
pt,1984
tæ,1519
læ,2890
nk,2716
kø,3097
ɪp,2286
jk,221
ys,271
rɛ,7147
ɛa,6668
fi,810
id,2707
me,7070
he,750
œn,5281
aɯ,6324
ʃl,2621
ks,3459
se,5122
rn,322
nu,1926
øf,65
fl,88
æm,1410
ou,353
ud,2587
ht,684
ʃɛ,3124
ɪk,4812
kɔ,1718
ɔj,1776
ør,2804
lø,2350
zæ,757
æl,4114
ɛn,48
jɫ,2670
kœ,2069
œt,2297
lm,1521
ko,3014
jr,1623
pi,337
vi,1405
iɫ,949
bo,1307
oj,1964
re,1289
ʃi,2671
ɟi,5548
ih,593
hɔ,457
ɪd,287
ʒl,5
us,2930
is,4441
fɯ,900
km,1659
ɪs,4704
eb,701
ke,4102
kl,4301
œl,4074
sɔ,3269
ɫn,369
ʊj,2096
jɡ,1164
ɡʊ,241
md,2632
ʒe,2973
ɛp,817
js,1187
sɛ,3745
dɫ,173
nm,2541
rc,672
cæ,1110
rɡ,723
pa,3089
nn,676
bɯ,872
kɯ,8640
ɯs,3316
nt,4224
az,4266
zɯ,2911
ɟɛ,964
hɪ,2964
ʃb,547
li,6293
ok,826
ɛz,1320
zs,340
œz,3060
ib,2414
lɟ,1184
za,4602
op,108
od,1717
jæ,927
aɹ,68
ɟɪ,1874
ɛs,2345
sl,956
sœ,3012
rʃ,2358
sæ,1984
ju,1435
øʃ,1472
ʃm,2498
ez,903
pu,182
ʒʊ,1025
oʊ,1632
jœ,561
ic,221
vv,30
af,1092
ft,472
nf,45
uz,2416
øm,1283
ms,1085
zɪ,3117
ɔv,110
ʊv,119
vɫ,608
næ,691
al,1765
vl,836
ʊɫ,3473
nj,1009
ob,123
ɪf,212
tt,235
œf,541
fk,542
pɯ,2631
ɯd,1637
jc,169
ld,3903
vr,1147
vʊ,1202
uɡ,515
ɡø,395
zu,353
nɔ,146
ɔd,25
no,437
eh,839
aæ,52
tu,2069
uʃ,1976
œb,546
lɫ,44
hi,1010
uv,286
zk,271
aa,602
hɯ,709
rp,238
œd,316
ʃk,1607
ʒu,240
ua,513
bb,191
ec,149
cɪ,62
zj,131
oʃ,666
ci,162
nb,95
eɫ,717
ʃj,243
yd,1376
jb,51
ʃd,35
zi,458
fɪ,117
ʊh,378
fɛ,317
rf,31
ly,1225
œm,341
mr,225
rø,225
ef,904
sk,662
hr,30
aɟ,55
ev,3080
ny,617
yl,2531
kr,3797
rɪ,157
pɪ,102
ʊf,251
ʊz,2009
øt,1567
oz,134
zʊ,682
zɔ,168
ɡo,93
of,82
pæ,59
uk,436
yv,533
uf,181
fa,992
hæ,334
ep,390
po,70
rʊ,1215
ai,1025
yk,221
zm,582
hɫ,786
zɡ,401
ɡu,310
ɾu,2869
ʒi,930
aɡ,76
jt,534
mø,1635
øj,251
ʃn,197
rh,280
om,725
bø,416
vɪ,1056
œv,816
vɟ,553
fe,460
fœ,32
ʃu,914
ɡɔ,71
ɔɡ,34
ri,159
if,138
oɡ,33
ro,120
øl,2219
ʊs,1483
sɫ,1082
ær,309
sr,2737
pʊ,506
vt,4
ov,564
ho,610
vɔ,131
ʊd,70
tr,402
mɔ,533
ɪv,171
rv,110
zz,130
ɔm,406
mo,492
dm,20
vo,91
pe,647
ae,34
vɯ,216
ʃæ,400
ul,73
ɫk,3582
yʃ,960
lf,15
fʃ,31
zb,96
tj,71
eʊ,28
eu,24
ir,161
ac,5
mu,1876
rr,37
lc,44
ce,72
øp,556
tf,274
fæ,564
vu,1118
lv,9
vɡ,193
ia,285
rɔ,134
ao,122
ɾɔ,83
eɪ,38
ɔz,206
ʃp,8
ɪb,376
br,420
ɡr,56
aɪ,2304
pl,143
ie,110
sm,322
ɛh,231
hʃ,198
ol,200
lʊ,178
fø,46
oɪ,6
eɛ,42
mɟ,38
sh,294
kf,13
ea,195
pɛ,1219
ɫl,51
lɯ,60
ʃy,387
uɟ,56
mm,300
ʒd,219
mb,813
ls,327
mz,35
ɛl,419
rɟ,311
hv,87
uæ,151
ɛf,439
fr,489
kp,6
lt,733
ɫv,162
ue,57
jm,1274
kn,101
ss,313
zɟ,385
oi,4
dj,207
db,3
eæ,57
ɫo,196
hm,122
pk,47
ʒy,359
yp,92
pf,1
væ,349
up,195
tn,28
lɡ,270
iv,279
ee,48
ɯf,354
mk,27
œp,116
ɯb,57
ød,64
ʒr,64
os,102
lp,12
lh,23
bɫ,9
ff,6
fʊ,176
tɟ,11
lb,27
la,136
py,42
eɡ,24
sp,60
pø,69
iæ,194
fɫ,59
ei,46
rz,50
æɹ,40
ɔs,232
ɫɔ,196
fɔ,31
mn,67
eɔ,43
nh,33
aʊ,294
kb,73
ɛɫ,16
ɡd,2
ræ,66
sb,55
fu,87
øh,14
ry,54
yh,55
hø,65
ʒæ,216
ɪh,492
ʃʃ,175
ʃɟ,29
hy,58
zo,52
hj,171
jɾ,189
yɛ,53
jf,23
hl,93
fj,5
ɾo,299
ʃv,84
hs,67
yc,37
vʃ,154
dr,124
œʃ,133
ɯv,141
sn,37
mj,201
ɫj,119
vy,120
vm,118
ip,98
mʃ,249
ʃɡ,5
vø,147
io,39
vn,116
ʃr,22
