r-gram,Counts
knɪh,29
nɪha,5
ɪhar,4
haro,6
arod,273
rodo,95
odoβ,84
doβo,63
oβod,48
βodu,17
odui,22
duis,11
uisu,72
isus,843
susa,307
usax,147
saxr,144
axrɪ,188
xrɪs,589
rɪst,802
ɪsta,348
stas,20
tasɪ,32
asɪn,64
sɪna,142
ɪnad,56
nada,5
adaβ,28
daβɪ,62
aβɪd,136
βɪdo,30
ɪdoβ,65
oβoh,109
βoho,395
ohos,346
hosɪ,32
osɪn,50
ɪnaa,5
naaβ,1
aaβr,7
aβra,80
βraa,73
raam,73
aamo,35
amoβ,43
moβo,23
ohoa,130
hoaβ,13
oaβr,12
aamp,4
ampo,43
mpor,17
poro,103
orod,280
rodɪ,213
odɪβ,152
dɪβi,50
ɪβis,66
βisa,18
isaa,21
saak,20
aaka,7
akaa,2
kaai,1
aais,5
aisa,10
aakp,2
akpo,58
kpor,4
dɪβj,40
ɪβja,104
βjak,58
jako,600
akoβ,80
koβa,41
oβaa,10
βaaj,3
aaja,11
ajak,166
akof,12
kofp,4
ofpo,61
fpor,7
ɪβju,5
βjud,25
judu,33
udut,70
duta,24
utab,7
tabr,10
abra,49
brat,357
rati,63
atiβ,58
tiβj,10
iβjo,60
βjoh,216
joho,1585
hoaj,8
oaju,1
ajud,34
juda,32
udap,1
dapo,9
apor,22
odɪf,55
dɪff,1
ɪffa,1
ffar,2
farɛ,3
arɛs,3
rɛsa,2
ɛsat,10
sata,47
ataz,25
taza,23
azar,51
zaru,18
aruβ,19
ruβi,6
uβit,59
βitt,237
itta,7
ttam,8
tama,21
amar,48
marɪ,73
arɪa,1
rɪaf,1
ɪafa,1
afar,34
rɛsp,19
ɛspo,54
spor,17
ɪβjɛ,64
βjɛs,119
jɛsr,3
ɛsro,5
srom,3
roma,21
omaa,2
maaj,3
aajɛ,5
ajɛs,58
romp,4
ompo,24
dɪβa,27
ɪβar,9
βara,18
aram,6
rama,6
amaa,5
maaa,2
aaar,1
aara,2
ramp,3
ɪβam,69
βamɪ,192
amɪn,52
mɪna,58
daβa,115
aβaa,1
βaaa,1
aaam,2
aamn,3
amnn,1
mnna,1
nnad,6
adaf,9
dafp,8
afpo,55
dɪβn,17
ɪβna,68
βnas,73
naso,31
ason,15
sona,4
onaa,3
naan,5
aana,7
anas,91
sonp,2
onpo,5
npoh,3
poho,35
ohod,335
hodɪ,159
dɪfs,49
ɪfsa,11
fsal,6
salm,4
almo,4
lmon,3
mona,45
naas,3
aasa,5
asal,4
monp,17
npor,5
dɪββ,21
ɪββo,14
ββoo,2
βooz,2
ooza,1
ozaβ,29
zaβi,88
aβid,106
βidr,42
idra,1
drax,4
raxa,6
axaβ,2
xaβɪ,6
aβɪa,4
βɪaβ,1
ɪaβo,4
aβoo,2
βoos,1
oosp,3
ospo,801
dɪβo,25
ɪβoβ,6
βoβɪ,8
oβɪd,52
βɪda,70
ɪdaβ,36
daβi,13
idru,29
drut,2
rutɪ,4
utɪa,7
tɪao,2
ɪaoβ,1
aoβɪ,2
oβɪt,95
βɪtp,4
ɪtpo,25
tpor,4
jɛss,6
ɛssɛ,9
ssɛj,12
sɛja,62
ɛjaa,7
jaaj,3
sɛjp,26
ɛjpo,19
jpor,6
dɪβd,7
ɪβda,14
βdaβ,17
ɪdat,15
dats,8
atsa,40
tsar,304
sarj,61
arja,79
rjaa,10
jaad,7
aada,1
aβɪt,150
βɪtt,5
ɪtts,5
ttsa,17
sarp,4
arpo,3
rpor,4
ɪfso,8
fsol,5
solo,21
olom,66
lomo,32
omon,13
onaβ,19
naβi,57
βidu,132
idur,4
duri,4
urij,4
rijɛ,10
ijɛβ,9
jɛβo,25
ɛβoj,6
βoji,571
ojia,16
jias,3
iaso,1
asol,1
dɪβr,6
ɪβro,12
βroβ,1
roβo,39
oβoa,2
βoam,2
oama,2
maar,1
aaro,8
aroβ,11
oamp,1
ɪβaβ,27
βaβi,39
aβij,20
βiju,10
ijua,8
juaa,1
uaaβ,1
aaβi,9
βija,32
ijap,36
japo,100
ɪβas,37
βasu,66
asua,1
suaa,1
uaas,1
asap,2
sapo,16
ɪβjo,83
βjos,7
josa,2
osaf,2
safa,2
afat,4
fata,4
ataa,7
taaj,3
aajo,3
ajos,19
fatp,1
atpo,18
βjor,4
jora,3
oram,8
ajor,10
ɪβoz,13
βozi,4
ozij,23
ziju,1
juao,2
uaoz,1
aozi,1
zija,2
βjoa,13
joat,2
oata,4
atam,47
ajoa,33
tamp,16
ɪβax,3
βaxa,4
axaz,1
xaza,3
azaa,1
zaaa,1
aaax,2
aaxa,3
axas,1
xasp,2
aspo,72
βjɛz,1
jɛzɛ,4
ɛzɛk,2
zɛki,2
ɛkij,2
kiju,4
juaj,4
uajɛ,1
ajɛz,23
kija,11
dɪβm,5
ɪβma,8
βman,1
mana,21
nass,22
assi,4
ssij,10
siju,3
juam,3
uama,2
aman,13
sija,30
βamo,28
amon,10
naaa,1
josi,4
osij,16
uajo,1
βjɛx,1
jɛxo,8
ɛxon,2
xonj,2
onji,72
njij,110
jiju,46
ijut,30
juta,67
ohop,358
hopi,44
opit,13
pitt,9
ittʃ,121
ttʃa,24
tʃas,264
ʃasp,10
aspɛ,16
spɛr,62
pɛrɪ,147
ɛrɪs,33
rɪsɛ,105
ɪsɛl,9
sɛlɛ,16
ɛlɛn,24
lɛnɲ,76
ɛnɲa,137
nɲau,5
ɲauβ,6
auβa,5
uβaβ,161
βaβɪ,19
aβɪl,71
βɪlo,27
ɪlon,15
lona,34
onap,69
napi,10
apis,24
pisʎ,83
isʎa,83
sʎat,13
ʎato,19
atoh,111
toho,319
ohoj,348
hoja,137
ojak,171
jakp,143
akpɛ,22
kpɛr,26
lɛno,52
ɛnoj,44
noji,96
ojix,204
jixu,51
ixuβ,12
xuβa,2
ɪdon,110
donj,5
onjɛ,1
njɛx,1
jija,154
sala,4
alat,36
latɪ,54
atɪj,215
tɪji,89
ɪjil,12
jila,127
ilaa,6
laas,2
jilp,3
ilpo,1
lpor,1
dɪβz,11
ɪβzo,7
βzor,9
zoro,6
oroβ,38
roβa,71
oβaβ,13
βaβɛ,7
aβɛʎ,13
βɛʎa,3
ɛʎaa,3
ʎaaz,1
aaza,2
zaro,9
βɛʎp,1
ɛʎpo,1
ʎpor,1
ijud,15
udaa,2
daaa,1
aaaβ,1
jutp,27
utpo,20
βjɛʎ,4
jɛʎi,5
ɛʎij,5
ʎija,5
ijak,197
jakɪ,390
akɪm,55
kɪma,7
ɪmaa,2
maab,1
aabʎ,1
abʎi,1
bʎij,1
kɪmp,12
ɪmpo,40
ɪβaz,10
βazo,3
azor,15
zora,1
oraa,1
raaa,1
aaaz,1
aazo,2
zorp,1
orpo,1
fsad,5
sado,7
adok,26
doka,15
okaa,5
kaas,1
asad,13
dokp,2
okpo,8
βaxɪ,1
axɪm,2
xɪma,2
aaxɪ,1
xɪmp,1
ʎiju,3
daaj,1
ajɛʎ,4
ɛʎia,4
ʎiaz,2
iaza,5
zara,116
araa,3
raaj,1
zarp,1
βmat,10
matt,11
atta,23
ttan,4
tana,55
anaa,6
naam,3
aama,14
amat,25
tanp,1
anpo,5
josɪ,34
osɪf,44
sɪfa,5
ɪfat,3
fatʃ,2
atʃo,149
tʃol,561
ʃolo,543
oloβ,634
loβi,599
oβik,429
βika,162
ikam,21
kama,12
arɪj,98
rɪji,47
ɪjin,19
jino,29
inoh,11
noho,457
ohoʃ,220
hoʃt,218
oʃtʃ,652
ʃtʃo,4439
tʃoβ,459
ʃoβi,190
oβid,358
βidn,120
idnɛ,69
dnɛj,9
nɛji,93
ɛjir,13
jiro,46
irod,63
dɪfsʲ,7
ɪfsʲi,12
fsʲis,18
sʲisu,41
susn,27
usna,20
snap,7
napr,80
apri,13
priz,13
rizβ,22
izβɪ,18
zβɪʃ,21
